Date,Changes,Max,Min,Reference Price,Open,High,Low,Close,Average,Adjusted Close,KLGD,GTGD
"January, 2010","15,5  0,6 (4,03%)",15.6,14.2,14.9,15.0,15.6,14.3,15.5,15.5,43.3,221.43,3.432.686
"February, 2010","16,2  0,7 (4,52%)",16.2,14.8,15.5,15.6,16.2,15.0,16.2,15.75,45.3,214.99,3.385.471
"March, 2010","17  0,8 (4,94%)",17.0,15.4,16.2,17.0,17.0,16.9,17.0,17.0,47.5,116.830,1.986.090
"April, 2010","36,3  1,3 (3,71%)",36.7,33.3,35.0,36.5,36.5,35.0,36.3,35.39,97.1,194.17,6.829.830
"May, 2010","29  -1,4 (-4,61%)",31.9,28.9,30.4,29.3,30.4,28.9,29.0,29.37,81.1,123.800,3.635.920
"June, 2010","28  -0,8 (-2,78%)",30.2,27.4,28.8,27.8,28.7,27.8,28.0,28.06,78.3,199.37,5.595.008
"July, 2010","26,1  -0,6 (-2,25%)",28.0,25.4,26.7,26.2,27.2,26.1,26.1,26.360000000000003,73.0,108.44,2.858.328
"August, 2010","17,2  0,8 (4,88%)",17.2,15.6,16.4,17.0,17.2,16.9,17.2,17.130000000000003,48.1,213.58,3.658.784
"September, 2010","20  0,9 (4,71%)",20.0,18.2,19.1,20.0,20.0,20.0,20.0,20.0,55.9,183.74,3.674.800
"October, 2010","16,7  -0,3 (-1,76%)",17.8,16.2,17.0,17.0,17.2,16.7,16.7,16.880000000000003,46.7,667.44,11.340.314
"November, 2010","14,9  0,7 (4,93%)",14.9,13.5,14.2,14.6,14.9,14.6,14.9,14.88,41.7,146.26,2.176.882
"December, 2010","18,8  -0,2 (-1,05%)",19.9,18.1,19.0,19.6,19.6,18.6,18.8,18.86,52.6,74.08,1.396.805
"January, 2011","15,7  0,5 (3,29%)",15.9,14.5,15.2,15.9,15.9,15.6,15.7,15.85,67.3,960.8,15.231.173
"February, 2011","12,5  -0,6 (-4,58%)",13.7,12.5,13.1,13.0,13.0,12.5,12.5,12.59,65.4,455.05,5.729.778
"March, 2011","10,3  -0,1 (-0,96%)",10.9,99.0,10.4,10.5,10.6,10.3,10.3,10.37,53.9,151.81,1.574.022
"April, 2011","9,5  -0,4 (-4,04%)",10.3,95.0,99.0,99.0,10.0,95.0,95.0,96.1,49.7,236.77,2.274.492
"May, 2011","7,1  -0,1 (-1,39%)",75.0,69.0,72.0,71.0,73.0,69.0,71.0,70.4,37.1,262.16,1.845.598
"June, 2011","7,9  0 (0%)",82.0,76.0,79.0,8.0,8.0,78.0,79.0,78.4,41.3,58.7,460.100
"July, 2011","6,7  0 (0%)",7.0,64.0,67.0,68.0,68.0,66.0,67.0,67.0,35.0,180.13,1.207.347
"August, 2011","7,6  0,3 (4,11%)",76.0,7.0,73.0,72.0,76.0,72.0,76.0,75.1,39.8,848.980,6.378.141
"September, 2011","13,3  -0,6 (-4,32%)",14.5,13.3,13.9,13.9,13.9,13.3,13.3,13.41,69.6,2.211.310,29.652.478
"October, 2011","11,4  0,2 (1,79%)",11.7,10.7,11.2,11.7,11.7,11.4,11.4,11.65,59.6,2.548.010,29.696.780
"November, 2011","9,5  -0,3 (-3,06%)",10.2,94.0,98.0,98.0,98.0,95.0,95.0,95.7,49.7,486.32,4.654.894
"December, 2011","8,4  0,4 (5%)",84.0,76.0,8.0,83.0,84.0,81.0,84.0,83.5,43.9,785.360,6.554.166
"January, 2012","9  0,4 (4,65%)",9.0,82.0,86.0,9.0,9.0,89.0,9.0,9.0,47.1,1.312.410,11.811.083
"February, 2012","11,1  0 (0%)",11.6,10.6,11.1,10.8,11.1,10.7,11.1,10.94,58.1,1.685.140,18.441.671
"March, 2012","11  -0,4 (-3,51%)",11.9,10.9,11.4,11.4,11.5,10.9,11.0,11.1,57.5,1.481.210,16.441.328
"April, 2012","13,6  0,6 (4,62%)",13.6,12.4,13.0,13.3,13.6,13.2,13.6,13.49,71.1,2.991.960,40.373.136
"May, 2012","11,4  -0,4 (-3,39%)",12.3,11.3,11.8,11.6,11.8,11.4,11.4,11.57,64.8,732.110,8.468.944
"June, 2012","10,8  0 (0%)",11.3,10.3,10.8,10.8,11.1,10.8,10.8,10.83,61.3,509.490,5.518.536
"July, 2012","10,9  0 (0%)",11.4,10.4,10.9,10.9,11.1,10.9,10.9,10.95,61.9,235.52,2.578.179
"August, 2012","9,4  0 (0%)",98.0,9.0,94.0,94.0,95.0,93.0,94.0,93.8,53.4,222.3,2.086.523
"September, 2012","8,3  -0,2 (-2,35%)",89.0,81.0,85.0,84.0,85.0,83.0,83.0,83.8,47.1,261.76,2.193.495
"October, 2012","8,2  -0,1 (-1,2%)",87.0,79.0,83.0,83.0,84.0,81.0,82.0,82.1,46.6,89.2,732.585
"November, 2012","7,9  -0,1 (-1,25%)",84.0,76.0,8.0,8.0,81.0,79.0,79.0,79.9,44.9,89.82,717.464
"December, 2012","9,2  0 (0%)",96.0,88.0,92.0,93.0,93.0,9.0,92.0,91.5,52.3,295.560,2.705.649
"January, 2013","11  -0,3 (-2,65%)",12.0,10.6,11.3,11.5,11.9,11.0,11.0,11.45,62.5,1.369.000,15.674.499
"February, 2013","10,3  0,3 (3%)",10.7,93.0,10.0,10.3,10.5,10.2,10.3,10.33,58.5,707.350,7.304.686
"March, 2013","9,6  0 (0%)",10.2,9.0,96.0,94.0,96.0,92.0,96.0,94.0,54.5,359.870,3.383.165
"April, 2013","8,8  0,1 (1,15%)",93.0,81.0,87.0,88.0,88.0,86.0,88.0,87.4,5.0,185.020,1.616.211
"May, 2013","9,8  0,1 (1,03%)",10.3,91.0,97.0,99.0,10.0,97.0,98.0,98.9,55.7,1.246.570,12.321.211
"June, 2013",8  0 (0%),85.0,75.0,8.0,8.0,81.0,79.0,8.0,79.5,48.6,432.32,3.436.210
"July, 2013","7,7  0,1 (1,32%)",81.0,71.0,76.0,77.0,77.0,76.0,77.0,76.6,46.8,143.580,1.099.636
"August, 2013","7  0,2 (2,94%)",72.0,64.0,68.0,68.0,7.0,68.0,7.0,68.4,42.5,474.190,3.224.658
"September, 2013","7,2  0,4 (5,88%)",72.0,64.0,68.0,68.0,72.0,68.0,72.0,70.3,43.7,3.317.600,23.323.210
"October, 2013","7,5  0 (0%)",8.0,7.0,75.0,75.0,76.0,74.0,75.0,75.0,45.5,550.070,4.125.466
"November, 2013","8,9  -0,3 (-3,26%)",98.0,86.0,92.0,9.0,91.0,88.0,89.0,89.0,54.0,2.016.520,17.944.680
"December, 2013","9  0,2 (2,27%)",94.0,82.0,88.0,89.0,91.0,88.0,9.0,89.1,54.6,936.300,8.340.680
"January, 2014","10,3  0,5 (5,1%)",10.4,92.0,98.0,99.0,10.4,99.0,10.3,10.26,62.5,2.735.990,28.070.241
"February, 2014","14  -0,1 (-0,71%)",15.7,13.7,14.1,14.1,14.3,13.7,14.0,13.919999999999998,81.5,2.566.330,35.711.402
"March, 2014","14,2  -0,3 (-2,07%)",15.5,13.5,14.5,14.6,14.6,14.0,14.2,14.27,82.7,1.784.980,25.476.782
"April, 2014","12,4  0,4 (3,33%)",12.8,11.2,12.0,11.9,12.5,11.9,12.4,12.22,72.2,1.493.190,18.247.331
"May, 2014","12,5  -0,5 (-3,85%)",13.9,12.1,13.0,12.6,12.8,12.3,12.5,12.56,68.1,4.093.940,51.446.000
"June, 2014","12,5  -0,1 (-0,79%)",13.4,11.8,12.6,12.6,12.6,12.4,12.5,12.51,68.1,1.328.160,16.619.000
"July, 2014","13,1  0,3 (2,34%)",13.6,12.0,12.8,12.8,13.2,12.8,13.1,13.04,74.8,1.190.790,15.531.000
"August, 2014","15  0,2 (1,35%)",15.8,13.8,14.8,14.7,15.1,14.7,15.0,14.93,85.6,3.400.070,50.777.000
"September, 2014","13,7  0,2 (1,48%)",14.4,12.6,13.5,13.4,13.7,13.4,13.7,13.6,78.2,636.100,8.652.000
"October, 2014","14,1  0,3 (2,17%)",14.7,12.9,13.8,13.8,14.1,13.7,14.1,13.91,80.5,849.590,11.816.000
"November, 2014","13,6  0,3 (2,26%)",14.2,12.4,13.3,13.4,13.7,13.2,13.6,13.5,77.6,765.040,10.326.000
"December, 2014","13,5  0,2 (1,5%)",14.2,12.4,13.3,13.3,13.8,13.3,13.5,13.580000000000002,77.1,154.66,2.101.000
"January, 2015","13  -0,2 (-1,52%)",14.1,12.3,13.2,13.1,13.3,12.9,13.0,13.02,74.2,92.33,1.202.000
"February, 2015","12,7  -0,2 (-1,55%)",13.8,12.0,12.9,13.0,13.0,12.7,12.7,12.76,72.5,309.4,3.949.000
"March, 2015","11,1  0,1 (0,91%)",11.7,10.3,11.0,11.0,11.3,11.0,11.1,11.14,63.4,240.32,2.678.000
"April, 2015","11,5  -0,2 (-1,71%)",12.5,10.9,11.7,11.7,11.8,11.5,11.5,11.61,65.6,124.72,1.448.000
"May, 2015","11,5  0,1 (0,88%)",12.1,10.7,11.4,11.5,12.0,11.5,11.5,11.68,65.6,559.84,6.540.000
"June, 2015","11,7  0,1 (0,86%)",12.4,10.8,11.6,11.7,11.9,11.5,11.7,11.72,66.8,736.714,8.623.000
"July, 2015","10,9  -0,3 (-2,68%)",11.9,10.5,11.2,11.2,11.2,10.9,10.9,11.05,62.2,407.310,4.502.000
