Date,Changes,Max,Min,Reference Price,Open,High,Low,Close,Average,Adjusted Close,KLGD,GTGD
"January, 2010","65  -1 (-1,52%)",69.0,63.0,66.0,64.0,68.0,64.0,65.0,64.5,95.6,12.64,815.240
"February, 2010","70  1 (1,45%)",72.0,66.0,69.0,70.0,70.0,70.0,70.0,70.0,10.29,150.0,10.500
"March, 2010","71,5  -0,5 (-0,69%)",75.5,68.5,72.0,71.5,71.5,71.5,71.5,71.5,10.51,2.1,150.150
"April, 2010","68,5  0 (0%)",71.5,65.5,68.5,68.5,68.5,68.0,68.5,68.06,10.37,27.33,1.858.910
"May, 2010","66  -0,5 (-0,75%)",69.5,63.5,66.5,67.0,67.0,66.0,66.0,66.81,99.9,5.2,347.4
"June, 2010","61,5  -1 (-1,6%)",65.5,59.5,62.5,62.0,62.0,61.5,61.5,62.0,93.1,3.41,211.415
"July, 2010",64  0 (0%),67.0,61.0,64.0,0.0,0.0,0.0,64.0,64.0,96.9,810.0,51.160
"August, 2010","61,5  2,5 (4,24%)",61.5,56.5,59.0,61.5,61.5,61.5,61.5,61.5,93.1,7.41,455.715
"September, 2010","59  1 (1,72%)",60.5,55.5,58.0,59.0,59.0,59.0,59.0,59.0,89.3,2.1,123.9
"October, 2010",57  0 (0%),59.5,54.5,57.0,57.0,57.0,57.0,57.0,57.0,86.3,100.0,5.7
"November, 2010","58  0,5 (0,87%)",60.0,55.0,57.5,57.5,58.0,57.5,58.0,57.77,87.8,2.2,127.100
"December, 2010","61,5  2 (3,36%)",62.0,57.0,59.5,59.0,61.5,59.0,61.5,61.46,10.5,30.5,1.874.500
"January, 2011","49,9  -2,6 (-4,95%)",55.0,49.9,52.5,54.0,54.0,49.9,49.9,49.94,85.7,1.17,58.424
"February, 2011","49  0,1 (0,2%)",51.0,46.5,48.9,49.0,49.0,49.0,49.0,49.0,86.4,300.0,14.7
"March, 2011","46,9  1,3 (2,85%)",47.8,43.4,45.6,46.9,46.9,46.9,46.9,46.9,86.4,10.0,469.0
"April, 2011","39,4  -0,6 (-1,5%)",42.0,38.0,40.0,38.2,40.9,38.2,39.4,38.4,72.5,1.23,47.231
"May, 2011","40  -0,5 (-1,23%)",42.5,38.5,40.5,39.0,40.0,39.0,40.0,39.03,78.0,620.0,24.2
"June, 2011","41  -1 (-2,38%)",44.1,39.9,42.0,42.5,42.5,41.0,41.0,41.05,8.0,310.0,12.725
"July, 2011",45  0 (0%),47.2,42.8,45.0,0.0,0.0,0.0,45.0,0.0,88.9,3.0,134.950
"August, 2011","46,5  0 (0%)",48.8,44.2,46.5,0.0,0.0,0.0,46.5,0.0,94.6,40.0,1.86
"September, 2011","45  -0,5 (-1,1%)",47.7,43.3,45.5,45.5,45.5,45.0,45.0,45.44,92.1,5.26,239.035
"October, 2011",45  0 (0%),47.2,42.8,45.0,45.0,45.0,45.0,45.0,45.0,92.1,6.21,279.45
"November, 2011","38  -1,9 (-4,76%)",41.8,38.0,39.9,41.8,41.8,38.0,38.0,38.16,78.4,360.0,13.737
"December, 2011","38,7  1,8 (4,88%)",38.7,35.1,36.9,35.1,38.7,35.1,38.7,38.28,79.8,20.18,772.418
"January, 2012","42,3  -1,2 (-2,76%)",45.6,41.4,43.5,42.4,42.5,41.5,42.3,42.1,87.2,35.77,1.505.899
"February, 2012","40,9  0 (0%)",42.9,38.9,40.9,40.0,40.9,40.0,40.9,40.58,84.3,5.75,233.307
"March, 2012","37,9  -0,1 (-0,26%)",39.9,36.1,38.0,38.0,38.0,37.5,37.9,37.53,78.1,1.05,39.402
"April, 2012","37,8  -0,1 (-0,26%)",39.7,36.1,37.9,37.6,37.8,37.6,37.8,37.75,82.6,10.74,405.384
"May, 2012","36,9  -0,4 (-1,07%)",39.1,35.5,37.3,36.8,38.0,36.8,36.9,37.12,80.6,11.13,413.192
"June, 2012","39  0,1 (0,26%)",40.8,37.0,38.9,37.5,39.0,37.5,39.0,38.92,85.2,4.01,156.063
"July, 2012","38,7  -0,3 (-0,77%)",40.9,37.1,39.0,38.0,38.7,38.0,38.7,38.35,84.6,20.0,767
"August, 2012",38  0 (0%),39.9,36.1,38.0,38.5,38.5,38.0,38.0,38.13,83.0,3.15,120.100
"September, 2012","40  1,1 (2,83%)",40.8,37.0,38.9,38.0,40.0,38.0,40.0,39.39,87.4,13.85,545.505
"October, 2012","37  -1 (-2,63%)",39.9,36.1,38.0,37.0,37.0,36.5,37.0,36.83,91.6,380.0,13.995
"November, 2012","35,9  0,9 (2,57%)",36.7,33.3,35.0,35.9,35.9,35.9,35.9,35.9,88.9,10.0,359.0
"December, 2012","35,3  0 (0%)",37.0,33.6,35.3,35.0,35.3,35.0,35.3,35.27,87.4,3.3,116.4
"January, 2013","34  -0,5 (-1,45%)",36.9,32.1,34.5,34.5,34.5,32.5,34.0,33.89,84.2,4.35,147.422
"February, 2013","34,9  0,8 (2,35%)",36.4,31.8,34.1,35.5,35.5,34.5,34.9,34.89,86.4,1.26,43.958
"March, 2013","34,2  -0,8 (-2,29%)",37.4,32.6,35.0,34.5,35.0,34.0,34.2,34.18,84.7,11.88,406.086
"April, 2013","31,9  0,9 (2,9%)",33.1,28.9,31.0,31.9,31.9,31.9,31.9,31.9,79.0,20.0,638.0
"May, 2013","32  0,4 (1,27%)",33.8,29.4,31.6,31.6,32.1,31.6,32.0,32.03,79.2,43.96,1.408.179
"June, 2013","34  -0,6 (-1,73%)",37.0,32.2,34.6,34.0,34.5,34.0,34.0,34.160000000000004,86.9,19.01,649.317
"July, 2013","35,5  0 (0%)",37.9,33.1,35.5,35.0,35.5,34.1,35.5,34.67,90.7,25.46,882.615
"August, 2013",36  0 (0%),38.5,33.5,36.0,35.5,36.0,35.1,36.0,35.39,92.0,4.75,168.104
"September, 2013","35,4  0,2 (0,57%)",37.6,32.8,35.2,35.3,35.4,35.0,35.4,35.1,90.5,38.53,1.352.388
"October, 2013","36,7  0,1 (0,27%)",39.1,34.1,36.6,36.6,36.7,36.3,36.7,36.56,93.8,24.81,907.028
"November, 2013","36,5  -0,1 (-0,27%)",39.1,34.1,36.6,36.4,36.6,36.4,36.5,36.42,95.9,2.73,99.416
"December, 2013","37,3  0,7 (1,91%)",39.1,34.1,36.6,36.3,37.4,36.3,37.3,37.29,98.0,790.0,29.458
"January, 2014","49,7  0,2 (0,4%)",52.5,46.1,49.5,50.0,50.0,49.1,49.7,49.64,13.2,50.58,2.510.671
"February, 2014","55  -0,5 (-0,9%)",59.0,52.0,55.5,54.0,55.0,54.0,55.0,54.15,14.68,19.13,1.035.820
"March, 2014","62,5  0 (0%)",66.5,58.5,62.5,63.0,63.5,62.0,62.5,62.83,16.73,40.83,2.565.490
"April, 2014","57,5  0,5 (0,88%)",60.5,53.5,57.0,57.0,57.5,57.0,57.5,57.07000000000001,15.4,27.14,1.548.765
"May, 2014","52,5  -0,5 (-0,94%)",56.5,49.3,53.0,52.0,53.5,52.0,52.5,53.15,14.830000000000002,9.46,503.000
"June, 2014","54  0,5 (0,93%)",57.0,49.8,53.5,53.5,54.0,53.0,54.0,53.09,15.75,40.48,2.149.000
"July, 2014","65  2,5 (4%)",66.5,58.5,62.5,62.5,65.0,62.5,65.0,63.49,18.96,37.85,2.403.000
"August, 2014","45,8  -0,4 (-0,87%)",49.4,43.0,46.2,46.0,46.2,45.8,45.8,46.03,20.03,30.87,1.421.000
"September, 2014","42,5  2,6 (6,52%)",42.6,37.2,39.9,39.9,42.6,37.2,42.5,41.12,18.59,33.48,1.377.000
"October, 2014","39  1,7 (4,56%)",39.9,34.7,37.3,37.9,39.0,37.3,39.0,38.14,17.06,8.22,313.0
"November, 2014","42,8  -0,1 (-0,23%)",45.9,39.9,42.9,42.9,42.9,42.2,42.8,42.8,18.72,8.87,380.000
"December, 2014","41,8  0,3 (0,72%)",44.4,38.6,41.5,42.0,42.0,41.0,41.8,41.74,18.28,96.83,4.042.000
"January, 2015","46,5  0,5 (1,09%)",49.2,42.8,46.0,46.0,46.5,46.0,46.5,46.25,20.36,51.32,2.374.000
"February, 2015","48  0,5 (1,05%)",50.5,44.2,47.5,47.5,48.0,47.1,48.0,47.8,21.69,4.97,238.000
"March, 2015","46,3  -0,2 (-0,43%)",49.7,43.3,46.5,46.0,46.5,46.0,46.3,46.27,21.58,2.07,96.000
"April, 2015","46,6  0 (0%)",49.8,43.4,46.6,46.6,47.0,46.6,46.6,46.6,21.95,4.1,191.000
"May, 2015","46,7  -2,8 (-5,66%)",52.5,46.1,49.5,49.0,49.0,46.7,46.7,46.83,23.19,175.39,8.585.000
"June, 2015","45,5  0 (0%)",48.6,42.4,45.5,45.2,45.5,45.0,45.5,45.04,22.64,2.93,132.000
"July, 2015","44,8  0,1 (0,22%)",47.8,41.6,44.7,45.0,45.0,44.5,44.8,44.74,22.3,4.68,209.0
"August, 2015","41,8  -0,2 (-0,48%)",44.9,39.1,42.0,42.0,42.0,39.1,41.8,39.72,21.36,7.81,310.0
"September, 2015","42,9  2,3 (5,67%)",43.4,37.8,40.6,40.5,42.9,40.5,42.9,40.6,22.24,12.55,510.0
"October, 2015","41,8  -1,2 (-2,79%)",46.0,40.0,43.0,43.0,43.0,41.1,41.8,41.21,21.72,3.41,141.0
"November, 2015","38,2  0,1 (0,26%)",40.7,35.5,38.1,38.0,38.2,38.0,38.2,38.04,19.85,10.28,391.0
"December, 2015","37,5  -0,5 (-1,32%)",40.1,34.9,38.0,37.9,37.9,37.5,37.5,37.61,20.12,1.14,43.0
"January, 2016","37,7  0 (0%)",40.3,35.1,37.7,37.7,37.7,37.0,37.7,37.53,19.85,1.72,65.000
"February, 2016","44  2 (4,76%)",44.9,39.1,42.0,44.0,44.0,42.0,44.0,43.44,23.17,31.36,1.362.000
"March, 2016","47,3  -0,4 (-0,84%)",51.0,44.4,47.7,48.8,48.8,46.0,47.3,47.11,25.82,32.75,1.636.000
"April, 2016","47,1  -0,6 (-1,26%)",51.0,44.4,47.7,47.9,47.9,46.9,47.1,47.18,27.04,18.73,884.000
"May, 2016",41  0 (0%),44.0,38.4,41.0,41.4,41.4,40.7,41.0,40.83,23.31,17.64,720.000
"June, 2016","44,8  1,9 (4,43%)",45.9,39.9,42.9,44.8,45.0,42.7,44.8,43.73,25.82,32.91,1.439.000
"July, 2016","50,5  0,5 (1%)",53.5,46.5,50.0,50.0,50.5,49.5,50.5,49.74,30.97,15.29,761.000
"August, 2016","62,5  2 (3,31%)",64.5,56.5,60.5,60.0,62.5,60.0,62.5,61.53,39.67,76.2,4.689.000
"September, 2016","64,6  2,1 (3,36%)",66.8,58.2,62.5,64.0,64.9,63.0,64.6,64.38,41.0,59.9,3.856.000
"October, 2016",62  0 (0%),66.3,57.7,62.0,62.0,62.0,62.0,62.0,62.0,39.35,1.25,78.000
"November, 2016","57  -0,8 (-1,38%)",61.8,53.8,57.8,57.0,57.9,57.0,57.0,57.120000000000005,37.22,15.61,892.000
"December, 2016","55,9  -0,1 (-0,18%)",59.9,52.1,56.0,56.5,56.5,55.0,55.9,55.92,38.260000000000005,17.91,1.002.000
"January, 2017","55,9  1,4 (2,57%)",58.3,50.7,54.5,53.8,56.0,53.8,55.9,55.58,38.3,26.37,1.466.000
"February, 2017","57,9  0,9 (1,58%)",60.9,53.1,57.0,56.0,57.9,56.0,57.9,56.86,39.67,8.01,455.000
"March, 2017","66,8  1,8 (2,77%)",69.5,60.5,65.0,65.5,67.8,65.5,66.8,66.96000000000001,45.77,137.73,9.222.000
"April, 2017","61,4  1,4 (2,33%)",64.2,55.8,60.0,62.0,62.0,61.0,61.4,61.1,42.07,6.94,424.000
"May, 2017","57,2  0,6 (1,06%)",60.5,52.7,56.6,56.8,57.3,56.7,57.2,56.96,43.67,11.85,675.000
"June, 2017","63,5  -1 (-1,55%)",69.0,60.0,64.5,64.4,64.5,63.0,63.5,63.91,48.48,35.72,2.283.000
"July, 2017","67  -0,7 (-1,03%)",72.4,63.0,67.7,67.0,67.7,66.8,67.0,67.13,51.15,51.51,3.458.000
"August, 2017","67,4  -0,1 (-0,15%)",72.2,62.8,67.5,67.5,68.0,67.3,67.4,67.52000000000001,51.46,9.36,632.0
