Date,Changes,Max,Min,Reference Price,Open,High,Low,Close,Average,Adjusted Close,KLGD,GTGD
"January, 2014","8,8  -0,1 (-1,12%)",95.0,83.0,89.0,89.0,91.0,88.0,88.0,89.3,94.9,3.417.810,30.510.000
"February, 2014","8,3  0,3 (3,75%)",85.0,75.0,8.0,81.0,83.0,79.0,83.0,81.0,89.5,7.275.210,58.939.008
"March, 2014","10,1  -0,5 (-4,72%)",11.3,99.0,10.6,10.6,10.6,10.1,10.1,10.38,10.89,11.578.050,120.173.453
"April, 2014","8,4  -0,1 (-1,18%)",9.0,8.0,85.0,85.0,86.0,83.0,84.0,84.6,90.6,3.251.500,27.572.860
"May, 2014","7,9  -0,1 (-1,25%)",85.0,75.0,8.0,8.0,81.0,79.0,79.0,79.7,85.2,3.090.840,24.648.000
"June, 2014","8  -0,1 (-1,23%)",86.0,76.0,81.0,8.0,82.0,8.0,8.0,80.5,86.3,2.184.060,17.573.000
"July, 2014","7,8  0,2 (2,63%)",81.0,71.0,76.0,76.0,79.0,76.0,78.0,77.6,84.1,3.999.950,31.049.000
"August, 2014","9,2  0,4 (4,55%)",94.0,82.0,88.0,88.0,93.0,87.0,92.0,9.0,99.2,11.762.690,105.842.000
"September, 2014","8,8  0,1 (1,15%)",93.0,81.0,87.0,87.0,89.0,86.0,88.0,87.6,94.9,7.045.980,61.699.000
"October, 2014","8,7  0,3 (3,57%)",89.0,79.0,84.0,84.0,87.0,84.0,87.0,85.8,93.8,5.487.510,47.077.000
"November, 2014","8,9  0,2 (2,3%)",93.0,81.0,87.0,88.0,91.0,87.0,89.0,88.9,96.0,10.869.450,96.556.000
"December, 2014","8  0,3 (3,9%)",82.0,72.0,77.0,77.0,81.0,77.0,8.0,79.5,86.3,8.864.530,69.552.000
"January, 2015","7,6  -0,1 (-1,3%)",82.0,72.0,77.0,76.0,77.0,75.0,76.0,76.0,82.0,2.433.750,18.487.000
"February, 2015","7,6  -0,1 (-1,3%)",82.0,72.0,77.0,77.0,77.0,75.0,76.0,76.0,82.0,2.670.020,20.296.000
"March, 2015","6,9  0 (0%)",73.0,65.0,69.0,69.0,71.0,68.0,69.0,69.8,74.4,4.259.250,29.735.000
"April, 2015","6,8  -0,1 (-1,45%)",73.0,65.0,69.0,69.0,69.0,67.0,68.0,68.1,73.3,1.857.980,12.653.000
"May, 2015","6,5  -0,1 (-1,52%)",7.0,62.0,66.0,66.0,67.0,65.0,65.0,65.7,70.1,2.564.020,16.852.000
"June, 2015","6,5  -0,1 (-1,52%)",7.0,62.0,66.0,66.0,67.0,65.0,65.0,65.9,70.1,3.432.384,22.552.000
"July, 2015","6,3  -0,1 (-1,56%)",68.0,6.0,64.0,64.0,65.0,63.0,63.0,63.7,67.9,594.400,3.786.000
"August, 2015","5,1  -0,1 (-1,92%)",55.0,49.0,52.0,51.0,52.0,5.0,51.0,50.9,54.1,1.345.660,6.849.000
"September, 2015","5,2  0 (0%)",55.0,49.0,52.0,52.0,53.0,52.0,52.0,52.0,57.3,560.930,2.917.000
"October, 2015","6,5  0 (0%)",69.0,61.0,65.0,65.0,66.0,64.0,65.0,65.0,72.7,2.555.560,16.616.000
"November, 2015","6,1  -0,1 (-1,61%)",66.0,58.0,62.0,62.0,63.0,61.0,61.0,61.8,68.2,3.284.520,20.364.000
"December, 2015","5,6  -0,1 (-1,75%)",6.0,54.0,57.0,57.0,58.0,56.0,56.0,56.8,60.4,1.305.870,7.512.000
"January, 2016","5,2  0,1 (1,96%)",54.0,48.0,51.0,51.0,53.0,5.0,52.0,51.6,56.3,2.442.020,12.626.000
"February, 2016","5,1  -0,1 (-1,92%)",55.0,49.0,52.0,51.0,53.0,51.0,51.0,51.7,55.2,1.839.180,9.502.000
"March, 2016","4,8  -0,1 (-2,04%)",52.0,46.0,49.0,49.0,49.0,47.0,48.0,48.1,5.0,4.995.470,24.686.000
"April, 2016","4,6  -0,1 (-2,13%)",5.0,44.0,47.0,47.0,47.0,46.0,46.0,46.2,45.9,1.102.820,5.099.000
"May, 2016","4,5  0 (0%)",47.0,41.0,45.0,45.0,46.0,44.0,45.0,44.9,45.9,2.101.290,9.445.000
"June, 2016","4,3  0 (0%)",46.0,4.0,43.0,43.0,44.0,42.0,43.0,42.8,42.9,1.700.700,7.282.000
"July, 2016","4,9  -0,1 (-2%)",53.0,47.0,5.0,5.0,51.0,49.0,49.0,49.7,49.8,6.059.710,30.244.000
"August, 2016","5  0,2 (4,17%)",51.0,45.0,48.0,48.0,5.0,47.0,5.0,49.0,50.8,3.522.060,17.247.000
"September, 2016","4,17  -0,01 (-0,24%)",44.7,38.9,41.8,41.6,42.0,41.5,41.7,41.8,42.4,2.168.860,9.060.000
