Date,Changes,Max,Min,Reference Price,Open,High,Low,Close,Average,Adjusted Close,KLGD,GTGD
"January, 2014","8  -0,2 (-2,44%)",87.0,77.0,82.0,82.0,82.0,8.0,8.0,81.0,66.7,145.22,1.177.000
"February, 2014","8,7  0,1 (1,16%)",92.0,8.0,86.0,85.0,87.0,84.0,87.0,85.6,72.5,928.420,7.944.930
"March, 2014","10,2  -0,3 (-2,86%)",11.2,98.0,10.5,10.5,10.6,10.2,10.2,10.35,85.1,1.165.210,12.057.117
"April, 2014","8,6  0,1 (1,18%)",9.0,8.0,85.0,86.0,87.0,85.0,86.0,86.1,71.7,111.9,963.435
"May, 2014","8  -0,2 (-2,44%)",87.0,77.0,82.0,79.0,8.0,79.0,8.0,79.7,66.7,219.55,1.750.000
"June, 2014","7,7  0 (0%)",82.0,72.0,77.0,76.0,77.0,75.0,77.0,75.4,64.2,706.280,5.329.000
"July, 2014","7,8  0,1 (1,3%)",82.0,72.0,77.0,78.0,79.0,76.0,78.0,77.5,65.0,134.49,1.042.000
"August, 2014","8,4  0,3 (3,7%)",86.0,76.0,81.0,82.0,86.0,82.0,84.0,83.3,7.0,718.67,5.989.000
"September, 2014","8  -0,1 (-1,23%)",86.0,76.0,81.0,81.0,81.0,79.0,8.0,79.5,66.7,446.48,3.548.000
"October, 2014","8  0,1 (1,27%)",84.0,74.0,79.0,79.0,81.0,78.0,8.0,79.6,66.7,303.74,2.416.000
"November, 2014","8,2  0,3 (3,8%)",84.0,74.0,79.0,8.0,82.0,8.0,82.0,81.5,68.4,401.72,3.274.000
"December, 2014","7,5  0,1 (1,35%)",79.0,69.0,74.0,74.0,76.0,73.0,75.0,74.2,62.5,488.2,3.624.000
"January, 2015","6,9  -0,2 (-2,82%)",75.0,67.0,71.0,71.0,71.0,69.0,69.0,69.9,57.5,78.95,551.000
"February, 2015","7,6  0,1 (1,33%)",8.0,7.0,75.0,74.0,77.0,74.0,76.0,75.7,63.4,140.66,1.065.000
"March, 2015","7,8  0 (0%)",83.0,73.0,78.0,78.0,79.0,77.0,78.0,78.1,65.0,153.18,1.196.000
"April, 2015","8,3  0,1 (1,22%)",87.0,77.0,82.0,81.0,83.0,8.0,83.0,81.0,69.2,179.83,1.457.000
"May, 2015","7,8  -0,1 (-1,27%)",84.0,74.0,79.0,79.0,79.0,77.0,78.0,77.8,65.0,96.28,749.0
"June, 2015",8  0 (0%),85.0,75.0,8.0,79.0,8.0,78.0,8.0,79.5,66.7,65.330,520.000
"July, 2015","8,7  0 (0%)",93.0,81.0,87.0,87.0,89.0,87.0,87.0,87.8,72.5,317.38,2.785.000
"August, 2015","8,6  0 (0%)",92.0,8.0,86.0,87.0,87.0,86.0,86.0,86.3,72.5,183.43,1.582.000
"September, 2015","8,9  -0,1 (-1,11%)",96.0,84.0,9.0,89.0,91.0,89.0,89.0,89.2,75.0,73.36,654.000
"October, 2015","8,8  0,1 (1,15%)",93.0,81.0,87.0,88.0,89.0,87.0,88.0,87.6,75.0,191.210,1.675.000
"November, 2015","8  -0,3 (-3,61%)",88.0,78.0,83.0,82.0,83.0,8.0,8.0,80.8,68.2,262.7,2.124.000
"December, 2015","8,4  0,4 (5%)",84.0,74.0,8.0,79.0,84.0,79.0,84.0,83.8,72.6,155.3,1.302.000
"January, 2016","7,9  -0,1 (-1,25%)",85.0,75.0,8.0,79.0,79.0,77.0,79.0,78.6,68.2,48.72,383.000
"February, 2016","8,1  0 (0%)",86.0,76.0,81.0,81.0,82.0,8.0,81.0,80.9,7.0,57.68,467.000
"March, 2016","8  0,2 (2,56%)",83.0,73.0,78.0,8.0,8.0,78.0,8.0,78.4,67.4,28.29,222.000
"April, 2016","8,9  0,5 (5,95%)",89.0,79.0,84.0,86.0,89.0,86.0,89.0,88.4,73.1,1.295.860,11.460.000
"May, 2016","8,6  0,1 (1,18%)",89.0,79.0,85.0,84.0,86.0,84.0,86.0,85.0,68.3,64.72,550.000
"June, 2016","9,2  -0,2 (-2,13%)",10.0,88.0,94.0,92.0,94.0,92.0,92.0,93.1,76.3,37.23,347.000
"July, 2016","10,8  -0,1 (-0,92%)",11.6,10.2,10.9,10.9,10.9,10.8,10.8,10.81,88.5,127.310,1.376.000
"August, 2016","12,2  0,2 (1,67%)",12.8,11.2,12.0,11.9,12.5,11.9,12.2,12.17,93.8,290.880,3.541.000
"September, 2016","10,7  0 (0%)",11.4,99.6,10.7,10.8,10.8,10.55,10.7,10.69,82.9,51.12,546.000
"October, 2016","11,1  -0,35 (-3,06%)",12.25,10.65,11.45,11.4,11.5,11.1,11.1,11.29,86.2,96.18,1.086.000
"November, 2016","10,5  -0,1 (-0,94%)",11.3,98.6,10.6,10.3,10.6,10.3,10.5,10.47,81.8,25.53,267.000
"December, 2016","10,45  0,1 (0,97%)",11.05,96.3,10.35,10.95,11.05,10.4,10.45,10.46,83.1,145.85,1.525.000
"January, 2017","10,5  0 (0%)",11.2,97.7,10.5,10.3,10.5,10.3,10.5,10.3,86.3,1.02,11.000
"February, 2017","12,1  -0,2 (-1,63%)",13.15,11.45,12.3,12.8,12.8,12.1,12.1,12.39,10.02,23.29,289.000
