Date,Changes,Max,Min,Reference Price,Open,High,Low,Close,Average,Adjusted Close,KLGD,GTGD
"January, 2014","9,4  0,3 (3,3%)",97.0,85.0,91.0,92.0,96.0,91.0,94.0,94.1,30.5,106.02,997.000
"February, 2014","7,3  0 (0%)",79.0,69.0,73.0,73.0,73.0,71.0,73.0,71.5,25.5,424.530,3.034.828
"March, 2014","7,8  -0,1 (-1,27%)",84.0,74.0,79.0,78.0,79.0,76.0,78.0,77.5,27.2,117.97,914.560
"April, 2014","6,9  0 (0%)",73.0,65.0,69.0,69.0,69.0,67.0,69.0,68.2,24.1,50.07,341.433
"May, 2014","6,7  0 (0%)",72.0,64.0,67.0,66.0,67.0,66.0,67.0,66.6,21.7,46.41,309.000
"June, 2014","6,8  0 (0%)",72.0,64.0,68.0,69.0,7.0,68.0,68.0,68.6,22.0,40.490,278.000
"July, 2014","6,6  0,1 (1,54%)",69.0,61.0,65.0,65.0,67.0,65.0,66.0,65.6,21.4,39.39,258.000
"August, 2014","8,1  0 (0%)",86.0,76.0,81.0,81.0,81.0,79.0,81.0,8.0,26.2,64.68,517.000
"September, 2014","11,5  0,7 (6,48%)",11.5,10.1,10.8,10.8,11.5,10.8,11.5,11.36,37.3,346.04,3.932.000
"October, 2014","10,2  -0,1 (-0,97%)",11.0,96.0,10.3,10.2,10.3,10.0,10.2,10.1,33.0,90.21,911.000
"November, 2014","9,1  0,3 (3,41%)",94.0,82.0,88.0,89.0,93.0,89.0,91.0,91.5,29.5,93.64,857.000
"December, 2014","9,3  0,6 (6,9%)",93.0,81.0,87.0,9.0,93.0,9.0,93.0,92.9,30.1,149.98,1.393.000
"January, 2015","10,2  -0,3 (-2,86%)",11.2,98.0,10.5,10.4,10.4,10.2,10.2,10.28,33.0,132.51,1.363.000
"February, 2015","11,2  -0,1 (-0,88%)",12.0,10.6,11.3,11.2,11.2,11.0,11.2,11.08,36.3,56.84,630.000
"March, 2015","12,8  0 (0%)",13.6,12.0,12.8,12.9,12.9,12.6,12.8,12.73,41.5,129.73,1.578.000
"April, 2015","13,4  0,3 (2,29%)",14.0,12.2,13.1,13.2,13.5,13.1,13.4,13.21,43.4,38.65,510.000
"May, 2015","16,8  0,5 (3,07%)",17.4,15.2,16.3,15.9,16.8,15.9,16.8,16.27,54.4,82.18,1.337.000
"June, 2015",19  0 (0%),20.3,17.7,19.0,19.0,19.1,18.9,19.0,19.0,61.6,21.57,410.000
"July, 2015","17,1  0,5 (3,01%)",17.7,15.5,16.6,16.6,17.1,16.6,17.1,16.78,55.4,26.45,444.000
"August, 2015","18,5  0,7 (3,93%)",19.0,16.6,17.8,18.1,18.9,18.1,18.5,18.51,64.3,107.41,1.988.000
"September, 2015","15,9  0 (0%)",17.0,14.8,15.9,16.1,16.1,15.6,15.9,15.84,63.5,25.66,406.000
"October, 2015","17,7  0 (0%)",18.9,16.5,17.7,18.0,18.0,17.7,17.7,17.73,75.1,77.67,1.377.000
"November, 2015","16,7  0 (0%)",17.8,15.6,16.7,16.6,16.7,16.6,16.7,16.61,70.9,11.33,188.000
