Date,Changes,Max,Min,Reference Price,Open,High,Low,Close,Average,Adjusted Close,KLGD,GTGD
"January, 2014","16,5  -0,2 (-1,2%)",17.8,15.6,16.7,16.8,17.0,16.5,16.5,16.71,13.15,1.677.740,28.028.000
"February, 2014","12,9  0,4 (3,2%)",13.3,11.7,12.5,12.8,13.2,12.5,12.9,12.81,10.71,1.487.860,19.060.461
"March, 2014","13  -0,3 (-2,26%)",14.2,12.4,13.3,13.5,13.6,13.0,13.0,13.34,10.79,1.269.850,16.942.188
"April, 2014","11,2  0,1 (0,9%)",11.8,10.4,11.1,11.3,11.3,11.1,11.2,11.19,93.0,1.942.280,21.392.226
"May, 2014","10,1  -0,1 (-0,98%)",10.9,95.0,10.2,10.2,10.3,10.0,10.1,10.14,80.5,424.970,4.310.000
"June, 2014","11,2  -0,2 (-1,75%)",12.1,10.7,11.4,11.2,11.3,11.2,11.2,11.22,89.3,426.250,4.783.000
"July, 2014","10,5  0,3 (2,94%)",10.9,95.0,10.2,10.2,10.5,10.2,10.5,10.31,83.7,789.390,8.142.000
"August, 2014","14,3  0,9 (6,72%)",14.3,12.5,13.4,13.4,14.3,13.4,14.3,14.03,11.4,5.445.960,75.133.000
"September, 2014","15  -0,1 (-0,66%)",16.1,14.1,15.1,15.0,15.2,14.8,15.0,15.04,11.96,3.908.540,58.769.000
"October, 2014","16,9  0,8 (4,97%)",17.2,15.0,16.1,16.1,16.9,16.0,16.9,16.509999999999998,13.47,8.646.060,142.731.000
"November, 2014","16,7  0 (0%)",17.8,15.6,16.7,16.7,17.0,16.5,16.7,16.8,13.31,2.824.270,47.442.000
"December, 2014","15,9  0,1 (0,63%)",16.9,14.7,15.8,15.8,16.2,15.7,15.9,16.03,12.67,2.714.430,43.524.000
"January, 2015","15,7  -0,3 (-1,88%)",17.1,14.9,16.0,16.0,16.0,15.5,15.7,15.8,12.52,2.079.910,32.860.000
"February, 2015","16,3  0,3 (1,88%)",17.1,14.9,16.0,16.0,16.6,16.0,16.3,16.34,12.99,4.697.880,76.767.000
"March, 2015","16  0,2 (1,27%)",16.9,14.7,15.8,15.9,16.2,15.8,16.0,16.04,12.75,1.446.610,23.197.000
"April, 2015","15,7  -0,5 (-3,09%)",17.3,15.1,16.2,16.2,16.2,15.7,15.7,15.85,12.52,1.266.940,20.076.000
"May, 2015","15,8  0,2 (1,28%)",16.6,14.6,15.6,15.6,16.2,15.6,15.8,15.9,12.59,2.721.980,43.275.000
"June, 2015","15,5  -0,2 (-1,27%)",16.7,14.7,15.7,15.7,15.9,15.5,15.5,15.68,12.36,1.387.195,21.683.000
"July, 2015","15,9  -0,2 (-1,24%)",17.2,15.0,16.1,16.0,16.2,15.9,15.9,16.03,12.67,3.952.500,63.264.000
