Date,Changes,Max,Min,Reference Price,Open,High,Low,Close,Average,Adjusted Close,KLGD,GTGD
"January, 2014","13,9  0,1 (0,72%)",14.7,12.9,13.8,13.8,13.9,13.8,13.9,13.81,61.8,500.0,7.0
"February, 2014","13,1  0,2 (1,55%)",13.8,12.0,12.9,13.0,13.1,12.9,13.1,12.98,52.2,249.54,3.239.799
"March, 2014","15,5  1 (6,9%)",15.5,13.5,14.5,14.9,15.5,14.8,15.5,15.29,62.3,1.258.160,19.234.785
"April, 2014","14,8  -0,2 (-1,33%)",16.0,14.0,15.0,15.0,15.0,14.8,14.8,14.8,59.5,89.21,1.320.412
"May, 2014","13,9  -0,2 (-1,42%)",15.0,13.2,14.1,14.0,14.0,13.9,13.9,13.95,55.9,22.2,310.0
"June, 2014",14  0 (0%),14.9,13.1,14.0,14.0,14.1,14.0,14.0,14.0,56.3,19.53,273.000
"July, 2014","13,7  0,1 (0,74%)",14.5,12.7,13.6,13.5,13.7,13.5,13.7,13.54,58.7,11.4,154.0
"August, 2014",14  0 (0%),14.9,13.1,14.0,13.9,14.0,13.9,14.0,13.96,6.0,13.0,182.000
"September, 2014",14  0 (0%),14.9,13.1,14.0,14.0,14.0,13.9,14.0,13.99,6.0,5.68,79.000
"October, 2014","14,2  0,1 (0,71%)",15.0,13.2,14.1,14.1,14.2,14.0,14.2,14.14,60.9,36.41,515.0
"November, 2014","13,8  0,1 (0,73%)",14.6,12.8,13.7,13.8,13.8,13.8,13.8,13.8,61.3,500.0,7.0
"December, 2014","13,7  0,1 (0,74%)",14.5,12.7,13.6,13.8,13.8,13.7,13.7,13.7,60.9,5.95,82.0
"January, 2015","13,9  0 (0%)",14.8,13.0,13.9,13.9,14.1,13.9,13.9,13.99,61.8,53.96,755.0
"February, 2015","13,8  0 (0%)",14.7,12.9,13.8,13.9,13.9,13.8,13.8,13.82,61.3,12.5,173.0
"March, 2015","13,6  0,2 (1,49%)",14.3,12.5,13.4,13.5,13.6,13.5,13.6,13.52,60.4,510.0,7.000
"April, 2015","13,6  0 (0%)",14.5,12.7,13.6,13.6,13.6,13.5,13.6,13.6,60.4,52.82,718.000
"May, 2015","12,4  0 (0%)",13.2,11.6,12.4,12.3,12.5,12.3,12.4,12.4,57.7,123.69,1.534.000
"June, 2015","12,3  0,1 (0,82%)",13.0,11.4,12.2,12.2,12.3,12.2,12.3,12.23,57.3,30.05,368.000
"July, 2015","12,3  0 (0%)",13.1,11.5,12.3,12.4,12.4,12.3,12.3,12.3,57.3,11.01,135.000
"August, 2015","12,4  -0,3 (-2,36%)",13.5,11.9,12.7,12.5,12.6,12.3,12.4,12.42,59.6,269.63,3.348.000
"September, 2015","12,1  0,1 (0,83%)",12.8,11.2,12.0,12.0,12.1,12.0,12.1,12.0,59.1,70.97,852.000
"October, 2015","13  0,3 (2,36%)",13.5,11.9,12.7,12.7,13.0,12.7,13.0,12.77,63.5,53.32,681.000
"November, 2015","11,9  0 (0%)",12.7,11.1,11.9,11.7,11.9,11.6,11.9,11.68,60.6,4.63,54.0
"December, 2015","11,5  0 (0%)",12.1,10.7,11.5,11.4,11.5,11.3,11.5,11.39,58.6,12.84,146.0
"January, 2016","11,3  0 (0%)",12.0,10.6,11.3,11.3,11.3,11.3,11.3,11.3,55.1,5.73,65.000
"February, 2016","12  0,1 (0,84%)",12.7,11.1,11.9,12.0,12.1,11.9,12.0,11.98,58.5,199.13,2.386.000
