Date,Changes,Max,Min,Reference Price,Open,High,Low,Close,Average,Adjusted Close,KLGD,GTGD
"January, 2014","8,3  0 (0%)",88.0,78.0,83.0,83.0,85.0,83.0,83.0,83.4,70.7,193.350,1.612.000
"February, 2014","8,9  0,5 (5,95%)",89.0,79.0,84.0,84.0,89.0,83.0,89.0,86.4,77.4,2.769.180,23.928.854
"March, 2014","8,8  0 (0%)",94.0,82.0,88.0,91.0,91.0,88.0,88.0,89.2,74.9,995.820,8.886.187
"April, 2014","6,3  -0,2 (-3,08%)",69.0,61.0,65.0,64.0,65.0,62.0,63.0,63.5,53.6,343.51,2.180.203
"May, 2014","6,1  -0,1 (-1,61%)",66.0,58.0,62.0,61.0,63.0,6.0,61.0,61.3,51.9,604.130,3.702.000
"June, 2014","6,7  0,2 (3,08%)",69.0,61.0,65.0,64.0,68.0,64.0,67.0,66.5,57.1,969.850,6.454.000
"July, 2014","6,9  0 (0%)",73.0,65.0,69.0,67.0,69.0,67.0,69.0,68.3,58.8,464.230,3.170.000
"August, 2014","8,6  0,3 (3,61%)",88.0,78.0,83.0,83.0,86.0,83.0,86.0,84.2,73.2,985.120,8.300.000
"September, 2014","8,1  0 (0%)",86.0,76.0,81.0,81.0,83.0,8.0,81.0,81.0,69.0,493.590,3.997.000
"October, 2014","8  0,1 (1,27%)",84.0,74.0,79.0,8.0,82.0,79.0,8.0,80.3,68.1,346.030,2.778.000
"November, 2014","8,3  0,1 (1,22%)",87.0,77.0,82.0,82.0,84.0,82.0,83.0,83.0,70.7,287.600,2.387.000
"December, 2014","7,1  0,4 (5,97%)",71.0,63.0,67.0,67.0,71.0,67.0,71.0,70.4,66.8,742.23,5.222.000
"January, 2015","6,5  -0,2 (-2,99%)",71.0,63.0,67.0,67.0,67.0,65.0,65.0,65.8,61.2,358.08,2.357.000
"February, 2015","6,4  0 (0%)",68.0,6.0,64.0,65.0,65.0,64.0,64.0,64.1,60.2,258.38,1.656.000
"March, 2015","5,9  0,1 (1,72%)",62.0,54.0,58.0,58.0,6.0,58.0,59.0,58.9,55.5,169.87,1.001.000
