Date,Changes,Max,Min,Reference Price,Open,High,Low,Close,Average,Adjusted Close,KLGD,GTGD
"January, 2016","10,5  0,68 (6,92%)",10.5,91.4,98.2,10.5,10.5,10.4,10.5,10.5,93.1,162.640,1.707.000
"February, 2016","11,2  0,7 (6,67%)",11.2,97.7,10.5,11.2,11.2,11.1,11.2,11.2,99.4,196.900,2.205.000
"March, 2016","7,8  -0,3 (-3,7%)",86.0,76.0,81.0,81.0,81.0,77.0,78.0,80.1,54.0,243.28,1.949.000
"April, 2016","7,7  0 (0%)",82.0,72.0,77.0,77.0,79.0,76.0,77.0,78.0,50.7,297.59,2.341.000
"May, 2016","9,4  0 (0%)",10.0,88.0,94.0,94.0,94.0,92.0,94.0,92.4,69.6,312.42,2.888.000
"June, 2016","8,5  0,2 (2,41%)",88.0,78.0,83.0,85.0,85.0,83.0,85.0,83.8,61.5,749.7,6.224.000
"July, 2016","7,9  -0,5 (-5,95%)",89.0,79.0,84.0,82.0,84.0,79.0,79.0,81.6,60.8,111.96,913.0
"August, 2016","7,3  -0,2 (-2,67%)",8.0,7.0,75.0,74.0,76.0,72.0,73.0,73.5,55.4,258.6,1.900.000
"September, 2016","6,14  -0,13 (-2,07%)",67.0,58.4,62.7,61.0,63.0,6.0,61.4,61.0,46.6,94.85,579.000
"October, 2016","5,85  -0,1 (-1,68%)",63.6,55.4,59.5,59.0,59.3,57.0,58.5,58.2,44.4,215.24,1.252.000
"November, 2016","9,82  0,64 (6,97%)",98.2,85.4,91.8,98.1,98.2,98.0,98.2,98.1,87.1,245.400,2.355.891
"December, 2016","10,6  0,1 (0,95%)",11.2,97.7,10.5,10.4,10.6,10.3,10.6,10.42,94.5,7.7,80.0
"January, 2017","9,85  0,35 (3,68%)",10.15,88.4,95.0,97.5,98.5,97.5,98.5,98.5,89.0,1.0,10.0
"February, 2017",8  0 (0%),85.6,74.4,8.0,82.0,82.0,74.5,8.0,79.5,72.4,47.05,374.000
"March, 2017","8,1  0 (0%)",86.6,75.4,81.0,81.0,81.0,81.0,81.0,81.0,73.3,30.01,243.0
"April, 2017","7,8  -0,4 (-4,88%)",87.7,76.3,82.0,8.0,8.0,78.0,78.0,8.0,70.6,22.0,176.0
"May, 2017","7,6  0 (0%)",81.3,70.7,76.0,75.0,76.0,75.0,76.0,75.1,68.7,20.1,151.0
"June, 2017","7,3  0,1 (1,39%)",77.0,67.0,72.0,71.0,73.0,7.0,73.0,71.1,66.0,22.91,163.0
"July, 2017","6,79  0 (0%)",72.6,63.2,67.9,67.9,67.9,67.8,67.9,67.7,61.4,20.25,137.0
"August, 2017","5,9  0 (0%)",63.1,54.9,59.0,56.2,59.0,54.9,59.0,57.7,53.4,18.54,107.0
"September, 2017","4,84  -0,36 (-6,92%)",55.6,48.4,52.0,50.4,51.0,48.4,48.4,48.5,43.8,1.205.780,6.013.000
"October, 2017","5,05  0 (0%)",54.0,47.0,50.5,0.0,0.0,0.0,50.5,0.0,45.7,10.0,51.0
"November, 2017","8,5  0,55 (6,92%)",85.0,74.0,79.5,85.0,85.0,85.0,85.0,85.0,76.9,130.280,1.107.000
