Date,Changes,Max,Min,Reference Price,Open,High,Low,Close,Average,Adjusted Close,KLGD,GTGD
"January, 2014","12,5  0 (0%)",13.3,11.7,12.5,0.0,0.0,0.0,12.5,0.0,84.1,1.11,15.0
"February, 2014","15,5  0,1 (0,65%)",16.4,14.4,15.4,15.5,15.8,15.4,15.5,15.46,97.9,7.94,122.766
"March, 2014","14,7  0 (0%)",15.7,13.7,14.7,14.5,14.7,14.5,14.7,14.5,98.9,1.4,20.302
"April, 2014","13,8  0 (0%)",14.7,12.9,13.8,13.1,13.8,13.1,13.8,13.11,92.8,1.87,24.524
"May, 2014","12,5  0,1 (0,81%)",13.2,11.6,12.4,12.5,12.5,12.5,12.5,12.5,84.1,10.0,60.0
"June, 2014","14  0,8 (6,06%)",14.1,12.3,13.2,14.1,14.1,13.3,14.0,13.35,94.2,540.0,7.0
"July, 2014","14  0,5 (3,7%)",14.4,12.6,13.5,13.5,14.0,13.5,14.0,13.5,94.2,5.82,79.0
"August, 2014","13,9  0 (0%)",14.8,13.0,13.9,13.0,13.9,13.0,13.9,13.01,93.5,8.06,105.0
"September, 2014","13,8  0,5 (3,76%)",14.2,12.4,13.3,13.3,13.8,13.3,13.8,13.32,92.8,280.0,4.0
"October, 2014","13,8  0 (0%)",14.7,12.9,13.8,0.0,0.0,0.0,13.8,0.0,92.8,4.7,65.0
"November, 2014","12,5  0 (0%)",13.3,11.7,12.5,0.0,0.0,0.0,12.5,0.0,84.1,1.0,13.0
"December, 2014",13  0 (0%),13.9,12.1,13.0,0.0,0.0,0.0,13.0,0.0,87.4,1.4,18.0
"January, 2015","13,9  0,5 (3,73%)",14.3,12.5,13.4,13.4,13.9,13.4,13.9,13.49,93.5,7.01,95.0
"February, 2015","14,6  0,1 (0,69%)",15.5,13.5,14.5,14.5,14.6,14.5,14.6,14.57,98.2,3.95,58.0
"March, 2015","14  0,1 (0,72%)",14.8,13.0,13.9,14.0,14.0,14.0,14.0,14.0,10.11,40.0,1.0
"April, 2015","14,8  0,4 (2,78%)",15.4,13.4,14.4,14.3,14.8,14.3,14.8,14.55,10.69,20.0,217.0
"May, 2015",14  0 (0%),14.9,13.1,14.0,14.0,14.0,14.0,14.0,14.0,10.11,2.5,35.0
"June, 2015","15,1  -0,1 (-0,66%)",16.2,14.2,15.2,15.1,15.1,15.1,15.1,15.1,10.9,690.0,10.0
"July, 2015","15,5  0 (0%)",16.5,14.5,15.5,15.5,16.2,15.4,15.5,15.52,11.19,6.63,103.0
"August, 2015",17  0 (0%),18.1,15.9,17.0,17.5,17.5,17.0,17.0,17.080000000000002,11.99,60.0,1.0
"September, 2015","17,3  -0,7 (-3,89%)",19.2,16.8,18.0,18.4,18.4,17.1,17.3,17.3,12.13,3.12,54.0
"October, 2015","22  0,2 (0,92%)",23.3,20.3,21.8,21.8,22.0,21.3,22.0,21.78,16.48,10.13,221.0
"November, 2015",21  0 (0%),22.4,19.6,21.0,21.5,22.0,21.0,21.0,21.01,16.89,9.43,198.0
"December, 2015","23,5  0 (0%)",24.6,21.4,23.5,23.0,23.5,23.0,23.5,23.01,19.28,3.28,75.0
"January, 2016","23,5  1 (4,44%)",24.0,21.0,22.5,22.6,23.5,22.6,23.5,22.73,19.78,140.0,3.0
"February, 2016","23  -0,4 (-1,71%)",25.0,21.8,23.4,0.0,23.5,23.0,23.0,23.17,19.36,3.07,71.0
"March, 2016","22,9  -1,5 (-6,15%)",26.1,22.7,24.4,23.7,23.9,22.8,22.9,23.11,18.95,1.53,35.0
"April, 2016",27  0 (0%),28.8,25.2,27.0,27.0,27.0,26.2,27.0,26.53,22.34,550.0,15.0
"May, 2016",28  0 (0%),30.0,26.2,28.0,27.5,28.0,27.5,28.0,27.85,22.58,8.64,241.0
"June, 2016","33,6  0,6 (1,82%)",35.3,30.7,33.0,33.6,34.0,33.0,33.6,33.2,26.62,7.15,237.000
"July, 2016","37,9  0,4 (1,07%)",40.1,34.9,37.5,38.4,38.4,37.6,37.9,37.77,30.48,18.96,716.000
"August, 2016","43,2  -0,4 (-0,92%)",46.6,40.6,43.6,44.0,44.5,43.2,43.2,43.84,34.75,116.7,5.211.100
