Date,Changes,Max,Min,Reference Price,Open,High,Low,Close,Average,Adjusted Close,KLGD,GTGD
"January, 2014","9,2  -0,3 (-3,16%)",10.1,89.0,95.0,94.0,96.0,91.0,92.0,93.6,52.7,1.073.050,10.042.000
"February, 2014","7,4  0 (0%)",79.0,69.0,74.0,74.0,75.0,73.0,74.0,73.6,42.4,986.710,7.262.128
"March, 2014","8  -0,1 (-1,23%)",86.0,76.0,81.0,82.0,83.0,8.0,8.0,81.2,45.9,1.380.430,11.209.616
"April, 2014","7,2  0 (0%)",77.0,67.0,72.0,71.0,72.0,7.0,72.0,71.2,41.3,201.910,1.436.901
"May, 2014","6,7  -0,1 (-1,47%)",72.0,64.0,68.0,67.0,68.0,65.0,67.0,66.7,38.4,1.386.850,9.254.000
"June, 2014","7,2  0,1 (1,41%)",75.0,67.0,71.0,72.0,74.0,71.0,72.0,72.3,41.3,1.902.290,13.760.000
"July, 2014","7,7  0,1 (1,32%)",81.0,71.0,76.0,75.0,77.0,75.0,77.0,76.4,44.1,436.880,3.339.000
"August, 2014","8,5  0,2 (2,41%)",88.0,78.0,83.0,84.0,86.0,83.0,85.0,84.6,48.7,1.166.290,9.868.000
"September, 2014","9,1  0,3 (3,41%)",94.0,82.0,88.0,88.0,91.0,87.0,91.0,89.4,52.2,2.426.680,21.684.000
"October, 2014","9,2  0,3 (3,37%)",95.0,83.0,89.0,88.0,92.0,88.0,92.0,90.3,52.7,572.88,5.172.000
"November, 2014","9,5  0,4 (4,4%)",97.0,85.0,91.0,9.0,96.0,9.0,95.0,93.8,54.4,1.985.740,18.620.000
"December, 2014","8,5  0,4 (4,94%)",86.0,76.0,81.0,82.0,86.0,82.0,85.0,85.0,48.7,212.48,1.806.000
"January, 2015","8,1  -0,2 (-2,41%)",88.0,78.0,83.0,83.0,83.0,8.0,81.0,81.2,46.4,595.71,4.838.000
"February, 2015","8  -0,2 (-2,44%)",87.0,77.0,82.0,82.0,82.0,79.0,8.0,79.5,45.9,926.43,7.362.000
"March, 2015",7  0 (0%),74.0,66.0,7.0,7.0,71.0,69.0,7.0,7.0,40.1,136.03,952.000
"April, 2015","7,5  -0,1 (-1,32%)",81.0,71.0,76.0,77.0,77.0,75.0,75.0,75.3,43.0,91.77,691.000
"May, 2015","8,1  0,1 (1,25%)",85.0,75.0,8.0,81.0,82.0,79.0,81.0,80.6,46.4,1.164.810,9.392.000
"June, 2015","8  -0,3 (-3,61%)",88.0,78.0,83.0,82.0,83.0,8.0,8.0,81.5,45.9,1.016.180,8.281.000
"July, 2015","7,6  -0,3 (-3,8%)",84.0,74.0,79.0,78.0,79.0,76.0,76.0,77.4,43.6,206.62,1.598.000
"August, 2015","6,6  -0,2 (-2,94%)",72.0,64.0,68.0,68.0,68.0,66.0,66.0,66.5,36.3,72.24,481.000
"September, 2015","6,8  -0,1 (-1,45%)",73.0,65.0,69.0,69.0,69.0,67.0,68.0,68.3,37.4,98.2,670.000
"October, 2015","7,1  0,1 (1,43%)",74.0,66.0,7.0,7.0,71.0,7.0,71.0,70.3,38.5,221.51,1.557.000
"November, 2015","7  -0,1 (-1,41%)",75.0,67.0,71.0,71.0,72.0,69.0,7.0,70.3,38.0,617.100,4.341.000
"December, 2015","7  0,2 (2,94%)",71.0,63.0,68.0,68.0,7.0,67.0,7.0,68.3,38.0,284.57,1.944.000
"January, 2016","5,6  0,2 (3,7%)",57.0,51.0,54.0,54.0,57.0,54.0,56.0,55.8,29.8,330.56,1.845.000
"February, 2016","5,8  0,1 (1,75%)",6.0,54.0,57.0,58.0,58.0,56.0,58.0,57.0,30.8,100.400,573.000
