Date,Changes,Max,Min,Reference Price,Open,High,Low,Close,Average,Adjusted Close,KLGD,GTGD
"January, 2014","5,7  0 (0%)",6.0,54.0,57.0,57.0,58.0,56.0,57.0,56.6,46.9,312.44,1.767.000
"February, 2014","7,4  0 (0%)",79.0,69.0,74.0,74.0,76.0,73.0,74.0,74.1,59.0,467.160,3.460.380
"March, 2014","8,6  0 (0%)",92.0,8.0,86.0,86.0,89.0,86.0,86.0,86.7,68.6,481.770,4.177.368
"April, 2014","6,9  0,4 (6,15%)",69.0,61.0,65.0,66.0,69.0,66.0,69.0,67.6,55.0,612.96,4.144.417
"May, 2014","6,1  -0,1 (-1,61%)",66.0,58.0,62.0,63.0,63.0,61.0,61.0,61.5,50.2,311.35,1.916.000
"June, 2014","6,3  0,1 (1,61%)",66.0,58.0,62.0,63.0,64.0,62.0,63.0,63.0,51.9,214.630,1.351.000
"July, 2014",6  0 (0%),64.0,56.0,6.0,6.0,61.0,59.0,6.0,59.9,49.4,162.610,974.000
"August, 2014","6,5  0,4 (6,56%)",65.0,57.0,61.0,62.0,65.0,62.0,65.0,64.7,53.5,1.569.450,10.148.000
"September, 2014","6  0,1 (1,69%)",63.0,55.0,59.0,6.0,61.0,58.0,6.0,60.1,49.4,526.04,3.161.000
"October, 2014","6  0,1 (1,69%)",63.0,55.0,59.0,59.0,61.0,59.0,6.0,59.8,49.4,173.99,1.040.000
"November, 2014","5,7  0 (0%)",6.0,54.0,57.0,57.0,58.0,56.0,57.0,57.0,46.9,96.96,553.000
"December, 2014","5,2  0,3 (6,12%)",52.0,46.0,49.0,5.0,52.0,5.0,52.0,51.5,42.8,174.32,898.000
"January, 2015","4,8  -0,2 (-4%)",53.0,47.0,5.0,5.0,5.0,48.0,48.0,49.2,39.5,181.83,895.000
"February, 2015","3,8  -0,1 (-2,56%)",41.0,37.0,39.0,38.0,39.0,37.0,38.0,38.0,31.3,137.57,523.000
"March, 2015","3,4  0,1 (3,03%)",35.0,31.0,33.0,33.0,34.0,32.0,34.0,32.9,28.0,77.65,255.0
"April, 2015","2,5  0 (0%)",26.0,24.0,25.0,25.0,25.0,24.0,25.0,24.2,20.6,156.43,378.0
"May, 2015","2,4  0 (0%)",25.0,23.0,24.0,24.0,25.0,23.0,24.0,24.0,19.8,314.39,755.000
"June, 2015","2,3  -0,1 (-4,17%)",25.0,23.0,24.0,23.0,24.0,23.0,23.0,23.0,18.9,685.04,1.576.000
"July, 2015","2,4  0,1 (4,35%)",24.0,22.0,23.0,23.0,24.0,23.0,24.0,23.3,19.8,148.31,346.0
"August, 2015",2  0 (0%),21.0,19.0,2.0,2.0,2.0,19.0,2.0,19.8,16.5,29.46,58.0
"September, 2015","2  0,1 (5,26%)",2.0,18.0,19.0,19.0,2.0,19.0,2.0,19.0,17.3,5.02,10.0
"October, 2015","1,8  0 (0%)",19.0,17.0,18.0,18.0,19.0,17.0,18.0,17.2,16.5,25.95,45.0
"November, 2015",2  0 (0%),21.0,19.0,2.0,21.0,21.0,19.0,2.0,19.1,18.3,50.71,97.0
"December, 2015","2,1  0,1 (5%)",2.0,18.0,2.0,21.0,21.0,21.0,21.0,21.0,19.2,37.84,79.0
"January, 2016","1,9  0 (0%)",2.0,18.0,19.0,19.0,19.0,18.0,19.0,18.0,21.2,3.1,6.0
"February, 2016","2,5  0,1 (4,17%)",25.0,23.0,24.0,25.0,25.0,24.0,25.0,25.0,27.9,138.51,346.0
"March, 2016","4,1  -0,3 (-6,82%)",47.0,41.0,44.0,42.0,43.0,41.0,41.0,41.6,45.7,642.350,2.670.000
"April, 2016","2,7  0,1 (3,85%)",27.0,25.0,26.0,27.0,27.0,27.0,27.0,27.0,28.1,61.08,165.0
"May, 2016","2,6  0,1 (4%)",25.0,23.0,25.0,26.0,26.0,26.0,26.0,26.0,27.2,84.19,219.000
"June, 2016","2,3  0 (0%)",24.0,22.0,23.0,23.0,24.0,23.0,23.0,23.5,23.0,148.86,350.0
"July, 2016","1,8  0,1 (5,88%)",18.0,16.0,17.0,17.0,18.0,17.0,18.0,17.0,17.1,121.04,206.0
"August, 2016","1,6  -0,1 (-5,88%)",18.0,16.0,17.0,16.0,17.0,16.0,16.0,16.0,14.4,13.79,22.0
"September, 2016","1,39  -0,02 (-1,42%)",15.0,13.2,14.1,14.1,14.1,13.4,13.9,13.8,12.5,28.22,39.0
"October, 2016","1,31  0,02 (1,55%)",13.8,12.0,12.9,12.3,13.1,12.2,13.1,12.7,11.8,16.93,22.0
"November, 2016","1,81  0,11 (6,47%)",18.1,15.9,17.0,16.2,18.1,16.2,18.1,18.0,17.3,172.64,310.0
"December, 2016","1,59  0,04 (2,58%)",16.5,14.5,15.5,14.7,15.9,14.7,15.9,14.8,15.2,7.31,11.0
"January, 2017","1,43  0,01 (0,7%)",15.1,13.3,14.2,14.2,14.3,14.2,14.3,14.2,13.7,15.64,22.0
"February, 2017","1,43  0,02 (1,42%)",15.0,13.2,14.1,14.4,14.5,14.1,14.3,14.2,13.7,41.97,59.0
"March, 2017","1,31  0,01 (0,77%)",13.9,12.1,13.0,13.3,13.3,12.9,13.1,13.1,12.5,2.98,4.0
"April, 2017","0,96  0 (0%)",10.2,9.0,96.0,96.0,96.0,94.0,96.0,93.0,92.0,41.96,39.0
"May, 2017","1  0,02 (2,04%)",10.4,92.0,98.0,98.0,1.0,96.0,1.0,10.4,96.0,9.65,10.000
"June, 2017","1,05  -0,02 (-1,87%)",11.4,1.0,10.7,10.3,10.6,10.2,10.5,10.5,1.0,95.57,100.000
"July, 2017","1,17  0,07 (6,36%)",11.7,10.3,11.0,11.6,11.7,11.6,11.7,11.7,11.2,833.870,976.000
"August, 2017","1,19  0,01 (0,85%)",12.6,11.0,11.8,12.0,12.0,11.4,11.9,11.5,11.4,68.57,79.0
