Date,Changes,Max,Min,Reference Price,Open,High,Low,Close,Average,Adjusted Close,KLGD,GTGD
"January, 2015","11,6  0 (0%)",12.4,10.8,11.6,11.6,11.8,11.5,11.6,11.63,45.0,254.76,2.962.000
"February, 2015","11,7  0,1 (0,86%)",12.4,10.8,11.6,11.7,11.9,11.7,11.7,11.75,45.4,163.68,1.936.000
"March, 2015","12,3  0,6 (5,13%)",12.4,10.8,11.7,12.3,12.3,11.7,12.3,12.05,48.1,654.82,7.889.000
"April, 2015","12,4  0,1 (0,81%)",12.5,10.9,12.3,12.4,12.4,11.9,12.4,12.14,51.0,196.86,2.389.000
"May, 2015","16,9  -0,3 (-1,74%)",18.4,16.0,17.2,17.1,17.3,16.8,16.9,16.98,65.6,791.260,13.438.000
"June, 2015","16,3  -0,6 (-3,55%)",18.0,15.8,16.9,16.9,16.9,16.3,16.3,16.56,63.2,1.209.300,20.023.000
"July, 2015","12,2  -0,2 (-1,61%)",13.1,11.5,12.4,12.4,12.4,11.9,12.2,12.06,50.6,207.6,2.526.000
"August, 2015","11,9  0 (0%)",12.7,11.1,11.9,11.9,12.2,11.7,11.9,11.82,45.0,161.890,1.913.000
"September, 2015","14  -0,4 (-2,78%)",15.4,13.4,14.4,14.5,14.8,14.0,14.0,14.26,53.9,2.968.690,42.346.000
"October, 2015","16,2  -0,3 (-1,82%)",17.6,15.4,16.5,16.2,16.4,15.9,16.2,16.19,62.8,551.100,8.925.000
"November, 2015","11,6  -0,7 (-5,69%)",13.1,11.5,12.3,12.3,12.3,11.5,11.6,11.77,45.0,573.44,6.752.000
"December, 2015","11,7  0,2 (1,74%)",12.3,10.7,11.5,11.5,11.7,11.3,11.7,11.54,46.5,227.410,2.624.000
"January, 2016","11,4  0,2 (1,79%)",11.9,10.5,11.2,11.3,11.5,11.2,11.4,11.31,44.3,309.41,3.501.000
"February, 2016","10,9  -0,3 (-2,68%)",11.9,10.5,11.2,10.9,11.3,10.9,10.9,11.12,42.3,355.19,3.951.000
