Date,Changes,Max,Min,Reference Price,Open,High,Low,Close,Average,Adjusted Close,KLGD,GTGD
"January, 2014","31,1  2 (6,87%)",31.1,27.1,29.1,29.0,31.1,29.0,31.1,30.85,16.31,217.83,6.720.000
"February, 2014","17  1,1 (6,92%)",17.0,14.8,15.9,14.8,17.0,14.8,17.0,15.96,59.5,30.66,489.243
"March, 2014","16,9  0,4 (2,42%)",17.6,15.4,16.5,16.7,16.9,16.6,16.9,16.82,59.1,12.09,203.301
"April, 2014","16,7  -1,2 (-6,7%)",19.1,16.7,17.9,16.7,17.9,16.7,16.7,17.0,58.4,40.0,680.0
"May, 2014","16,1  1 (6,62%)",16.1,14.1,15.1,16.0,16.1,16.0,16.1,16.1,56.3,20.75,334.0
"June, 2014","23,3  -1,7 (-6,8%)",26.7,23.3,25.0,23.3,23.3,23.3,23.3,23.3,81.5,10.0,12.0
"July, 2014","37,8  2,2 (6,18%)",38.0,33.2,35.6,38.0,38.0,35.8,37.8,37.760000000000005,13.22,1.85,70.0
"August, 2014","21,2  0 (0%)",22.6,19.8,21.2,21.2,22.6,21.2,21.2,21.2,11.12,212.67,4.509.000
"September, 2014","25,9  0,6 (2,37%)",27.0,23.6,25.3,24.7,26.5,24.7,25.9,25.74,13.580000000000002,1.469.530,37.820.000
"October, 2014","25,4  -0,4 (-1,55%)",27.6,24.0,25.8,25.1,25.8,25.1,25.4,25.47,13.32,191.47,4.910.000
"November, 2014","29,1  1,2 (4,3%)",29.8,26.0,27.9,27.9,29.8,26.0,29.1,28.94,15.26,221.44,6.409.000
"December, 2014","37,2  2,4 (6,9%)",37.2,32.4,34.8,37.2,37.2,37.1,37.2,37.19,19.51,133.07,4.949.000
"January, 2015","29,5  1,9 (6,88%)",29.5,25.7,27.6,29.4,29.5,29.0,29.5,29.380000000000003,22.59,130.88,3.845.000
"February, 2015","33,8  0 (0%)",36.1,31.5,33.8,33.4,33.8,33.4,33.8,33.43,25.89,2.56,86.0
"March, 2015","23,7  0,9 (3,95%)",24.3,21.3,22.8,22.7,23.7,22.7,23.7,23.12,18.15,153.56,3.551.000
"April, 2015","21,6  -0,3 (-1,37%)",23.4,20.4,21.9,21.8,21.8,21.6,21.6,21.66,16.54,69.65,1.509.000
"May, 2015","23  -1 (-4,17%)",25.6,22.4,24.0,23.7,23.9,23.0,23.0,23.27,17.619999999999997,733.65,17.476.000
"June, 2015","24,1  0 (0%)",25.7,22.5,24.1,24.4,24.4,23.8,24.1,24.04,18.46,87.43,2.102.000
"July, 2015","25,6  -0,3 (-1,16%)",27.7,24.1,25.9,26.0,26.5,25.6,25.6,26.03,19.61,103.21,2.686.000
"August, 2015","23,3  -0,4 (-1,69%)",25.3,22.1,23.7,23.3,23.4,22.7,23.3,23.02,19.93,31.36,722.000
"September, 2015","22,4  0,4 (1,82%)",23.5,20.5,22.0,21.4,22.4,21.2,22.4,22.31,18.91,39.05,871.0
"October, 2015","24,8  0,6 (2,48%)",25.8,22.6,24.2,24.3,25.0,24.2,24.8,24.630000000000003,20.47,93.96,2.314.000
"November, 2015","22,1  -1,3 (-5,56%)",25.0,21.8,23.4,23.3,23.3,22.1,22.1,22.31,18.24,7.52,168.000
"December, 2015","23,6  -0,1 (-0,42%)",25.0,21.8,23.7,22.7,23.6,22.7,23.6,23.6,18.2,50.12,1.183.000
"January, 2016","22,5  -0,1 (-0,44%)",24.1,21.1,22.6,22.5,22.6,22.5,22.5,22.5,18.15,19.43,437.0
"February, 2016","22,3  0,5 (2,29%)",23.3,20.3,21.8,0.0,22.7,21.5,22.3,21.79,17.990000000000002,1.0,22.0
"March, 2016","21,4  0,7 (3,38%)",22.1,19.3,20.7,21.5,21.5,21.4,21.4,21.5,18.14,23.01,495.0
"April, 2016","21,3  -0,3 (-1,39%)",23.1,20.1,21.6,21.0,21.3,20.2,21.3,20.95,17.11,11.76,246.0
"May, 2016","20,3  0,6 (3,05%)",21.4,18.6,19.7,20.3,20.3,19.7,20.3,20.06,15.98,1.760,35.000
"June, 2016",23  0 (0%),24.6,21.4,23.0,23.0,23.4,23.0,23.0,23.24,18.94,25.35,589.000
"July, 2016",22  0 (0%),23.5,20.5,22.0,21.9,22.0,21.8,22.0,21.89,17.35,4.08,89.000
"August, 2016","23,8  0 (0%)",25.4,22.2,23.8,23.9,24.0,23.7,23.8,23.79,19.34,8.810,210.000
"September, 2016","23,4  0 (0%)",25.0,21.8,23.4,23.9,23.9,21.85,23.4,23.29,19.55,1.77,41.000
"October, 2016","22,65  0,95 (4,38%)",23.2,20.2,21.7,20.5,22.65,20.5,22.65,20.59,18.93,230.0,5.000
"November, 2016","24,4  -0,1 (-0,41%)",26.2,22.8,24.5,22.85,24.4,22.85,24.4,23.73,22.08,14.49,344.0
"December, 2016","24,3  0 (0%)",26.0,22.6,24.3,0.0,0.0,0.0,24.3,0.0,21.99,1.02,25.000
"January, 2017","25,25  0 (0%)",27.0,23.5,25.25,25.25,25.25,24.0,25.25,25.25,22.85,1.680.410,42.430.000
"February, 2017","32,3  1,3 (4,19%)",33.15,28.85,31.0,29.0,32.5,28.85,32.3,31.58,29.23,770.0,24.0
"March, 2017","24  -0,35 (-1,44%)",26.05,22.65,24.35,23.6,24.0,23.6,24.0,23.98,22.57,11.81,283.0
"April, 2017","24  -0,5 (-2,04%)",26.2,22.8,24.5,25.0,25.0,23.0,24.0,23.08,22.57,130.0,3.0
"May, 2017","22,65  -1,55 (-6,4%)",25.85,22.55,24.2,22.6,23.9,22.6,22.65,23.08,21.3,520.0,12.0
"June, 2017","23,7  0,3 (1,28%)",25.0,21.8,23.4,23.7,23.7,23.7,23.7,20.0,22.29,100.0,2.0
"July, 2017","21,65  -1,55 (-6,68%)",24.8,21.6,23.2,21.65,21.65,21.65,21.65,21.65,20.36,10.0,217.0
"August, 2017","22,5  -0,5 (-2,17%)",24.6,21.4,23.0,22.5,22.5,22.5,22.5,22.5,21.16,10.0,225.0
"September, 2017","22,95  -0,55 (-2,34%)",25.1,21.9,23.5,22.0,22.95,22.0,22.95,22.48,21.58,20.0,450.0
"October, 2017","23,85  0,75 (3,25%)",24.7,21.5,23.1,23.1,23.85,23.1,23.85,25.0,22.43,40.0,1.0
"November, 2017","21,15  -1,25 (-5,58%)",23.95,20.85,22.4,21.0,21.15,21.0,21.15,20.0,19.89,50.0,1.0
"December, 2017","23,45  0,95 (4,22%)",24.05,20.95,22.5,23.45,23.45,23.45,23.45,23.35,22.05,5.01,117.0
"January, 2018","20,95  0 (0%)",22.4,19.5,20.95,0.0,0.0,0.0,20.95,0.0,19.7,1.34,28.0
"February, 2018","19,4  -1,45 (-6,95%)",22.3,19.4,20.85,19.45,20.85,19.4,19.4,18.52,18.25,270.0,5.0
"March, 2018","18,4  0,8 (4,55%)",18.8,16.4,17.6,18.75,18.75,16.45,18.4,18.18,17.3,220.0,4.0
"April, 2018","26,5  0 (0%)",28.35,24.65,26.5,27.4,27.4,26.5,26.5,27.27,24.92,220.0,6.000
"May, 2018","21,15  1,35 (6,82%)",21.15,18.45,19.8,19.0,21.15,18.45,21.15,20.0,19.89,1.75,35.0
"June, 2018","25,05  -1,85 (-6,88%)",28.75,25.05,26.9,28.75,28.75,25.05,25.05,27.27,23.56,110.0,3.0
"July, 2018",27  0 (0%),28.85,25.15,27.0,0.0,0.0,0.0,27.0,0.0,25.39,10.0,270.0
"August, 2018","28,85  1,85 (6,85%)",28.85,25.15,27.0,28.85,28.85,25.15,28.85,28.57,27.130000000000003,70.0,2.0
"September, 2018","27,8  0 (0%)",29.7,25.9,27.8,0.0,0.0,0.0,27.8,0.0,26.15,100.0,3.0
"October, 2018","25,7  0 (0%)",27.45,23.95,25.7,25.7,25.7,25.7,25.7,25.7,24.17,10.0,257.0
"November, 2018",33  0 (0%),35.3,30.7,33.0,0.0,0.0,0.0,33.0,0.0,31.04,10.0,330.0
"December, 2018","35,3  0 (0%)",37.75,32.85,35.3,0.0,0.0,0.0,35.3,0.0,33.2,60.0,2.0
"January, 2019","35,3  0 (0%)",37.75,32.85,35.3,0.0,0.0,0.0,35.3,0.0,33.2,10.0,400.0
"February, 2019","35,3  0 (0%)",37.75,32.85,35.3,0.0,0.0,0.0,35.3,0.0,33.2,10.0,353.0
"March, 2019","28,5  -2,1 (-6,86%)",32.7,28.5,30.6,28.5,28.5,28.5,28.5,33.33,26.8,30.0,1.0
"April, 2019","24,5  0 (0%)",26.2,22.8,24.5,24.5,24.5,24.5,24.5,24.5,23.04,10.0,245.0
"May, 2019","31  2 (6,9%)",31.0,27.0,29.0,28.5,31.0,28.5,31.0,29.52,29.15,2.27,67.000
"June, 2019","34,1  2,2 (6,9%)",34.1,29.7,31.9,34.1,34.1,34.1,34.1,34.1,32.07,10.0,341.0
"July, 2019","39,45  0 (0%)",42.2,36.7,39.45,39.45,39.45,39.45,39.45,39.45,37.1,10.0,395.0
"August, 2019","45  1 (2,27%)",47.05,40.95,44.0,44.0,45.0,44.0,45.0,43.98,42.32,17.69,778.0
"September, 2019","36,7  -0,3 (-0,81%)",39.55,34.45,37.0,36.7,36.7,36.7,36.7,50.0,34.52,20.0,1.0
"October, 2019",40  0 (0%),42.8,37.2,40.0,0.0,0.0,0.0,40.0,0.0,37.62,1.5,60.0
"November, 2019",39  0 (0%),41.7,36.3,39.0,0.0,0.0,0.0,39.0,0.0,36.68,10.0,390.0
"December, 2019","39,5  0 (0%)",42.25,36.75,39.5,0.0,0.0,0.0,39.5,0.0,37.15,450.0,18.0
"January, 2020","39,5  0 (0%)",42.25,36.75,39.5,0.0,0.0,0.0,39.5,0.0,39.5,10.0,395.0
"February, 2020","45,4  2,9 (6,82%)",45.45,39.55,42.5,45.45,45.45,44.6,45.4,45.1,45.4,510.0,23.0
"March, 2020","44,4  2,9 (6,99%)",44.4,38.6,41.5,38.6,44.4,38.6,44.4,40.62,44.4,8.1,329.0
"April, 2020",42  0 (0%),44.9,39.1,42.0,0.0,0.0,0.0,42.0,0.0,42.0,20.0,1.0
"May, 2020","44,4  -0,1 (-0,22%)",47.6,41.4,44.5,41.4,44.4,41.4,44.4,41.35,44.4,2.08,86.0
"June, 2020","42,5  0 (0%)",45.45,39.55,42.5,0.0,0.0,0.0,42.5,0.0,0.0,73.82,3.100.000
"July, 2020","44  1,4 (3,29%)",45.55,39.65,42.6,42.6,44.0,42.6,44.0,44.23,0.0,520.0,23.000
"August, 2020","47,3  -3,5 (-6,89%)",54.3,47.25,50.8,52.0,53.2,47.3,47.3,53.13,0.0,7.51,399.000
"September, 2020","55,9  -4,2 (-6,99%)",64.3,55.9,60.1,55.9,55.9,55.9,55.9,56.25,0.0,480.0,27.0
"October, 2020",63  0 (0%),67.4,58.6,63.0,58.6,63.0,58.6,63.0,58.85,0.0,2.09,123.0
"November, 2020","66  0,2 (0,3%)",70.4,61.2,65.8,66.0,66.0,66.0,66.0,50.0,0.0,20.0,1.0
"December, 2020","69  -0,5 (-0,72%)",74.3,64.7,69.5,65.0,69.0,64.7,69.0,68.17999999999999,0.0,220.0,15.0
"January, 2021",66  0 (0%),70.6,61.4,66.0,0.0,0.0,0.0,66.0,0.0,0.0,200.0,14.0
"February, 2021",84  0 (0%),89.8,78.2,84.0,0.0,0.0,0.0,84.0,0.0,0.0,1.3,110.000
"March, 2021",67  0 (0%),71.6,62.4,67.0,62.6,67.0,62.6,67.0,66.67,0.0,300.0,20.0
"April, 2021","62,8  0 (0%)",67.1,58.5,62.8,0.0,0.0,0.0,62.8,0.0,0.0,800.0,47.0
"May, 2021","61,9  0 (0%)",66.2,57.6,61.9,0.0,0.0,0.0,61.9,0.0,0.0,1.1,61.0
"June, 2021","55,8  0 (0%)",59.7,51.9,55.8,0.0,0.0,0.0,55.8,0.0,0.0,700.0,39.0
"July, 2021","57,1  0 (0%)",61.0,53.2,57.1,0.0,0.0,0.0,57.1,0.0,0.0,4.3,225.0
"August, 2021","60  -1,9 (-3,07%)",66.2,57.6,61.9,61.8,61.8,57.6,60.0,60.0,0.0,500.0,30.0
"September, 2021","50  0,9 (1,83%)",52.5,45.7,49.1,49.1,50.0,49.1,50.0,49.17,0.0,1.2,59.0
"October, 2021","51,4  -3,6 (-6,55%)",58.8,51.2,55.0,51.4,51.4,51.4,51.4,50.0,0.0,100.0,5.0
"November, 2021",50  0 (0%),53.5,46.5,50.0,50.0,50.0,50.0,50.0,50.0,0.0,700.0,35.0
"December, 2021","48,1  0 (0%)",51.4,44.75,48.1,0.0,0.0,0.0,48.1,0.0,0.0,1.6,76.0
