Date,Changes,Max,Min,Reference Price,Open,High,Low,Close,Average,Adjusted Close,KLGD,GTGD
"January, 2014","6,9  -0,1 (-1,43%)",74.0,66.0,7.0,7.0,7.0,69.0,69.0,69.2,34.0,55.38,383.000
"February, 2014","4,3  0 (0%)",46.0,4.0,43.0,44.0,44.0,42.0,43.0,43.0,21.2,53.69,230.666
"March, 2014","5,6  -0,2 (-3,45%)",62.0,54.0,58.0,55.0,6.0,55.0,56.0,55.7,27.6,39.76,221.555
"April, 2014","4,5  0 (0%)",48.0,42.0,45.0,43.0,45.0,43.0,45.0,43.0,22.2,2.54,10.926
"May, 2014","4,7  0,1 (2,17%)",49.0,43.0,46.0,47.0,47.0,47.0,47.0,47.0,23.2,10.0,25.0
"June, 2014","4,3  0,1 (2,38%)",44.0,4.0,42.0,43.0,43.0,42.0,43.0,42.2,21.2,2.52,11.0
"July, 2014","5,3  0,2 (3,92%)",54.0,48.0,51.0,52.0,53.0,52.0,53.0,52.5,26.1,3.57,19.0
"August, 2014","6,5  0,1 (1,56%)",68.0,6.0,64.0,62.0,67.0,61.0,65.0,63.6,32.0,228.85,1.456.000
"September, 2014","6,4  0 (0%)",68.0,6.0,64.0,62.0,64.0,62.0,64.0,62.9,31.5,27.31,172.0
"October, 2014","6,3  0 (0%)",67.0,59.0,63.0,64.0,64.0,63.0,63.0,63.0,31.0,21.15,133.0
"November, 2014","7  0,1 (1,45%)",73.0,65.0,69.0,69.0,7.0,68.0,7.0,68.9,34.5,24.34,168.000
"December, 2014","6,5  0,3 (4,84%)",66.0,58.0,62.0,65.0,65.0,64.0,65.0,64.5,32.0,17.16,111.0
"January, 2015","6,5  -0,2 (-2,99%)",71.0,63.0,67.0,67.0,67.0,65.0,65.0,65.0,32.0,7.05,46.0
"February, 2015","6,8  0,1 (1,49%)",71.0,63.0,67.0,68.0,68.0,67.0,68.0,67.0,33.5,5.93,40.0
"March, 2015","7,8  -0,1 (-1,27%)",84.0,74.0,79.0,84.0,84.0,78.0,78.0,83.2,38.4,118.16,983.0
"April, 2015","7,3  0 (0%)",78.0,68.0,73.0,0.0,0.0,0.0,73.0,0.0,36.0,15.21,110.0
"May, 2015","7,3  0 (0%)",78.0,68.0,73.0,72.0,73.0,7.0,73.0,71.5,36.0,44.9,321.0
