Date,Changes,Max,Min,Reference Price,Open,High,Low,Close,Average,Adjusted Close,KLGD,GTGD
"January, 2014","32  -0,4 (-1,23%)",34.6,30.2,32.4,32.1,32.4,31.8,32.0,32.07,11.14,9.95,319.0
"February, 2014","32,1  -0,1 (-0,31%)",34.4,30.0,32.2,32.2,32.2,31.8,32.1,31.92,10.57,2.96,94.483
"March, 2014","31,6  -0,2 (-0,63%)",34.0,29.6,31.8,31.5,31.9,31.5,31.6,31.68,10.41,6.41,203.057
"April, 2014","30,3  0 (0%)",32.4,28.2,30.3,30.2,30.3,30.2,30.3,30.23,99.8,2.16,65.305
"May, 2014","26,9  0,4 (1,51%)",28.3,24.7,26.5,26.5,26.9,26.5,26.9,26.610000000000003,93.6,2.74,73.0
"June, 2014","26,7  0 (0%)",28.5,24.9,26.7,26.4,26.7,26.4,26.7,26.410000000000004,92.9,230.0,6.000
"July, 2014","27  -0,1 (-0,37%)",28.9,25.3,27.1,26.6,27.0,26.6,27.0,26.6,94.0,910.0,24.0
"August, 2014","29,2  -0,1 (-0,34%)",31.3,27.3,29.3,29.0,29.2,28.8,29.2,28.94,10.16,4.11,119.0
"September, 2014",30  0 (0%),32.1,27.9,30.0,29.5,30.0,29.5,30.0,29.52,10.44,2.6,77.000
"October, 2014","29,6  0,2 (0,68%)",31.4,27.4,29.4,29.5,29.6,29.5,29.6,29.51,10.3,80.0,2.0
"November, 2014","32,4  -0,3 (-0,92%)",34.9,30.5,32.7,33.0,33.0,32.0,32.4,32.34,11.28,29.28,947.0
"December, 2014",32  0 (0%),34.2,29.8,32.0,31.6,32.0,31.6,32.0,31.880000000000003,11.14,5.09,162.0
"January, 2015","32,5  -0,1 (-0,31%)",34.8,30.4,32.6,32.5,32.6,32.5,32.5,32.5,11.31,18.74,609.0
"February, 2015","34,1  0,1 (0,29%)",36.3,31.7,34.0,34.0,34.2,34.0,34.1,34.1,11.87,8.24,281.000
"March, 2015","35,5  0,2 (0,57%)",37.7,32.9,35.3,35.5,35.5,35.3,35.5,35.44,12.35,14.52,515.0
"April, 2015","37,2  -0,3 (-0,8%)",40.1,34.9,37.5,37.5,37.5,37.0,37.2,37.14,13.88,24.65,915.000
"May, 2015","36,5  0 (0%)",39.0,34.0,36.5,36.5,36.5,36.5,36.5,36.5,13.62,17.08,623.0
"June, 2015","36,5  -1,3 (-3,44%)",40.4,35.2,37.8,37.8,37.8,36.5,36.5,37.47,13.62,46.88,1.757.000
"July, 2015",39  0 (0%),41.7,36.3,39.0,39.0,39.0,38.5,39.0,38.73,14.56,13.0,503.000
"August, 2015","42  1 (2,44%)",43.8,38.2,41.0,42.2,42.2,41.0,42.0,41.19,16.0,3.71,153.000
"September, 2015","47,9  0,4 (0,84%)",50.5,44.2,47.5,47.5,47.9,47.4,47.9,47.53,18.64,47.32,2.249.000
"October, 2015","53,5  0,5 (0,94%)",56.5,49.3,53.0,53.5,53.5,53.0,53.5,53.120000000000005,22.76,8.1,430.000
"November, 2015",55  0 (0%),58.5,51.5,55.0,55.0,55.0,54.5,55.0,54.73,23.62,15.41,843.000
"December, 2015","58  -0,5 (-0,85%)",62.5,54.5,58.5,59.0,59.0,57.5,58.0,58.21,26.67,26.55,1.545.000
"January, 2016","61,5  1,5 (2,5%)",64.0,56.0,60.0,60.0,62.0,60.0,61.5,61.32000000000001,28.96,12.89,790.000
"February, 2016","66,5  -1,5 (-2,21%)",72.5,63.5,68.0,66.5,68.0,66.5,66.5,67.0,31.31,22.85,1.531.000
"March, 2016","73,5  0 (0%)",78.5,68.5,73.5,73.0,74.0,73.0,73.5,73.45,34.61,35.32,2.594.000
"April, 2016","81  0,5 (0,62%)",86.0,75.0,80.5,80.5,81.5,80.5,81.0,80.88,37.94,68.23,5.518.000
"May, 2016","76,5  0 (0%)",81.0,71.0,76.5,76.5,76.5,76.0,76.5,76.15,36.81,22.51,1.714.000
"June, 2016","94  -2 (-2,08%)",10.2,89.5,96.0,94.0,96.5,94.0,94.0,95.71,44.79,63.16,6.045.000
"July, 2016","60,5  1 (1,68%)",63.5,55.5,59.5,59.5,60.5,58.5,60.5,59.73,42.93,54.88,3.278.000
