Date,Changes,Max,Min,Reference Price,Open,High,Low,Close,Average,Adjusted Close,KLGD,GTGD
"January, 2014","25,9  -0,1 (-0,38%)",27.8,24.2,26.0,26.0,26.0,25.5,25.9,25.660000000000004,21.73,7.14,183.0
"February, 2014","24,2  -0,3 (-1,22%)",26.2,22.8,24.5,24.2,24.5,24.2,24.2,24.2,20.31,22.15,536.047
"March, 2014","24  0,5 (2,13%)",25.1,21.9,23.5,24.0,24.5,24.0,24.0,24.0,20.14,3.75,90.005
"April, 2014",21  0 (0%),22.4,19.6,21.0,20.8,21.0,19.8,21.0,20.47,17.619999999999997,1.73,35.419
"May, 2014","19,8  0 (0%)",21.1,18.5,19.8,0.0,0.0,0.0,19.8,0.0,16.61,10.0,1.0
"June, 2014",19  0 (0%),20.3,17.7,19.0,19.4,19.4,19.0,19.0,19.17,15.94,2.4,46.0
"July, 2014","22  0,9 (4,27%)",22.5,19.7,21.1,21.9,22.0,21.2,22.0,21.28,18.46,9.49,202.0
"August, 2014","22  0,2 (0,92%)",23.3,20.3,21.8,21.7,22.0,21.6,22.0,21.66,18.46,4.29,93.0
"September, 2014","22,3  -0,2 (-0,89%)",24.0,21.0,22.5,22.6,23.2,22.3,22.3,22.49,18.71,2.88,65.0
"October, 2014","24,5  0,3 (1,24%)",25.8,22.6,24.2,24.2,24.5,24.2,24.5,24.32,20.56,4.9,119.0
"November, 2014","26  0,5 (1,96%)",27.2,23.8,25.5,25.5,26.0,25.4,26.0,25.42,21.82,8.08,205.0
"December, 2014","27,1  0,5 (1,88%)",28.4,24.8,26.6,26.2,27.1,26.2,27.1,26.73,22.74,4.06,109.0
"January, 2015",27  0 (0%),28.8,25.2,27.0,27.0,27.0,27.0,27.0,27.0,23.51,10.0,33.0
"February, 2015","27  -0,2 (-0,74%)",29.1,25.3,27.2,27.2,27.2,26.9,27.0,27.06,23.51,2.5,68.0
"March, 2015","27,2  0,1 (0,37%)",28.9,25.3,27.1,27.1,27.2,27.0,27.2,27.05,23.68,4.25,115.0
"April, 2015","27,1  -0,1 (-0,37%)",29.1,25.3,27.2,27.0,27.2,26.0,27.1,26.31,23.6,4.58,121.0
"May, 2015","24,2  -1,8 (-6,92%)",27.8,24.2,26.0,26.0,26.0,24.2,24.2,24.45,21.07,10.02,245.0
"June, 2015","27,9  1,7 (6,49%)",28.0,24.4,26.2,25.2,27.9,25.2,27.9,26.93,26.22,7.78,209.0
"July, 2015","28,4  0,3 (1,07%)",30.0,26.2,28.1,28.9,28.9,28.1,28.4,28.130000000000003,26.69,630.0,18.0
"August, 2015","28,2  0 (0%)",30.1,26.3,28.2,26.7,28.2,26.7,28.2,27.45,26.79,20.0,1.0
"September, 2015","27  0,5 (1,89%)",28.3,24.7,26.5,26.3,27.0,26.3,27.0,26.68,25.65,2.53,67.0
"October, 2015","31,6  0 (0%)",33.8,29.4,31.6,31.7,31.7,31.6,31.6,31.6,29.410000000000004,3.48,110.000
"November, 2015","30,5  0,5 (1,67%)",32.1,27.9,30.0,30.0,30.5,30.0,30.5,30.17,28.39,30.0,1.0
