Date,Changes,Max,Min,Reference Price,Open,High,Low,Close,Average,Adjusted Close,KLGD,GTGD
"January, 2014","9,6  0 (0%)",10.2,9.0,96.0,98.0,98.0,96.0,96.0,97.0,64.5,222.07,2.154.000
"February, 2014","12  0,1 (0,84%)",12.7,11.1,11.9,11.8,12.1,11.8,12.0,11.84,73.7,56.49,668.560
"March, 2014","11,8  0 (0%)",12.6,11.0,11.8,12.5,12.5,11.8,11.8,11.82,72.5,169.0,1.997.901
"April, 2014","10,8  -0,3 (-2,7%)",11.8,10.4,11.1,11.4,11.4,10.8,10.8,10.83,66.4,8.52,92.289
"May, 2014","10,8  -0,6 (-5,26%)",12.1,10.7,11.4,11.5,11.6,10.8,10.8,11.48,66.4,52.37,601.000
"June, 2014","10,9  -0,1 (-0,91%)",11.7,10.3,11.0,11.0,11.1,10.9,10.9,10.94,67.0,3.56,39.000
"July, 2014","10,6  0,1 (0,95%)",11.2,98.0,10.5,10.5,10.7,10.4,10.6,10.45,71.3,5.000,52.000
"August, 2014","10,3  0,1 (0,98%)",10.9,95.0,10.2,10.0,10.3,10.0,10.3,10.15,69.2,21.75,221.000
"September, 2014","10,2  -0,1 (-0,97%)",11.0,96.0,10.3,10.2,10.2,10.0,10.2,10.02,68.6,21.29,213.0
"October, 2014","9,7  0 (0%)",10.3,91.0,97.0,97.0,98.0,95.0,97.0,97.0,65.2,252.58,2.450.000
"November, 2014","9,6  -0,1 (-1,03%)",10.3,91.0,97.0,97.0,97.0,96.0,96.0,96.3,64.5,13.2,127.000
"December, 2014","9,5  0,1 (1,06%)",10.0,88.0,94.0,94.0,97.0,92.0,95.0,94.4,63.9,31.06,293.0
"January, 2015","8,7  0,2 (2,35%)",9.0,8.0,85.0,86.0,87.0,86.0,87.0,86.3,58.5,39.36,340.0
"February, 2015","8,6  0,2 (2,38%)",89.0,79.0,84.0,89.0,89.0,86.0,86.0,86.1,57.8,19.31,166.0
"March, 2015","8,3  0 (0%)",88.0,78.0,83.0,82.0,83.0,81.0,83.0,81.9,55.8,17.16,140.0
"April, 2015","8,6  -0,2 (-2,27%)",94.0,82.0,88.0,9.0,9.0,86.0,86.0,86.3,57.8,62.24,537.000
"May, 2015","9,4  -0,1 (-1,05%)",10.1,89.0,95.0,96.0,96.0,93.0,94.0,94.2,63.2,185.46,1.746.000
"June, 2015","10,4  -0,2 (-1,89%)",11.3,99.0,10.6,10.5,10.5,10.4,10.4,10.44,69.9,53.21,556.000
"July, 2015","10  0,1 (1,01%)",10.5,93.0,99.0,98.0,10.4,98.0,10.0,10.24,67.2,1.588.250,16.260.000
"August, 2015","8,8  -0,2 (-2,22%)",96.0,84.0,9.0,89.0,89.0,88.0,88.0,88.2,61.8,53.060,468.000
"September, 2015","8,5  0,2 (2,41%)",88.0,78.0,83.0,84.0,85.0,83.0,85.0,83.6,59.7,252.79,2.114.000
"October, 2015","8,7  -0,2 (-2,25%)",95.0,83.0,89.0,89.0,89.0,87.0,87.0,87.1,59.1,115.470,1.006.000
"November, 2015","8,9  -0,2 (-2,2%)",97.0,85.0,91.0,9.0,92.0,89.0,89.0,89.8,61.5,257.100,2.307.000
"December, 2015",9  0 (0%),96.0,84.0,9.0,9.0,9.0,88.0,9.0,89.1,65.8,235.860,2.102.000
"January, 2016","8,8  -0,1 (-1,12%)",95.0,83.0,89.0,9.0,9.0,87.0,88.0,88.2,63.0,160.8,1.418.000
"February, 2016","8,7  -0,1 (-1,14%)",94.0,82.0,88.0,87.0,9.0,87.0,87.0,88.3,62.2,263.99,2.331.000
"March, 2016","10,2  0,1 (0,99%)",10.8,94.0,10.1,10.1,10.7,10.1,10.2,10.42,70.6,1.383.880,14.421.000
"April, 2016","13,6  -0,4 (-2,86%)",14.9,13.1,14.0,13.8,14.1,13.5,13.6,13.82,94.1,914.320,12.639.000
"May, 2016","14,1  0,7 (5,22%)",14.5,12.7,13.4,13.5,14.3,13.5,14.1,14.04,10.06,1.669.990,23.439.000
"June, 2016","19,1  0,4 (2,14%)",20.0,17.4,18.7,19.1,19.7,19.0,19.1,19.33,15.05,2.221.580,41.839.704
"July, 2016","14,5  -0,1 (-0,68%)",15.6,13.6,14.6,14.6,14.7,14.2,14.5,14.419999999999998,10.91,304.740,4.394.000
"August, 2016","14,9  -0,1 (-0,67%)",16.0,14.0,15.0,15.0,15.1,14.8,14.9,14.94,11.21,333.29,4.979.000
"September, 2016","15,6  -0,5 (-3,11%)",17.2,15.0,16.1,16.0,16.15,15.6,15.6,15.89,11.74,1.025.210,16.293.000
"October, 2016","14,8  -0,3 (-1,99%)",16.15,14.05,15.1,15.4,15.45,14.8,14.8,15.04,11.14,270.25,4.063.000
