Date,Changes,Max,Min,Reference Price,Open,High,Low,Close,Average,Adjusted Close,KLGD,GTGD
"January, 2014","17  1 (6,25%)",17.1,14.9,16.0,15.0,17.0,15.0,17.0,15.01,11.61,10.04,151.0
"February, 2014","18,5  0 (0%)",19.7,17.3,18.5,18.5,18.6,18.5,18.5,18.52,10.91,800.0,14.82
"March, 2014","19,9  -0,1 (-0,5%)",21.4,18.6,20.0,18.6,19.9,18.6,19.9,18.62,11.74,1.12,20.858
"April, 2014","18,7  0 (0%)",20.0,17.4,18.7,0.0,0.0,0.0,18.7,0.0,11.03,90.0,1.683
"May, 2014","17,4  -1,3 (-6,95%)",20.0,17.4,18.7,17.4,17.4,17.4,17.4,17.4,11.33,10.0,9.0
"June, 2014","18,2  -1,3 (-6,67%)",20.8,18.2,19.5,18.2,18.2,18.2,18.2,18.2,11.85,4.5,82.0
"July, 2014","17,1  1,1 (6,88%)",17.1,14.9,16.0,17.1,17.1,17.1,17.1,17.1,11.13,30.0,1.0
"August, 2014","16,2  0 (0%)",17.3,15.1,16.2,0.0,0.0,0.0,16.2,0.0,10.55,80.0,1.0
"September, 2014","16,8  0 (0%)",17.9,15.7,16.8,0.0,0.0,0.0,16.8,0.0,10.94,10.0,10.0
"October, 2014","16,6  0 (0%)",17.7,15.5,16.6,0.0,0.0,0.0,16.6,0.0,10.81,300.0,5.0
"November, 2014",16  0 (0%),17.1,14.9,16.0,0.0,0.0,0.0,16.0,0.0,10.93,200.0,3.0
"December, 2014","14,9  0 (0%)",15.9,13.9,14.9,0.0,0.0,0.0,14.9,0.0,10.18,10.0,2.0
"January, 2015",16  0 (0%),17.1,14.9,16.0,0.0,0.0,0.0,16.0,0.0,10.93,100.0,2.0
"February, 2015","17,1  0 (0%)",18.2,16.0,17.1,0.0,0.0,0.0,17.1,0.0,11.68,20.0,22.0
"March, 2015","15,9  -1,1 (-6,47%)",18.1,15.9,17.0,16.8,16.8,15.9,15.9,16.05,10.86,4.37,70.0
"April, 2015","14  -0,4 (-2,78%)",15.4,13.4,14.4,14.0,14.0,14.0,14.0,14.0,95.7,900.0,13.0
"May, 2015","15,6  1 (6,85%)",15.6,13.6,14.6,15.6,15.6,15.6,15.6,15.6,10.66,130.0,2.0
"June, 2015",14  0 (0%),14.9,13.1,14.0,14.0,14.0,14.0,14.0,14.0,95.7,10.0,22.0
"July, 2015","13,9  0,1 (0,72%)",14.7,12.9,13.8,13.9,13.9,13.9,13.9,13.9,95.0,2.0,28.0
"August, 2015","13,2  0 (0%)",14.1,12.3,13.2,0.0,0.0,0.0,13.2,0.0,90.2,27.0,4.0
"September, 2015","13,3  0,3 (2,31%)",13.9,12.1,13.0,13.3,13.3,13.3,13.3,13.3,12.66,10.0,1.0
"October, 2015","10,5  0 (0%)",11.2,98.0,10.5,10.0,10.5,10.0,10.5,10.3,10.17,1.65,17.0
"November, 2015","10,6  0 (0%)",11.3,99.0,10.6,0.0,0.0,0.0,10.6,0.0,10.26,10.0,283.0
"December, 2015","10  -0,7 (-6,54%)",11.4,10.0,10.7,10.5,10.5,10.0,10.0,10.03,94.2,1.8,18.0
"January, 2016","10,2  0 (0%)",10.9,95.0,10.2,10.2,10.2,98.0,10.2,98.1,80.4,10.14,99.0
"February, 2016","10,7  -0,3 (-2,73%)",11.7,10.3,11.0,0.0,10.7,10.3,10.7,10.32,84.3,21.73,223.965
"March, 2016","11,8  -0,1 (-0,84%)",12.7,11.1,11.9,12.2,12.7,11.8,11.8,12.05,96.4,170.0,2.0
"April, 2016","12  0,7 (6,19%)",12.0,10.6,11.3,11.9,12.0,11.9,12.0,11.95,10.4,20.0,1.0
"May, 2016","11,6  0 (0%)",12.9,11.3,11.6,11.6,11.6,11.6,11.6,11.6,89.7,100.0,1.0
"June, 2016","14,2  -0,2 (-1,39%)",15.4,13.4,14.4,14.2,14.2,13.6,14.2,14.19,11.74,8.96,127.0
"July, 2016","14,9  -0,1 (-0,67%)",16.0,14.0,15.0,15.0,15.0,14.9,14.9,14.95,12.23,4.0,60.000
"August, 2016","14,9  0 (0%)",15.9,13.9,14.9,15.2,15.2,14.9,14.9,15.2,13.84,6.04,92.0
"September, 2016","15,3  0 (0%)",16.35,14.25,15.3,15.3,15.3,15.3,15.3,15.3,14.21,600.0,9.0
"October, 2016",16  0 (0%),17.1,14.9,16.0,0.0,0.0,0.0,16.0,0.0,14.86,1.04,17.0
"November, 2016","16,9  0 (0%)",18.05,15.75,16.9,16.9,16.9,16.9,16.9,16.9,15.79,10.0,57.0
"December, 2016","20,7  1,35 (6,98%)",20.7,18.0,19.35,20.7,20.7,18.5,20.7,20.7,19.34,54.49,1.128.000
"January, 2017","28,6  1,6 (5,93%)",28.85,25.15,27.0,25.7,28.6,25.5,28.6,26.8,24.85,3.63,97.000
"February, 2017","28,8  0,9 (3,23%)",29.85,25.95,27.9,27.9,29.85,27.9,28.8,29.360000000000003,25.02,473.34,13.896.000
"March, 2017","28,5  0,25 (0,88%)",30.2,26.3,28.25,28.3,28.5,28.3,28.5,28.5,24.76,23.11,659.0
"April, 2017","27,4  -0,6 (-2,14%)",29.95,26.05,28.0,26.15,27.5,26.05,27.4,26.94,23.81,13.29,358.0
"May, 2017","26,75  0 (0%)",28.6,24.9,26.75,26.75,26.75,26.75,26.75,26.67,23.24,1.2,32.0
"June, 2017","26,05  0 (0%)",27.85,24.25,26.05,0.0,0.0,0.0,26.05,0.0,22.630000000000003,100.0,3.0
"July, 2017","26,6  0,8 (3,1%)",27.6,24.0,25.8,26.7,26.7,24.2,26.6,26.55,23.11,11.75,312.0
"August, 2017","24,95  -0,95 (-3,67%)",27.7,24.1,25.9,24.95,24.95,24.95,24.95,25.0,22.9,40.0,1.0
"September, 2017","29,1  -0,1 (-0,34%)",31.2,27.2,29.2,27.2,29.1,27.2,29.1,27.06,26.71,2.18,59.0
"October, 2017","28,6  1,8 (6,72%)",28.65,24.95,26.8,28.6,28.6,28.6,28.6,50.0,26.25,20.0,1.0
