Date,Changes,Max,Min,Reference Price,Open,High,Low,Close,Average,Adjusted Close,KLGD,GTGD
"January, 2014","5,5  0,1 (1,85%)",57.0,51.0,54.0,55.0,55.0,55.0,55.0,55.0,30.2,10.0,300.000
"February, 2014","5  0,1 (2,04%)",52.0,46.0,49.0,5.0,5.0,48.0,5.0,48.4,26.0,62.28,301.738
"March, 2014","6,7  -0,3 (-4,29%)",74.0,66.0,7.0,7.0,7.0,67.0,67.0,68.0,34.9,57.8,393.223
"April, 2014","5,9  -0,1 (-1,67%)",64.0,56.0,6.0,56.0,6.0,56.0,59.0,56.5,30.7,910.0,5.14
"May, 2014","5,1  -0,2 (-3,77%)",56.0,5.0,53.0,53.0,53.0,51.0,51.0,52.2,26.6,170.0,1.0
"June, 2014","5,4  0 (0%)",57.0,51.0,54.0,52.0,54.0,52.0,54.0,52.2,28.1,80.0,1.0
"July, 2014","5,4  0,2 (3,85%)",55.0,49.0,52.0,55.0,55.0,53.0,54.0,53.3,28.1,2.07,11.0
"August, 2014","5,7  0,3 (5,56%)",57.0,51.0,54.0,57.0,57.0,57.0,57.0,57.0,29.7,123.05,701.000
"September, 2014","6,3  0 (0%)",67.0,59.0,63.0,63.0,63.0,61.0,63.0,62.1,32.8,48.59,302.000
"October, 2014","6  -0,1 (-1,64%)",65.0,57.0,61.0,58.0,6.0,57.0,6.0,57.1,31.2,24.25,138.0
"November, 2014","5,4  -0,3 (-5,26%)",6.0,54.0,57.0,54.0,54.0,54.0,54.0,54.0,29.7,10.0,2.0
"December, 2014","5,3  0,1 (1,92%)",55.0,49.0,52.0,53.0,53.0,53.0,53.0,53.0,29.1,10.0,5.0
"January, 2015","4,6  0,3 (6,98%)",46.0,4.0,43.0,46.0,46.0,46.0,46.0,46.0,25.3,8.24,38.0
"February, 2015","4,1  -0,2 (-4,65%)",46.0,4.0,43.0,42.0,44.0,41.0,41.0,42.5,22.5,240.0,1.0
"March, 2015","4  -0,1 (-2,44%)",43.0,39.0,41.0,41.0,42.0,39.0,4.0,39.5,22.0,16.35,65.0
"April, 2015","4,1  -0,3 (-6,82%)",47.0,41.0,44.0,41.0,41.0,41.0,41.0,41.0,22.5,4.01,16.0
"May, 2015","4,4  0 (0%)",47.0,41.0,44.0,42.0,44.0,41.0,44.0,41.3,24.2,28.02,116.0
"June, 2015","4,3  -0,1 (-2,27%)",47.0,41.0,44.0,42.0,43.0,41.0,43.0,41.2,23.6,47.05,194.0
"July, 2015","4,7  0,1 (2,17%)",49.0,43.0,46.0,48.0,48.0,44.0,47.0,46.6,25.8,770.0,4.0
"August, 2015","4,8  0 (0%)",51.0,45.0,48.0,0.0,0.0,0.0,48.0,0.0,25.8,10.03,45.0
"September, 2015","5,3  0,1 (1,92%)",55.0,49.0,52.0,52.0,55.0,52.0,53.0,54.9,29.2,52.02,286.0
"October, 2015","5,6  -0,4 (-6,67%)",64.0,56.0,6.0,59.0,59.0,56.0,56.0,56.7,28.1,6.02,34.0
"November, 2015","5,9  0 (0%)",63.0,55.0,59.0,58.0,59.0,58.0,59.0,58.0,29.6,16.01,93.0
"December, 2015","6,2  0,1 (1,64%)",64.0,56.0,61.0,59.0,62.0,59.0,62.0,59.7,32.7,7.01,42.0
"January, 2016",6  0 (0%),64.0,56.0,6.0,56.0,6.0,56.0,6.0,56.2,30.5,410.0,2.0
"February, 2016","7,2  0,4 (5,88%)",72.0,64.0,68.0,0.0,72.0,72.0,72.0,72.0,36.6,10.0,37.000
"March, 2016","8,3  0,1 (1,22%)",87.0,77.0,82.0,81.0,83.0,81.0,83.0,81.3,43.4,43.06,350.000
"April, 2016","8,4  0 (0%)",89.0,79.0,84.0,83.0,85.0,8.0,84.0,83.4,46.4,46.31,386.000
"May, 2016","8,3  0,4 (5,06%)",85.0,75.0,79.0,78.0,83.0,78.0,83.0,80.3,45.3,29.92,240.0
"June, 2016","14,1  0,2 (1,44%)",14.8,13.0,13.9,14.1,14.3,13.5,14.1,13.96,79.6,151.34,2.113.000
