Date,Changes,Max,Min,Reference Price,Open,High,Low,Close,Average,Adjusted Close,KLGD,GTGD
"January, 2014","16,5  0 (0%)",17.6,15.4,16.5,16.5,16.8,16.5,16.5,16.57,74.7,152.87,2.534.000
"February, 2014","7,4  -0,1 (-1,33%)",8.0,7.0,75.0,75.0,75.0,71.0,74.0,72.8,33.5,174.43,1.270.413
"March, 2014","12,2  0,3 (2,52%)",12.7,11.1,11.9,12.5,12.5,11.8,12.2,12.11,55.2,433.810,5.251.470
"April, 2014","12,3  0,4 (3,36%)",12.7,11.1,11.9,11.9,12.4,11.9,12.3,12.17,55.7,593.52,7.222.679
"May, 2014","10,9  0,3 (2,83%)",11.3,99.0,10.6,10.6,11.0,10.4,10.9,10.65,49.3,324.43,3.454.000
"June, 2014","11,6  -0,3 (-2,52%)",12.7,11.1,11.9,12.0,12.0,11.6,11.6,11.7,52.5,402.27,4.526.000
"July, 2014","11,5  0,5 (4,55%)",11.7,10.3,11.0,10.8,11.5,10.8,11.5,11.07,52.0,87.32,966.000
"August, 2014","14,3  0,9 (6,72%)",14.3,12.5,13.4,14.0,14.3,14.0,14.3,14.27,64.7,1.081.740,15.432.000
"September, 2014","17,7  1,1 (6,63%)",17.7,15.5,16.6,16.4,17.7,16.4,17.7,17.18,80.1,1.025.830,17.624.000
"October, 2014","16,6  0,9 (5,73%)",16.7,14.7,15.7,15.7,16.6,15.7,16.6,16.32,75.1,609.3,9.916.000
"November, 2014","16,5  0,1 (0,61%)",17.5,15.3,16.4,16.4,16.7,16.3,16.5,16.55,74.7,160.09,2.649.000
"December, 2014","16  0,2 (1,27%)",16.9,14.7,15.8,16.0,16.3,15.9,16.0,16.09,72.4,105.01,1.689.000
"January, 2015","12,8  -0,2 (-1,54%)",13.9,12.1,13.0,12.8,12.9,12.7,12.8,12.76,68.4,146.48,1.869.000
"February, 2015","14,1  0,9 (6,82%)",14.1,12.3,13.2,13.2,14.1,13.2,14.1,13.85,75.3,609.57,8.442.000
"March, 2015","13,5  0,1 (0,75%)",14.3,12.5,13.4,13.3,13.6,13.3,13.5,13.45,72.1,81.29,1.094.000
"April, 2015","11,7  -0,1 (-0,85%)",12.6,11.0,11.8,11.7,12.0,11.7,11.7,11.89,62.5,335.22,3.986.000
"May, 2015","11,8  -0,4 (-3,28%)",13.0,11.4,12.2,12.2,12.3,11.8,11.8,12.23,63.0,330.81,4.044.000
"June, 2015","14,5  0,5 (3,57%)",14.9,13.1,14.0,14.0,14.5,14.0,14.5,14.44,77.4,1.015.449,14.954.000
"July, 2015","16,4  0 (0%)",17.5,15.3,16.4,16.2,16.6,16.2,16.4,16.509999999999998,87.6,148.21,2.447.000
"August, 2015","13,8  -0,7 (-4,83%)",15.5,13.5,14.5,14.3,14.9,13.8,13.8,13.91,71.5,31.01,445.000
"September, 2015","16,6  0,6 (3,75%)",17.1,14.9,16.0,15.1,16.6,15.1,16.6,16.53,91.1,298.45,4.933.000
"October, 2015","16,9  -0,4 (-2,31%)",18.5,16.1,17.3,17.1,17.3,16.9,16.9,17.0,10.05,149.570,2.542.000
"November, 2015","15,3  -0,8 (-4,97%)",17.2,15.0,16.1,15.9,16.1,15.1,15.3,15.5,91.0,1.430.790,23.675.000
"December, 2015","15,3  0 (0%)",16.5,14.5,15.3,15.3,15.7,15.3,15.3,15.43,89.4,492.460,7.599.000
"January, 2016","12,1  0 (0%)",12.9,11.3,12.1,12.0,12.3,12.0,12.1,12.13,68.9,301.960,3.663.000
"February, 2016","13,1  0,4 (3,15%)",13.5,11.9,12.7,13.1,13.4,12.8,13.1,13.169999999999998,74.6,817.13,10.762.000
"March, 2016","13,6  0,3 (2,26%)",14.2,12.4,13.3,14.1,14.1,13.5,13.6,13.89,79.8,1.463.530,20.322.000
"April, 2016","12,4  -0,1 (-0,8%)",13.3,11.7,12.5,12.5,12.7,12.4,12.4,12.5,71.6,441.49,5.518.000
"May, 2016","12,1  0,4 (3,42%)",12.4,10.8,11.7,11.7,12.3,11.7,12.1,12.14,69.2,557.82,6.774.000
"June, 2016","11,4  -0,1 (-0,87%)",12.3,10.7,11.5,11.4,11.7,11.4,11.4,11.49,64.7,205.000,2.355.000
"July, 2016","11,2  0,4 (3,7%)",11.5,10.1,10.8,10.8,11.3,10.7,11.2,10.98,63.0,240.670,2.643.000
"August, 2016","9,1  0,1 (1,11%)",96.0,84.0,9.0,9.0,93.0,89.0,91.0,91.1,49.9,217.99,1.978.000
"September, 2016","7,7  0,2 (2,67%)",80.2,69.8,75.0,73.1,8.0,73.1,77.0,76.3,42.3,359.72,2.746.000
"October, 2016","7,16  0,19 (2,73%)",74.5,64.9,69.7,65.2,74.0,65.2,71.6,71.1,50.8,440.83,3.136.000
"November, 2016","6,57  -0,02 (-0,3%)",70.5,61.3,65.9,66.0,66.0,65.5,65.7,65.6,45.9,140.01,919.000
"December, 2016","6,32  0,03 (0,48%)",67.3,58.5,62.9,63.3,63.3,62.6,63.2,63.1,44.2,12.8,81.000
"January, 2017","6,06  0,12 (2,02%)",63.5,55.3,59.4,59.9,60.6,59.5,60.6,60.3,41.8,216.61,1.306.000
"February, 2017","5,8  -0,3 (-4,92%)",65.2,56.8,61.0,60.1,61.0,58.0,58.0,59.4,4.0,348.0,2.068.000
"March, 2017","6,4  -0,1 (-1,54%)",69.5,60.5,65.0,65.0,65.0,63.8,64.0,64.2,44.1,65.16,418.000
"April, 2017","5,8  -0,09 (-1,53%)",63.0,54.8,58.9,58.9,59.0,57.7,58.0,58.0,4.0,135.76,788.000
"May, 2017","6,02  -0,18 (-2,9%)",66.3,57.7,62.0,60.5,61.9,6.0,60.2,60.5,41.5,277.72,1.679.000
"June, 2017","6,01  -0,01 (-0,17%)",64.4,56.0,60.2,60.2,60.2,59.6,60.1,59.8,41.4,76.15,455.000
"July, 2017","5,8  -0,01 (-0,17%)",62.1,54.1,58.1,58.1,58.5,57.5,58.0,58.0,4.0,67.37,391.000
"August, 2017","5,69  0,04 (0,71%)",60.4,52.6,56.5,57.0,57.0,56.6,56.9,56.6,39.2,22.8,129.0
"September, 2017","5,88  0,03 (0,51%)",62.5,54.5,58.5,58.5,59.0,58.0,58.8,58.4,40.5,32.73,191.000
"October, 2017","5,79  -0,03 (-0,52%)",62.2,54.2,58.2,57.6,58.2,57.6,57.9,57.9,39.9,123.19,713.000
"November, 2017","7,05  0,05 (0,71%)",74.9,65.1,7.0,7.0,73.0,69.0,70.5,71.2,48.6,668.62,4.762.000
"December, 2017","6,8  -0,03 (-0,44%)",73.0,63.6,68.3,68.0,68.0,66.0,68.0,67.2,46.9,92.47,621.000
"January, 2018","6,38  0,04 (0,63%)",67.8,59.0,63.4,64.4,64.4,62.7,63.8,63.1,44.0,130.51,824.000
"February, 2018","6,22  -0,02 (-0,32%)",66.7,58.1,62.4,62.2,62.3,61.6,62.2,61.8,42.9,53.23,329.000
"March, 2018","6,01  0,01 (0,17%)",64.2,55.8,6.0,60.2,61.5,6.0,60.1,60.2,41.4,44.88,270.000
"April, 2018","6  -0,07 (-1,15%)",64.9,56.5,60.7,6.0,62.8,6.0,6.0,60.6,41.3,124.43,758.000
"May, 2018","6,06  0,1 (1,68%)",63.7,55.5,59.6,59.6,60.8,59.6,60.6,60.1,41.8,165.15,992.0
"June, 2018","4,89  -1,16 (-19,17%)",51.6,44.9,60.5,49.0,5.0,46.1,48.9,49.0,42.3,62.65,307.0
"July, 2018","4,76  -0,03 (-0,63%)",51.2,44.6,47.9,47.9,48.0,47.6,47.6,47.8,41.1,76.3,365.000
"August, 2018","5,7  0 (0%)",60.9,53.1,57.0,57.0,57.1,56.1,57.0,56.9,49.3,122.470,697.000
"September, 2018","6  0,1 (1,69%)",63.1,54.9,59.0,6.0,6.0,58.5,6.0,59.1,51.8,50.77,300.0
"October, 2018","5,58  0,01 (0,18%)",59.5,51.9,55.7,54.4,56.0,54.4,55.8,55.1,48.2,35.78,197.0
"November, 2018","5,07  -0,03 (-0,59%)",54.5,47.5,51.0,52.7,52.7,50.4,50.7,50.8,43.8,59.85,304.0
"December, 2018","5,03  -0,06 (-1,18%)",54.4,47.4,50.9,50.6,51.3,5.0,50.3,50.4,43.5,42.86,216.0
"January, 2019","4,8  -0,14 (-2,83%)",52.8,46.0,49.4,49.6,49.6,46.0,48.0,47.1,41.5,63.93,301.0
"February, 2019","4,8  -0,03 (-0,62%)",51.6,45.0,48.3,48.1,49.9,47.9,48.0,48.2,41.5,25.73,124.0
"March, 2019","4,98  0,13 (2,68%)",51.8,45.2,48.5,48.5,51.7,48.5,49.8,49.8,43.0,6.22,31.0
"April, 2019","4,88  0,01 (0,21%)",52.1,45.3,48.7,48.5,48.8,48.0,48.8,48.6,42.2,24.89,121.0
"May, 2019","4,6  0,02 (0,44%)",49.0,42.6,45.8,45.0,46.0,45.0,46.0,45.8,39.7,15.3,70.0
"June, 2019","4,64  0,04 (0,87%)",49.2,42.8,46.0,47.2,47.2,44.3,46.4,44.5,40.1,10.34,46.000
"July, 2019","4,45  0 (0%)",47.6,41.4,44.5,46.6,46.6,44.5,44.5,44.7,38.4,4.47,20.0
"August, 2019","4,17  -0,03 (-0,71%)",44.9,39.1,42.0,41.5,41.9,4.0,41.7,40.1,39.6,6.49,26.0
"September, 2019","3,6  -0,2 (-5,26%)",40.6,35.4,38.0,38.8,38.9,36.0,36.0,37.4,34.2,78.58,294.0
"October, 2019","3,88  0,03 (0,78%)",41.1,35.9,38.5,38.3,39.0,38.3,38.8,58.8,36.8,170.0,1.000
"November, 2019","3,3  -0,17 (-4,9%)",37.1,32.3,34.7,35.3,35.3,33.0,33.0,5.0,31.3,200.0,1.0
"December, 2019","3  -0,19 (-5,96%)",34.1,29.7,31.9,3.0,3.0,3.0,3.0,30.1,28.5,8.31,25.0
"January, 2020","3,07  -0,23 (-6,97%)",35.3,30.7,33.0,34.9,34.9,30.7,30.7,30.8,30.7,61.75,190.0
"February, 2020","2,82  -0,07 (-2,42%)",30.9,26.9,28.9,28.8,28.8,28.2,28.2,28.6,28.2,170.0,486.0
"March, 2020","2,39  0,14 (6,22%)",24.0,21.0,22.5,24.0,24.0,21.2,23.9,20.5,23.9,1.46,3.0
"April, 2020","2,79  0,01 (0,36%)",29.7,25.9,27.8,29.1,29.1,27.8,27.9,27.9,27.9,7.89,22.0
"May, 2020","3,01  -0,09 (-2,9%)",33.1,28.9,31.0,31.0,31.0,29.0,30.1,29.7,30.1,150.85,448.0
"June, 2020","5,4  -0,25 (-4,42%)",60.4,52.6,56.5,56.5,56.9,52.6,54.0,54.9,0.0,1.812.070,9.948.000
"July, 2020","6,2  -0,3 (-4,62%)",69.5,60.5,65.0,62.0,63.5,61.1,62.0,62.1,0.0,370.150,2.297.000
"August, 2020","6,73  -0,42 (-5,87%)",76.5,66.5,71.5,71.1,71.2,67.0,67.3,69.2,0.0,706.380,4.891.000
"September, 2020","6,65  0,12 (1,84%)",69.8,60.8,65.3,65.3,66.5,64.1,66.5,64.7,0.0,236.94,1.533.000
"October, 2020","5,4  -0,03 (-0,55%)",58.1,50.5,54.3,54.3,54.4,52.5,54.0,53.5,0.0,29.88,160.000
"November, 2020","5,66  -0,09 (-1,57%)",61.5,53.5,57.5,57.5,6.0,55.0,56.6,56.2,0.0,55.900,314.000
"December, 2020","8,05  0 (0%)",86.1,74.9,80.5,80.8,81.5,78.0,80.5,79.8,0.0,1.871.860,14.936.000
"January, 2021","7,5  -0,49 (-6,13%)",85.4,74.4,79.9,74.4,78.8,74.4,75.0,74.7,0.0,655.800,4.901.000
"February, 2021","7,96  0,51 (6,85%)",79.7,69.3,74.5,73.5,79.7,71.0,79.6,77.2,0.0,249.2,1.924.000
"March, 2021","8  -0,02 (-0,25%)",85.8,74.6,80.2,80.2,80.2,78.0,8.0,79.0,0.0,145.800,1.152.000
"April, 2021","12,15  0,75 (6,58%)",12.15,10.65,11.4,11.6,12.15,11.5,12.15,11.92,0.0,3.232.100,38.530.000
"May, 2021","14,05  0,15 (1,08%)",14.85,12.95,13.9,13.95,14.25,13.55,14.05,13.919999999999998,0.0,1.151.600,16.025.000
"June, 2021","12,05  -0,6 (-4,74%)",13.5,11.8,12.65,12.6,12.6,11.95,12.05,12.11,0.0,919.300,11.134.000
"July, 2021","8,65  0,03 (0,35%)",92.2,80.2,86.2,86.2,87.2,84.0,86.5,85.7,0.0,564.700,4.842.000
"August, 2021","11,25  0,05 (0,45%)",11.95,10.45,11.2,11.1,11.6,10.95,11.25,11.28,0.0,2.032.400,22.919.000
"September, 2021","11,25  0 (0%)",12.0,10.5,11.25,11.25,11.6,11.25,11.25,11.4,0.0,855.400,9.752.000
"October, 2021","13,3  0,25 (1,92%)",13.95,12.15,13.05,13.1,13.45,12.7,13.3,13.0,0.0,3.689.900,47.993.000
"November, 2021","15,6  0,55 (3,65%)",16.1,14.0,15.05,15.2,15.95,15.2,15.6,15.54,0.0,1.736.500,26.992.000
"December, 2021","15,1  0,7 (4,86%)",15.4,13.4,14.4,14.8,15.1,14.2,15.1,14.669999999999998,0.0,1.740.300,25.537.000
