Date,Changes,Max,Min,Reference Price,Open,High,Low,Close,Average,Adjusted Close,KLGD,GTGD
"January, 2017","11,5  0,02 (0,2%)",12.9,97.0,11.3,11.3,11.5,11.3,11.5,11.32,11.5,31.3,354.410
"February, 2017","12,2  0,35 (2,96%)",13.4,10.0,11.7,12.4,12.4,11.7,12.2,12.05,12.2,8.3,99.980
"March, 2017","11,9  -0,04 (-0,37%)",13.8,10.2,12.0,12.4,12.4,11.9,11.9,11.96,11.9,1.1,13.150
"April, 2017","11,3  0 (0,03%)",12.9,97.0,11.3,11.3,12.1,11.3,11.3,11.3,11.3,30.2,341.340
"May, 2017","12,4  -0,25 (-1,99%)",14.6,10.8,12.7,12.5,12.5,12.4,12.4,12.45,12.4,15.23,189.565
"June, 2017","12,5  0,36 (2,98%)",14.0,10.4,12.2,12.2,12.9,12.2,12.5,12.56,12.5,41.7,523.87
"July, 2017","13,5  0,2 (1,48%)",15.2,11.4,13.3,13.4,13.5,13.4,13.5,13.5,13.5,10.4,140.37
"August, 2017","13,6  0,01 (0,05%)",15.5,11.5,13.5,13.6,13.7,13.4,13.6,13.51,13.6,60.3,814.500
"September, 2017","13,1  -0,03 (-0,2%)",15.0,11.2,13.1,13.1,13.1,13.0,13.1,13.07,13.1,21.53,281.493
"October, 2017","12,5  0,08 (0,66%)",14.2,10.6,12.4,12.5,12.5,12.2,12.5,12.48,12.5,71.3,889.980
"November, 2017","11,3  0 (0,03%)",12.9,97.0,11.3,11.4,11.4,11.3,11.3,11.3,11.3,72.9,823.970
"December, 2017",12  0 (0%),13.8,10.2,12.0,12.0,12.0,12.0,12.0,12.0,12.0,100.0,1.2
"January, 2018","12,5  -0,1 (-0,79%)",14.4,10.8,12.6,12.5,12.5,12.5,12.5,12.5,12.5,6.8,85.0
"February, 2018","13,5  0 (0%)",15.5,11.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,10.61,143.238
"March, 2018","13,2  -0,42 (-3,07%)",15.8,11.8,13.8,13.5,13.5,13.2,13.2,13.38,13.2,34.4,460.160
"April, 2018","13,8  -0,09 (-0,64%)",15.8,11.8,13.8,13.5,13.8,13.5,13.8,13.71,13.8,51.4,704.820
"May, 2018","14  0,43 (3,19%)",15.4,11.4,13.4,13.3,14.0,13.3,14.0,13.830000000000002,14.0,10.6,146.58
"June, 2018","14  0,08 (0,59%)",15.1,11.3,13.2,13.2,14.0,13.2,14.0,13.28,14.0,33.4,443.470
"July, 2018","12,4  -0,01 (-0,11%)",14.2,10.6,12.4,12.5,12.5,12.3,12.4,12.39,12.4,19.4,240.28
"August, 2018","13  0,33 (2,57%)",14.6,10.8,12.7,13.8,13.8,13.0,13.0,13.03,13.0,3.1,40.38
"September, 2018","12,8  -0,1 (-0,78%)",14.8,11.0,12.9,12.8,12.8,12.8,12.8,12.8,12.8,1.0,12.8
"October, 2018","12,5  0 (0,01%)",14.3,10.7,12.5,12.5,12.6,12.5,12.5,12.5,12.5,72.1,901.35
"November, 2018","12,7  -0,04 (-0,29%)",14.7,10.9,12.8,12.9,12.9,10.9,12.7,12.76,12.7,20.3,233.010
"December, 2018","13  -0,33 (-2,61%)",14.6,10.8,12.7,12.7,13.0,12.0,13.0,12.37,13.0,222.0,2.745.940
"January, 2019","12,5  -1 (-7,41%)",15.5,11.5,13.5,12.5,12.5,12.5,12.5,12.5,12.5,1.01,12.635
"February, 2019","13,8  0,1 (0,73%)",15.5,11.5,13.5,13.8,13.8,11.5,13.8,13.6,13.8,910.335,10.574.193
"March, 2019","13,7  0 (0%)",15.7,11.7,13.7,13.7,13.7,13.7,13.7,13.7,13.7,1.3,17.810
