Date,Changes,Max,Min,Reference Price,Open,High,Low,Close,Average,Adjusted Close,KLGD,GTGD
"December, 2020","18,8  -0,1 (-0,53%)",20.2,17.6,18.9,18.8,18.9,18.55,18.8,18.76,0.0,8.721.150,163.588.000
"January, 2021","16,9  0,7 (4,32%)",17.3,15.1,16.2,15.1,17.0,15.1,16.9,15.7,0.0,3.033.900,47.647.000
"February, 2021","18,75  0,05 (0,27%)",20.0,17.4,18.7,18.4,18.75,18.1,18.75,18.55,0.0,2.349.300,43.574.000
"March, 2021","21,85  0,2 (0,92%)",23.15,20.15,21.65,21.65,22.05,21.3,21.85,21.64,0.0,6.208.800,134.384.000
"April, 2021","21,7  0,1 (0,46%)",23.1,20.1,21.6,21.65,21.75,21.35,21.7,21.630000000000003,0.0,3.835.500,82.950.000
"May, 2021","27,45  0,75 (2,81%)",28.55,24.85,26.7,26.75,27.5,26.2,27.45,26.81,0.0,11.145.300,298.753.000
"June, 2021","30,2  -0,1 (-0,33%)",32.4,28.2,30.3,30.55,30.6,29.9,30.2,30.29,0.0,8.707.900,263.720.000
"July, 2021","29,65  0,45 (1,54%)",31.2,27.2,29.2,29.2,29.75,29.2,29.65,29.53,0.0,10.009.300,295.612.000
"August, 2021","28,3  0 (0%)",30.25,26.35,28.3,28.4,28.5,28.0,28.3,28.24,0.0,5.173.500,146.082.000
"September, 2021","29,3  -0,2 (-0,68%)",31.55,27.45,29.5,29.55,29.55,29.0,29.3,29.27,0.0,3.480.100,101.876.000
"October, 2021","22,9  0,2 (0,88%)",24.25,21.15,22.7,22.8,22.9,22.45,22.9,22.72,0.0,8.428.800,191.495.000
"November, 2021","26  -1,2 (-4,41%)",29.1,25.3,27.2,27.6,27.7,26.0,26.0,26.8,0.0,14.855.000,398.154.000
"December, 2021","29  0,5 (1,75%)",30.45,26.55,28.5,28.9,29.0,28.5,29.0,28.82,0.0,17.797.900,512.888.000
