Date,Changes,Max,Min,Reference Price,Open,High,Low,Close,Average,Adjusted Close,KLGD,GTGD
"March, 2018","52,5  -2,4 (-4,37%)",58.7,51.1,54.9,54.7,54.7,51.2,52.5,53.15,43.77,233.64,12.417.000
"April, 2018","52,6  0,1 (0,19%)",56.1,48.85,52.5,53.0,53.1,52.4,52.6,52.75,43.87,135.9,7.169.000
"May, 2018","50,3  -2,3 (-4,37%)",56.2,48.95,52.6,52.6,52.7,48.95,50.3,50.55,41.98,266.02,13.448.000
"June, 2018","50  -0,3 (-0,6%)",53.8,46.8,50.3,50.3,50.3,49.0,50.0,49.72,41.73,107.37,5.338.000
"July, 2018","50,3  0,3 (0,6%)",53.5,46.5,50.0,51.0,51.0,50.0,50.3,50.68,41.98,44.44,2.252.000
"August, 2018",,,,,,,,,,,,
"September, 2018",,,,,,,,,,,,
"October, 2018","50,2  -0,1 (-0,2%)",53.8,46.8,50.3,50.3,50.5,48.9,50.2,49.46,41.89,94.8,4.689.000
"November, 2018","54,9  -1,1 (-1,96%)",59.9,52.1,56.0,56.2,56.2,54.8,54.9,55.010000000000005,45.77,141.06,7.760.000
"December, 2018",41  0 (0%),43.85,38.15,41.0,41.0,41.45,40.1,41.0,41.22,37.18,26.78,1.104.000
"January, 2019",48  0 (0%),51.3,44.65,48.0,48.0,48.1,47.5,48.0,47.97,43.59,26.41,1.267.000
"February, 2019","53,9  -0,5 (-0,92%)",58.2,50.6,54.4,53.1,54.4,53.1,53.9,53.89,49.14,66.12,3.563.000
"March, 2019","51  -1 (-1,92%)",55.6,48.4,52.0,51.8,51.8,51.0,51.0,51.42,46.59,13.71,705.000
"April, 2019","60,5  -0,4 (-0,66%)",65.1,56.7,60.9,60.4,61.5,60.4,60.5,61.0,55.32000000000001,65.8,4.014.000
"May, 2019","57,8  0 (0%)",61.8,53.8,57.8,57.7,58.1,57.5,57.8,57.88,52.85,62.7,3.629.000
"June, 2019","60  0,5 (0,84%)",63.6,55.4,59.5,59.1,60.0,58.6,60.0,59.57000000000001,54.86,107.82,6.423.000
"July, 2019","60  0,3 (0,5%)",63.8,55.6,59.7,59.7,61.0,59.5,60.0,60.02,54.86,89.75,5.387.000
"August, 2019","58  0,3 (0,52%)",61.7,53.7,57.7,58.0,58.6,58.0,58.0,58.23,53.04,141.49,8.239.000
"September, 2019","56,5  -1,4 (-2,42%)",61.9,53.9,57.9,57.9,57.9,56.1,56.5,56.510000000000005,51.66,49.25,2.783.000
"October, 2019","54  -0,5 (-0,92%)",58.3,50.7,54.5,56.0,56.5,54.0,54.0,54.9,49.38,28.47,1.563.000
"November, 2019","55  0,2 (0,36%)",58.6,51.0,54.8,54.8,55.0,54.5,55.0,54.89,50.36,15.25,837.000
"December, 2019","44,3  0 (0%)",47.4,41.2,44.3,44.3,44.5,44.2,44.3,44.3,44.3,10.0,443.000
"January, 2020","43,2  -1,5 (-3,36%)",47.8,41.6,44.7,44.5,44.7,43.2,43.2,43.82,43.2,27.75,1.216.000
"February, 2020","40,6  -0,35 (-0,85%)",43.8,38.1,40.95,40.7,40.95,40.55,40.6,40.69,40.6,28.68,1.167.000
"March, 2020","23,3  -1,5 (-6,05%)",26.5,23.1,24.8,23.65,24.75,23.3,23.3,23.89,23.3,65.88,1.574.000
"April, 2020","33,3  0,5 (1,52%)",35.05,30.55,32.8,32.8,33.7,32.8,33.3,33.17,33.3,49.51,1.642.000
"May, 2020","36,3  -0,3 (-0,82%)",39.15,34.05,36.6,35.8,36.9,35.7,36.3,36.39,36.3,83.76,3.048.000
"June, 2020","32,95  0,55 (1,7%)",34.65,30.15,32.4,32.4,33.2,32.4,32.95,32.7,0.0,100.99,3.302.000
"July, 2020","26  -0,3 (-1,14%)",28.1,24.5,26.3,26.1,26.4,25.9,26.0,26.110000000000003,0.0,210.370,5.492.000
"August, 2020","30,75  -0,4 (-1,28%)",33.3,29.0,31.15,31.45,31.5,30.75,30.75,31.14,0.0,70.24,2.187.000
"September, 2020","33,05  0,45 (1,38%)",34.85,30.35,32.6,32.1,33.05,32.1,33.05,32.86,0.0,128.04,4.208.000
"October, 2020","33,65  0,65 (1,97%)",35.3,30.7,33.0,33.0,33.85,33.0,33.65,33.739999999999995,0.0,20.72,699.000
"November, 2020","38,85  0 (0%)",41.55,36.15,38.85,38.9,38.9,38.0,38.85,38.44,0.0,53.59,2.060.000
"December, 2020","39,7  0 (0%)",42.45,36.95,39.7,39.7,39.75,39.0,39.7,39.45,0.0,182.16,7.186.000
"January, 2021","41,9  0,4 (0,96%)",44.4,38.6,41.5,38.65,42.1,38.65,41.9,40.59,0.0,134.8,5.471.000
"February, 2021","47,95  1,35 (2,9%)",49.85,43.35,46.6,46.6,48.0,46.6,47.95,47.58,0.0,124.2,5.910.000
"March, 2021","49,4  -0,25 (-0,5%)",53.1,46.2,49.65,49.65,49.65,48.95,49.4,49.08,0.0,14.2,697.000
"April, 2021","51,8  -0,4 (-0,77%)",55.8,48.55,52.2,52.2,52.2,51.3,51.8,51.720000000000006,0.0,37.8,1.955.000
"May, 2021","52  -0,2 (-0,38%)",55.8,48.55,52.2,52.2,52.2,51.0,52.0,51.7,0.0,44.6,2.306.000
"June, 2021","61  -1,5 (-2,4%)",66.8,58.2,62.5,62.5,62.6,60.5,61.0,61.620000000000005,0.0,83.7,5.158.000
"July, 2021","65,3  2 (3,16%)",67.7,58.9,63.3,63.3,65.3,63.0,65.3,64.41,0.0,121.4,7.819.000
"August, 2021","78,6  -1,3 (-1,63%)",85.4,74.4,79.9,80.0,80.1,78.6,78.6,79.38,0.0,228.1,18.107.000
"September, 2021","84,1  0 (0%)",89.9,78.3,84.1,84.1,85.0,84.1,84.1,84.71000000000001,0.0,78.4,6.641.000
"October, 2021","89,9  0,2 (0,22%)",95.9,83.5,89.7,90.0,90.0,88.5,89.9,89.45,0.0,44.0,3.936.000
"November, 2021","95,5  -1,1 (-1,14%)",10.33,89.9,96.6,97.5,97.5,95.0,95.5,95.61,0.0,36.7,3.509.000
"December, 2021","79,1  0 (0%)",84.6,73.6,79.1,79.1,80.7,79.1,79.1,79.7,0.0,9.9,789.000
