Date,Changes,Max,Min,Reference Price,Open,High,Low,Close,Average,Adjusted Close,KLGD,GTGD
"January, 2014","82  1,5 (1,86%)",86.0,75.0,80.5,82.0,82.0,80.5,82.0,81.82000000000001,52.35,219.51,17.960.000
"February, 2014","102  4 (4,08%)",10.4,91.5,98.0,97.5,10.3,97.5,10.2,10.01,61.370000000000005,508.920,50.944.590
"March, 2014","97  -2,5 (-2,51%)",10.6,93.0,99.5,99.5,99.5,97.0,97.0,97.97,59.41,142.520,13.962.995
"April, 2014","96  2,5 (2,67%)",100.0,87.0,93.5,93.0,96.0,93.0,96.0,95.25,59.88,27.71,2.639.490
"May, 2014","98,5  1,5 (1,55%)",10.3,90.5,97.0,98.0,99.0,97.5,98.5,98.33,61.92,755.11,74.251.000
"June, 2014","90,5  -1 (-1,09%)",97.5,85.5,91.5,92.0,92.0,90.5,90.5,90.89,57.77,26.75,2.431.000
"July, 2014","89  0,5 (0,56%)",94.5,82.5,88.5,88.0,89.5,88.0,89.0,88.75,56.82000000000001,243.73,21.631.000
"August, 2014","85  1,5 (1,8%)",89.0,78.0,83.5,83.5,85.0,83.5,85.0,84.36,54.260000000000005,249.84,21.140.000
"September, 2014","82  0,5 (0,61%)",87.0,76.0,81.5,82.0,82.5,81.5,82.0,81.67999999999999,52.35,78.700,6.428.000
"October, 2014","81,5  2,5 (3,16%)",84.5,73.5,79.0,79.5,81.5,79.0,81.5,80.33,52.03,392.41,31.638.000
"November, 2014","80,5  -0,5 (-0,62%)",86.5,75.5,81.0,81.0,82.0,80.5,80.5,81.05,51.39,59.82,4.848.000
"December, 2014","83  2 (2,47%)",86.5,75.5,81.0,81.0,83.5,81.0,83.0,83.07000000000001,52.99,166.240,13.810.000
"January, 2015","84  1,5 (1,82%)",88.0,77.0,82.5,83.0,84.0,82.5,84.0,83.15,53.620000000000005,119.57,9.918.000
"February, 2015","85,5  -1,5 (-1,72%)",93.0,81.0,87.0,87.0,87.0,85.5,85.5,85.86,54.58,281.68,24.198.000
"March, 2015",77  0 (0%),82.0,72.0,77.0,77.0,77.5,76.0,77.0,76.87,49.15,310.390,23.860.000
"April, 2015","81  -0,5 (-0,61%)",87.0,76.0,81.5,82.5,83.0,81.0,81.0,82.22,51.71,127.950,10.519.000
"May, 2015","84  -0,5 (-0,59%)",90.0,79.0,84.5,84.5,84.5,84.0,84.0,84.32000000000001,53.620000000000005,284.200,23.982.000
"June, 2015","81  1 (1,25%)",85.5,74.5,80.0,79.5,81.0,79.5,81.0,80.32000000000001,51.71,825.430,66.411.000
"July, 2015","90  -2 (-2,17%)",98.0,86.0,92.0,92.0,92.5,90.0,90.0,91.07,57.61,98.3,8.952.000
"August, 2015","80,5  -2,5 (-3,01%)",88.5,77.5,83.0,83.0,83.0,80.0,80.5,81.74,51.77,276.370,22.589.000
"September, 2015","74  0,5 (0,68%)",78.5,68.5,73.5,73.0,74.0,73.0,74.0,73.51,48.87,431.280,31.705.000
"October, 2015","74  0,5 (0,68%)",78.5,68.5,73.5,73.0,74.0,73.0,74.0,73.81,48.87,952.77,70.324.720
"November, 2015","70  1 (1,45%)",73.5,64.5,69.0,69.0,70.0,68.5,70.0,69.53999999999999,46.23,2.203.320,153.678.000
"December, 2015","77,5  0,5 (0,65%)",83.0,73.0,77.0,76.5,77.5,74.0,77.5,76.6,53.74,394.01,30.181.000
"January, 2016","72,5  -0,5 (-0,68%)",78.0,68.0,73.0,72.5,73.0,72.0,72.5,72.57000000000001,51.31,388.220,28.166.526
"February, 2016","72  -2 (-2,7%)",79.0,69.0,74.0,72.0,74.0,72.0,72.0,72.26,50.96,137.79,9.956.000
"March, 2016","71,5  -1 (-1,38%)",77.5,67.5,72.5,72.5,72.5,71.5,71.5,71.87,50.25,660.860,47.648.000
"April, 2016","70  1 (1,45%)",73.5,64.5,69.0,69.0,71.5,69.0,70.0,69.83,47.77,731.090,51.010.000
"May, 2016","69,5  0,5 (0,72%)",73.5,64.5,69.0,69.0,69.5,68.5,69.5,69.26,47.09,383.930,26.591.333
"June, 2016","66,5  -0,5 (-0,75%)",71.5,62.5,67.0,66.5,67.0,66.5,66.5,66.51,43.48,208.64,13.876.000
"July, 2016","64  -2 (-3,03%)",70.5,61.5,66.0,64.5,66.0,64.0,64.0,64.14,41.22,876.220,56.200.500
"August, 2016","69  -1 (-1,43%)",74.5,65.5,70.0,70.0,70.5,68.0,69.0,69.17999999999999,42.35,1.327.980,91.864.000
"September, 2016","70,3  2,1 (3,08%)",72.9,63.5,68.2,68.0,70.3,67.9,70.3,69.55,43.15,1.106.860,77.392.000
"October, 2016","65,7  0 (0%)",70.2,61.2,65.7,65.4,68.3,65.3,65.7,66.15,40.33,535.86,35.721.000
