Date,Changes,Max,Min,Reference Price,Open,High,Low,Close,Average,Adjusted Close,KLGD,GTGD
"January, 2014","85  -4 (-4,49%)",95.0,83.0,89.0,89.0,89.0,83.0,85.0,85.28999999999999,20.95,61.96,5.285.000
"February, 2014","90,5  5,5 (6,47%)",90.5,79.5,85.0,85.0,90.5,85.0,90.5,89.82000000000001,22.31,39.09,3.511.000
"March, 2014","96,5  6 (6,63%)",96.5,84.5,90.5,96.0,96.5,95.5,96.5,96.46,23.79,142.17,13.713.000
"April, 2014","100  3,5 (3,63%)",10.3,90.0,96.5,10.3,10.3,100.0,100.0,100.59,24.65,257.87,25.939.000
"May, 2014","99,5  -0,5 (-0,5%)",10.7,93.0,100.0,100.0,100.0,97.0,99.5,99.09,24.53,64.98,6.439.000
"June, 2014",97  -3 (-3%),10.7,93.0,100.0,99.0,10.3,96.0,97.0,99.52,23.54,176.730,17.589.000
"July, 2014","103  -3 (-2,83%)",11.3,99.0,10.6,10.5,10.5,10.1,10.3,102.63,14.71,37.4,3.838.000
"August, 2014","135  -2 (-1,46%)",14.6,12.8,13.7,13.7,13.7,13.0,13.5,133.23,19.29,15.75,2.098.000
"September, 2014","169  1 (0,6%)",17.9,15.7,16.8,16.5,16.9,16.5,16.9,16.56,24.14,12.51,2.072.000
"October, 2014","106  -1 (-0,93%)",11.4,100.0,10.7,10.7,10.7,10.5,10.6,10.63,25.73,26.930,2.863.000
"November, 2014","89  -2 (-2,2%)",97.0,85.0,91.0,92.0,92.0,89.0,89.0,90.34,21.94,38.09,3.441.000
"December, 2014","109  1 (0,93%)",11.5,10.1,10.8,10.8,11.0,10.8,10.9,108.86,27.0,57.15,6.222.000
"January, 2015","124  -1 (-0,8%)",13.3,11.7,12.5,12.5,12.6,12.3,12.4,12.49,30.72,256.07,31.998.000
"February, 2015","134  -8 (-5,63%)",15.1,13.3,14.2,14.3,14.3,13.4,13.4,136.70999999999998,33.2,284.05,39.470.000
"March, 2015",107  0 (0%),11.4,100.0,10.7,10.8,10.9,10.7,10.7,107.86,26.51,66.33,7.440.000
"April, 2015",109  0 (0%),11.6,10.2,10.9,11.2,11.5,10.9,10.9,109.88,27.0,60.12,6.606.000
"May, 2015","78  -1 (-1,27%)",84.5,73.5,79.0,79.0,79.0,76.0,78.0,77.42999999999999,24.18,44.56,3.450.000
"June, 2015","73,5  0 (0%)",78.5,68.5,73.5,73.5,74.5,73.5,73.5,73.86,22.79,48.54,3.585.000
"July, 2015","71,5  -1 (-1,38%)",77.5,67.5,72.5,72.0,73.0,71.5,71.5,71.83,22.17,74.2,5.330.000
"August, 2015","66  1,5 (2,33%)",69.0,60.0,64.5,66.5,68.0,65.0,66.0,66.76,21.14,88.61,5.916.000
"September, 2015","61  0,5 (0,83%)",64.5,56.5,60.5,61.0,62.0,60.5,61.0,60.84,19.380000000000003,35.05,2.133.000
"October, 2015","74  1,5 (2,07%)",77.5,67.5,72.5,73.0,75.0,73.0,74.0,74.2,23.87,359.29,26.658.000
"November, 2015","75  -2,5 (-3,23%)",82.5,72.5,77.5,77.0,77.5,74.5,75.0,75.65,24.19,218.97,16.702.000
"December, 2015","78,5  -2,5 (-3,09%)",85.0,74.0,81.0,79.5,80.5,78.0,78.5,79.34,24.98,3.824.245,327.939.938
"January, 2016","72  2 (2,86%)",74.5,65.5,70.0,70.0,72.0,70.0,72.0,70.89,22.98,149.01,10.563.000
"February, 2016","75  -0,5 (-0,66%)",80.5,70.5,75.5,75.0,76.5,75.0,75.0,75.62,23.94,140.52,10.626.000
"March, 2016","75,5  -1,5 (-1,95%)",82.0,72.0,77.0,77.0,77.5,75.5,75.5,76.21000000000001,23.94,59.99,4.572.000
"April, 2016","75  -1 (-1,32%)",81.0,71.0,76.0,75.0,76.0,75.0,75.0,75.28999999999999,23.62,37.93,2.856.000
"May, 2016","86  0,5 (0,58%)",90.0,79.0,85.5,86.0,86.5,85.5,86.0,85.85,30.47,156.180,13.408.000
