Date,Changes,Max,Min,Reference Price,Open,High,Low,Close,Average,Adjusted Close,KLGD,GTGD
"January, 2015","29,8  -0,2 (-0,67%)",32.1,27.9,30.0,30.1,30.4,29.8,29.8,30.06,20.68,175.35,5.271.000
"February, 2015","30,4  0,6 (2,01%)",31.8,27.8,29.8,30.4,31.5,29.9,30.4,30.45,21.09,276.25,8.411.000
"March, 2015","30,4  0 (0%)",31.8,27.8,30.4,30.4,30.7,30.3,30.4,30.410000000000004,21.52,143.4,4.361.000
"April, 2015","30,2  -0,2 (-0,66%)",32.5,28.3,30.4,30.2,30.4,30.1,30.2,30.23,21.380000000000003,124.07,3.751.000
"May, 2015","31,8  0,1 (0,32%)",33.9,29.5,31.7,30.5,32.0,30.3,31.8,31.77,22.06,225.28,7.158.000
"June, 2015","31,3  -0,5 (-1,57%)",34.0,29.6,31.8,31.1,31.8,31.1,31.3,31.59,21.72,223.14,7.049.000
"July, 2015","29,8  -0,4 (-1,32%)",32.5,28.3,30.2,30.0,30.2,29.7,29.8,29.880000000000003,20.95,145.29,4.342.000
"August, 2015","30  0,2 (0,67%)",31.8,27.8,29.8,29.3,30.0,29.1,30.0,29.71,21.09,168.41,5.004.000
"September, 2015","29,8  -0,2 (-0,67%)",32.1,27.9,30.0,30.2,30.2,29.7,29.8,29.880000000000003,20.95,166.84,4.986.000
"October, 2015","29,7  1,9 (6,83%)",29.7,25.9,27.8,27.6,29.7,27.3,29.7,29.31,20.61,2.292.180,60.563.000
"November, 2015","30  -0,1 (-0,33%)",32.2,28.0,30.1,30.8,30.8,29.8,30.0,30.130000000000003,20.82,217.65,6.558.000
"December, 2015","30  -0,2 (-0,66%)",32.3,28.1,30.2,30.0,30.2,30.0,30.0,30.07,21.16,150.02,4.511.000
"January, 2016","28,9  0,2 (0,7%)",30.7,26.7,28.7,28.7,29.0,28.7,28.9,28.84,20.62,179.55,5.178.000
"February, 2016","27,9  -0,2 (-0,71%)",30.0,26.2,28.1,27.9,28.2,27.9,27.9,28.0,19.9,193.92,5.429.000
"March, 2016","29,2  -0,3 (-1,02%)",31.5,27.5,29.5,29.5,29.6,29.2,29.2,29.380000000000003,20.61,211.65,6.218.000
"April, 2016","29,7  0 (0%)",31.7,27.7,29.7,29.6,29.9,29.6,29.7,29.76,21.46,152.0,4.523.000
"May, 2016","28,4  0 (0%)",30.2,26.4,28.4,28.4,28.4,28.2,28.4,28.32,20.17,131.46,3.723.000
"June, 2016","27,5  0,1 (0,36%)",29.3,25.5,27.4,27.5,27.6,27.3,27.5,27.44,19.53,136.21,3.737.000
"July, 2016","28,3  -0,3 (-1,05%)",30.6,26.6,28.6,28.6,28.6,28.2,28.3,28.410000000000004,20.4,148.9,4.230.000
"August, 2016","32,2  1,6 (5,23%)",32.7,28.5,30.6,30.6,32.5,30.4,32.2,31.26,23.12,195.34,6.106.000
"September, 2016","33,5  -0,1 (-0,3%)",35.95,31.25,33.6,33.6,33.6,33.3,33.5,33.46,24.2,128.41,4.297.000
"October, 2016","32,9  0,4 (1,23%)",34.75,30.25,32.5,32.8,33.0,32.5,32.9,32.8,23.76,149.65,4.909.000
"November, 2016","33,2  0,3 (0,91%)",35.2,30.6,32.9,32.9,33.3,32.9,33.2,33.11,24.27,115.99,3.841.000
"December, 2016","31,3  0,2 (0,64%)",33.25,28.95,31.1,31.1,31.4,31.1,31.3,31.27,22.89,130.76,4.089.000
"January, 2017","30,6  0 (0%)",32.7,28.5,30.6,30.7,30.7,30.3,30.6,30.52,22.23,102.87,3.139.000
