Date,Changes,Max,Min,Reference Price,Open,High,Low,Close,Average,Adjusted Close,KLGD,GTGD
"January, 2014","6,9  0 (0%)",73.0,65.0,69.0,0.0,0.0,0.0,69.0,0.0,47.1,1.2,9.0
"February, 2014","6,8  0,2 (3,03%)",7.0,62.0,66.0,66.0,68.0,66.0,68.0,68.0,39.6,5.05,34.338
"March, 2014","7,4  0,4 (5,71%)",74.0,66.0,7.0,7.0,74.0,7.0,74.0,73.0,43.1,18.88,137.878
"April, 2014","6,2  0 (0%)",66.0,58.0,62.0,62.0,62.0,62.0,62.0,62.0,42.3,20.0,124.0
"May, 2014","5,4  0 (0%)",57.0,51.0,54.0,0.0,0.0,0.0,54.0,0.0,36.9,30.0,6.0
"June, 2014","6,3  0,4 (6,78%)",63.0,55.0,59.0,63.0,63.0,63.0,63.0,63.0,43.0,10.0,15.0
"July, 2014","6  0,3 (5,26%)",6.0,54.0,57.0,6.0,6.0,6.0,6.0,6.0,41.0,60.0,38.0
"August, 2014","7  0,1 (1,45%)",73.0,65.0,69.0,69.0,7.0,69.0,7.0,69.8,47.8,980.0,7.0
"September, 2014","7,4  0,3 (4,23%)",75.0,67.0,71.0,74.0,74.0,74.0,74.0,74.0,50.5,5.01,37.0
"October, 2014","6,7  0 (0%)",71.0,63.0,67.0,0.0,0.0,0.0,67.0,0.0,45.7,2.12,15.0
"November, 2014","6,9  0 (0%)",73.0,65.0,69.0,0.0,0.0,0.0,69.0,0.0,47.1,600.0,4.0
"December, 2014",7  0 (0%),74.0,66.0,7.0,0.0,0.0,0.0,7.0,0.0,47.8,20.0,3.0
"January, 2015","6,7  0 (0%)",71.0,63.0,67.0,0.0,0.0,0.0,67.0,0.0,49.8,2.39,16.0
"February, 2015","6,8  0,2 (3,03%)",7.0,62.0,66.0,68.0,68.0,68.0,68.0,68.0,50.5,40.0,1.0
"March, 2015",7  0 (0%),74.0,66.0,7.0,0.0,0.0,0.0,7.0,0.0,52.0,1.19,8.0
"April, 2015","7,4  0 (0%)",79.0,69.0,74.0,0.0,0.0,0.0,74.0,0.0,55.0,320.0,2.0
"May, 2015","7,7  0,3 (4,05%)",79.0,69.0,74.0,77.0,77.0,77.0,77.0,77.0,57.2,10.0,37.0
"June, 2015","7,2  0,2 (2,86%)",74.0,66.0,7.0,72.0,72.0,72.0,72.0,72.0,53.5,10.0,2.0
"July, 2015","8,5  0,5 (6,25%)",85.0,75.0,8.0,84.0,85.0,84.0,85.0,85.0,63.2,12.39,105.0
"August, 2015","8,8  0 (0%)",94.0,82.0,88.0,88.0,88.0,88.0,88.0,88.0,55.5,1.32,12.0
"September, 2015","8,6  0 (0%)",92.0,8.0,86.0,0.0,0.0,0.0,86.0,0.0,55.5,6.2,55.0
"October, 2015","9,2  0 (0%)",98.0,86.0,92.0,0.0,0.0,0.0,92.0,0.0,56.7,1.22,11.0
"November, 2015","9,6  0 (0%)",10.2,9.0,96.0,0.0,0.0,0.0,96.0,0.0,59.2,14.0,133.0
"December, 2015","9,9  0,6 (6,45%)",94.0,82.0,93.0,98.0,99.0,98.0,99.0,99.0,68.3,920.0,9.0
"January, 2016","8,5  -0,6 (-6,59%)",97.0,85.0,91.0,85.0,85.0,85.0,85.0,85.0,73.4,50.0,18.0
"February, 2016",9  0 (0%),96.0,84.0,9.0,9.0,9.0,84.0,9.0,84.5,77.7,110.0,1.0
"March, 2016","8,8  0 (0%)",94.0,82.0,88.0,93.0,94.0,88.0,88.0,93.8,76.0,2.51,24.0
"April, 2016","9,6  0,2 (2,13%)",10.0,88.0,94.0,96.0,96.0,96.0,96.0,96.0,82.0,200.0,2.0
