Date,Changes,Max,Min,Reference Price,Open,High,Low,Close,Average,Adjusted Close,KLGD,GTGD
"January, 2014","20,3  -0,2 (-0,98%)",21.9,19.1,20.5,20.3,20.6,20.3,20.3,20.47,15.28,85.92,1.759.000
"February, 2014","27,9  0,9 (3,33%)",28.8,25.2,27.0,27.9,27.9,26.7,27.9,27.22,16.369999999999997,432.49,11.774.161
"March, 2014","25  -0,5 (-1,96%)",27.2,23.8,25.5,25.0,25.5,25.0,25.0,25.03,14.669999999999998,38.82,971.554
"April, 2014","25,4  0,5 (2,01%)",26.6,23.2,24.9,24.6,25.7,24.5,25.4,25.25,14.9,89.96,2.271.656
"May, 2014","23  -0,5 (-2,13%)",25.1,21.9,23.5,23.0,23.4,22.8,23.0,22.96,13.49,12.0,275.000
"June, 2014","18  -0,4 (-2,17%)",19.6,17.2,18.4,18.2,18.4,18.0,18.0,18.15,13.55,101.01,1.834.000
"July, 2014","20,1  0 (0%)",21.5,18.7,20.1,20.1,20.4,20.0,20.1,20.2,15.13,521.160,10.525.000
"August, 2014","21,8  0,3 (1,4%)",23.0,20.0,21.5,21.7,22.0,21.6,21.8,21.8,16.41,211.87,4.618.000
"September, 2014","22,4  -0,5 (-2,18%)",24.5,21.3,22.9,22.8,22.9,22.2,22.4,22.51,16.86,609.660,13.725.000
"October, 2014","21,2  0,3 (1,44%)",22.3,19.5,20.9,20.9,21.4,20.9,21.2,21.16,15.96,221.06,4.678.000
"November, 2014","20,5  -0,1 (-0,49%)",22.0,19.2,20.6,20.7,20.7,20.3,20.5,20.56,15.43,184.71,3.797.000
"December, 2014","21,8  1,2 (5,83%)",22.0,19.2,20.6,20.6,21.8,20.5,21.8,21.45,16.41,301.57,6.470.000
"January, 2015","20,2  -0,3 (-1,46%)",21.9,19.1,20.5,20.5,20.7,20.2,20.2,20.36,15.21,292.59,5.956.000
"February, 2015","20,5  0,1 (0,49%)",21.8,19.0,20.4,20.5,20.9,20.5,20.5,20.61,15.43,1.219.160,25.128.000
"March, 2015","21,3  0,6 (2,9%)",22.1,19.3,20.7,20.8,21.3,20.7,21.3,21.08,16.03,201.070,4.238.000
"April, 2015","23,6  0,2 (0,85%)",25.0,21.8,23.4,23.4,23.9,23.4,23.6,23.55,17.759999999999998,353.150,8.316.000
"May, 2015","24,4  -0,1 (-0,41%)",26.2,22.8,24.5,24.5,24.6,24.4,24.4,24.44,18.37,203.68,4.978.000
"June, 2015","24  -0,3 (-1,23%)",26.0,22.6,24.3,24.1,24.4,24.0,24.0,24.11,18.07,88.14,2.125.000
"July, 2015","23,5  0,5 (2,17%)",24.6,21.4,23.0,23.0,23.5,22.9,23.5,23.3,17.69,184.97,4.309.000
"August, 2015","22,4  -0,2 (-0,88%)",24.1,21.1,22.6,22.6,22.6,22.1,22.4,22.130000000000003,16.79,234.67,5.193.000
"September, 2015","22,3  0,1 (0,45%)",23.7,20.7,22.2,22.5,22.5,22.1,22.3,22.28,16.95,55.59,1.239.000
"October, 2015","22,4  0 (0%)",23.9,20.9,22.4,21.2,23.8,21.2,22.4,22.39,16.95,22.9,513.000
"November, 2015","21,6  0 (0%)",23.1,20.1,21.6,22.2,22.2,21.2,21.6,21.48,16.35,4.03,87.000
"December, 2015","21  0,1 (0,48%)",22.3,19.5,20.9,20.1,21.0,20.1,21.0,20.9,14.65,15.160,317.000
"January, 2016","18,6  -1,3 (-6,53%)",21.2,18.6,19.9,20.0,21.0,18.6,18.6,18.66,12.72,11.21,209.000
"February, 2016","19,4  0 (0%)",20.7,18.1,19.4,19.4,19.8,18.7,19.4,19.37,13.26,9.41,182.000
"March, 2016","18,6  1,2 (6,9%)",18.6,16.2,17.4,17.3,18.6,17.0,18.6,17.78,12.65,384.33,6.832.000
"April, 2016","17,1  0 (0%)",18.2,16.0,17.1,17.2,17.3,17.1,17.1,17.2,11.28,613.770,10.554.000
"May, 2016","18,2  -0,1 (-0,55%)",19.5,17.1,18.3,18.1,18.2,18.0,18.2,18.11,12.66,20.04,363.000
"June, 2016","18,8  0,1 (0,53%)",20.0,17.4,18.7,18.8,18.8,18.3,18.8,18.77,13.37,153.030,2.873.000
"July, 2016","18,3  -0,1 (-0,54%)",19.6,17.2,18.4,18.1,18.3,18.1,18.3,18.130000000000003,13.02,6.050,110.000
"August, 2016",18  0 (0%),19.2,16.8,18.0,18.0,18.0,18.0,18.0,18.0,12.66,1.000,18.000
"September, 2016","18,8  0 (0%)",20.1,17.5,18.8,18.2,18.8,18.2,18.8,18.79,13.81,102.09,1.918.000
"October, 2016","18,95  0,05 (0,26%)",20.2,17.6,18.9,18.95,18.95,18.95,18.95,18.95,13.919999999999998,7.0,133.000
"November, 2016","18,8  0 (0%)",20.1,17.5,18.8,0.0,0.0,0.0,18.8,0.0,13.85,23.3,407.750
"December, 2016","19  0,8 (4,4%)",19.45,16.95,18.2,18.85,19.0,18.85,19.0,19.0,13.99,10.04,191.000
"January, 2017","19,2  0,1 (0,52%)",20.4,17.8,19.1,19.2,19.2,19.2,19.2,19.2,14.44,50.100,952.000
"February, 2017","22,6  -1 (-4,24%)",23.3,20.3,23.6,21.8,23.0,21.8,22.6,22.46,18.4,129.010,2.898.000
"March, 2017","20,4  0,1 (0,49%)",21.7,18.9,20.3,20.3,20.9,20.3,20.4,20.43,16.61,46.81,957.000
"April, 2017","22,5  0 (0%)",24.05,20.95,22.5,21.9,22.5,21.9,22.5,21.99,18.32,14.64,322.000
"May, 2017","24,1  0,55 (2,34%)",25.15,21.95,23.55,23.0,24.1,23.0,24.1,23.91,19.62,7.82,187.000
"June, 2017","17,7  0 (0%)",18.9,16.5,17.7,17.5,17.8,17.5,17.7,17.69,17.3,195.260,3.454.000
"July, 2017",17  0 (0%),18.15,15.85,17.0,17.0,17.2,17.0,17.0,17.009999999999998,16.61,76.61,1.302.610
"August, 2017","16,75  0,05 (0,3%)",17.85,15.55,16.7,16.75,16.75,16.5,16.75,16.5,16.369999999999997,174.03,2.905.300
"September, 2017","17  0,7 (4,29%)",17.4,15.2,16.3,16.2,17.0,16.2,17.0,16.52,16.61,418.800,6.920.000
"October, 2017","16,35  0,25 (1,55%)",17.2,15.0,16.1,16.0,16.35,16.0,16.35,16.19,15.98,5.62,91.000
"November, 2017","20,8  0,3 (1,46%)",21.9,19.1,20.5,20.5,21.8,20.5,20.8,20.99,20.33,213.57,4.483.000
"December, 2017",20  0 (0%),21.4,18.6,20.0,20.1,20.4,19.25,20.0,20.04,19.54,39.52,792.000
"January, 2018","24,5  -0,5 (-2%)",26.75,23.25,25.0,24.5,24.5,24.5,24.5,24.51,23.94,12.360,303.000
"February, 2018","25,6  0,6 (2,4%)",26.75,23.25,25.0,25.7,25.7,25.0,25.6,24.68,25.02,770.0,19.000
"March, 2018","18,5  -0,5 (-2,63%)",20.3,17.7,19.0,19.0,19.0,18.0,18.5,18.15,18.08,151.510,2.750.000
"April, 2018","19,4  0,4 (2,11%)",20.3,17.7,19.0,18.0,20.0,18.0,19.4,19.46,18.96,58.03,1.129.000
"May, 2018","19,6  0 (0%)",20.95,18.25,19.6,19.5,19.6,19.4,19.6,19.59,19.15,6.33,124.0
"June, 2018","19,5  -0,3 (-1,52%)",21.15,18.45,19.8,19.2,19.5,19.0,19.5,19.39,19.05,1.650,32.000
"July, 2018","19,6  -0,05 (-0,25%)",21.0,18.3,19.65,19.1,19.6,19.1,19.6,19.43,19.15,3.500,68.000
"August, 2018","19  -0,35 (-1,81%)",20.7,18.0,19.35,19.0,19.0,19.0,19.0,19.0,18.57,5.0,95.0
"September, 2018","19,4  -0,2 (-1,02%)",20.95,18.25,19.6,19.6,19.7,19.05,19.4,19.2,18.96,5.26,101.0
"October, 2018","18,2  0,3 (1,68%)",19.15,16.65,17.9,18.9,18.9,17.1,18.2,17.669999999999998,17.78,20.03,354.0
"November, 2018",19  0 (0%),20.3,17.7,19.0,19.0,19.0,19.0,19.0,19.02,18.57,8.2,156.000
"December, 2018","20,4  0 (0%)",21.8,19.0,20.4,20.4,20.4,20.4,20.4,20.4,19.93,30.000,612.000
"January, 2019","20,6  1,25 (6,46%)",20.7,18.0,19.35,20.4,20.6,19.9,20.6,20.51,18.84,5.51,113.000
"February, 2019","18  0,1 (0,56%)",19.15,16.65,17.9,18.0,18.1,18.0,18.0,18.0,16.46,156.580,2.818.000
"March, 2019","19,4  0,1 (0,52%)",20.65,17.95,19.3,19.35,19.4,19.0,19.4,19.24,17.75,294.510,5.667.000
