Date,Changes,Max,Min,Reference Price,Open,High,Low,Close,Average,Adjusted Close,KLGD,GTGD
"January, 2015","110  -2 (-1,79%)",11.9,10.5,11.2,11.2,11.2,11.0,11.0,11.08,54.9,47.23,5.233.000
"February, 2015",108  0 (0%),11.5,10.1,10.8,10.8,10.8,10.7,10.8,10.74,53.9,37.73,4.052.000
"March, 2015","102  1 (0,99%)",10.8,94.0,10.1,10.3,10.3,10.1,10.2,101.89,50.91,26.88,2.739.000
"April, 2015",104  0 (0%),11.1,97.0,10.4,10.4,10.4,10.3,10.4,103.12,51.9,10.95,1.129.000
"May, 2015","98  -1 (-1,01%)",10.5,92.5,99.0,98.5,98.5,98.0,98.0,98.22,51.29,18.7,1.837.000
"June, 2015","98,5  2,5 (2,6%)",10.2,89.5,96.0,96.0,100.0,96.0,98.5,98.04,55.3,58.66,5.751.000
"July, 2015","116  -1 (-0,85%)",12.5,10.9,11.7,11.7,11.7,11.6,11.6,116.27,65.28999999999999,24.43,2.840.000
"August, 2015",113  0 (0%),12.0,10.6,11.3,11.3,11.4,11.2,11.3,112.89,68.31,15.74,1.777.000
"September, 2015","128  1 (0,79%)",13.5,11.9,12.7,12.7,12.9,12.6,12.8,127.54,78.03999999999999,41.62,5.308.000
"October, 2015",135  0 (0%),14.4,12.6,13.5,13.5,13.6,13.4,13.5,135.06,82.92999999999999,54.78,7.388.000
"November, 2015",144  0 (0%),15.4,13.4,14.4,14.3,14.7,14.3,14.4,144.64,88.46000000000001,17.88,2.586.000
"December, 2015","145  -2 (-1,36%)",15.6,13.6,14.7,14.7,14.7,14.4,14.5,145.38,87.4,31.59,4.593.000
"January, 2016","133  -3 (-2,21%)",14.5,12.7,13.6,13.6,13.6,13.0,13.3,132.36,79.61,22.9,3.031.000
"February, 2016","130  2 (1,56%)",13.6,12.0,12.8,13.0,13.0,12.8,13.0,128.95,81.06,68.49,8.804.000
"March, 2016","125  -2 (-1,57%)",13.5,11.9,12.7,12.7,12.7,12.5,12.5,125.63,77.92999999999999,16.61,2.087.000
"April, 2016",109  0 (0%),11.6,10.2,10.9,10.9,11.1,10.9,10.9,109.06,69.12,148.81,16.229.000
"May, 2016","107  1 (0,94%)",11.5,10.1,10.6,10.6,10.9,10.6,10.7,107.39,67.19,8.43,905.000
"June, 2016","112  -3 (-2,61%)",12.3,10.7,11.5,11.2,11.4,11.2,11.2,112.46,72.22999999999999,10.15,1.141.000
"July, 2016","108  -2 (-1,82%)",11.7,10.3,11.0,11.1,11.1,10.8,10.8,109.34,68.45,74.96,8.207.000
"August, 2016","101  -1 (-0,98%)",10.9,95.0,10.2,10.1,10.2,10.1,10.1,101.03,63.74,8.79,888.000
"September, 2016","95,3  -4,7 (-4,7%)",10.27,89.3,100.0,94.0,97.4,94.0,95.3,95.65,63.88,20.19,1.931.000
"October, 2016","82  2,3 (2,89%)",85.2,74.2,79.7,80.0,82.4,80.0,82.0,81.96000000000001,54.96,50.22,4.116.000
"November, 2016","86,5  2,5 (2,98%)",89.8,78.2,84.0,84.5,87.0,81.0,86.5,83.19,59.2,46.31,3.853.000
"December, 2016","89  3 (3,49%)",92.0,80.0,86.0,86.0,89.5,86.0,89.0,87.75,60.91,18.77,1.647.000
"January, 2017","89,1  0,1 (0,11%)",95.2,82.8,89.0,89.4,89.4,88.5,89.1,88.9,61.95,26.16,2.326.000
"February, 2017","87,8  0,1 (0,11%)",93.8,81.6,87.7,88.4,88.4,87.7,87.8,87.92,61.05,7.82,688.000
"March, 2017",88  0 (0%),94.1,81.9,88.0,88.0,88.0,87.2,88.0,87.32000000000001,61.260000000000005,5.98,522.000
"April, 2017","89,2  1,2 (1,36%)",94.1,81.9,88.0,89.4,89.5,88.9,89.2,89.17,62.09,97.71,8.713.000
"May, 2017","78,5  -1 (-1,26%)",85.0,74.0,79.5,80.0,80.4,78.5,78.5,78.99,58.64,64.48,5.093.000
"June, 2017",81  0 (0%),86.6,75.4,81.0,81.0,81.0,80.0,81.0,80.72,60.5,6.43,519.000
"July, 2017","81,8  0,4 (0,49%)",87.0,75.8,81.4,81.4,81.8,76.0,81.8,80.65,61.1,8.94,721.000
"August, 2017",78  0 (0%),83.4,72.6,78.0,78.0,78.1,78.0,78.0,78.0,61.260000000000005,101.31,7.902.000
"September, 2017","83  1,4 (1,72%)",87.3,75.9,81.6,82.7,83.3,82.5,83.0,82.9,65.19,23.51,1.949.000
"October, 2017","88,5  -0,5 (-0,56%)",95.2,82.8,89.0,89.8,90.0,88.2,88.5,89.47,69.51,19.18,1.716.000
"November, 2017","96  -2 (-2,04%)",10.48,91.2,98.0,98.0,98.0,96.0,96.0,96.67,75.4,14.73,1.424.000
"December, 2017","113,8  0,8 (0,71%)",12.09,10.51,11.3,11.4,11.4,11.22,11.38,113.06,89.38,27.56,3.116.000
"January, 2018","100  0,2 (0,2%)",10.67,92.9,99.8,99.9,10.1,97.0,100.0,98.82,78.53999999999999,16.89,1.669.000
"February, 2018","104,3  -1,8 (-1,7%)",11.35,98.7,10.61,10.41,10.61,10.41,10.43,104.37,81.92,7.33,765.000
"March, 2018","103  1,4 (1,38%)",10.87,94.5,10.16,10.17,10.3,10.15,10.3,102.91,80.9,129.2,13.175.000
"April, 2018","99  2 (2,06%)",10.37,90.3,97.0,97.0,99.0,96.5,99.0,97.52,77.76,6.44,628.000
"May, 2018","93  -3,5 (-3,63%)",10.32,89.8,96.5,96.5,96.5,91.6,93.0,93.97,76.9,4.64,436.000
"June, 2018","93  0,2 (0,22%)",99.2,86.4,92.8,92.0,93.0,92.0,93.0,92.98,76.9,81.48,7.576.000
"July, 2018","86  -0,3 (-0,35%)",92.3,80.3,86.3,87.0,87.0,85.3,86.0,85.72999999999999,71.11,8.48,727.000
"August, 2018","77,6  -0,6 (-0,77%)",83.6,72.8,78.2,78.1,78.2,77.5,77.6,77.72,67.45,7.9,614.000
"September, 2018","78  4 (5,41%)",79.1,68.9,74.0,74.5,79.1,74.3,78.0,76.34,67.78999999999999,143.71,10.971.000
