Date,Changes,Max,Min,Reference Price,Open,High,Low,Close,Average,Adjusted Close,KLGD,GTGD
"January, 2017","82  -3,4 (-3,98%)",98.2,72.6,85.4,82.0,82.0,82.0,82.0,82.0,82.85,400.0,32.800
"February, 2017","78  -0,27 (-0,35%)",90.2,66.8,78.5,78.5,78.5,78.0,78.0,78.22999999999999,78.81,2.2,172.100
"March, 2017","78,2  0 (0%)",89.9,66.5,78.2,0.0,0.0,0.0,78.2,78.2,78.81,1.5,125.550
"April, 2017","87  9,04 (11,02%)",94.3,69.7,82.0,88.0,94.3,87.0,87.0,91.04,87.91,20.5,1.866.250
"May, 2017","90  -0,79 (-0,87%)",10.46,77.4,91.0,90.0,91.0,90.0,90.0,90.21,90.94,9.5,857.000
"June, 2017","90,5  0,6 (0,66%)",10.37,76.7,90.2,91.0,91.0,90.0,90.5,90.8,91.44,9.4,853.500
"July, 2017","92,5  -2,54 (-2,8%)",10.44,77.2,90.8,86.0,92.5,86.0,92.5,88.26,93.46,69.5,6.133.820
"August, 2017","90,2  2,37 (2,68%)",10.15,75.1,88.3,88.0,94.9,85.0,90.2,90.66,91.14,13.900,1.260.250
"September, 2017","86,9  0,68 (0,78%)",99.3,73.5,86.4,87.5,88.0,86.5,86.9,87.08,87.81,8.8,766.280
"October, 2017","78,1  -1,45 (-1,78%)",93.6,69.2,81.4,80.0,80.0,78.1,78.1,79.95,78.91,4.1,327.810
"November, 2017","85,4  -2 (-2,29%)",10.05,74.3,87.4,85.4,85.4,85.4,85.4,85.4,86.28999999999999,3.5,298.900
"December, 2017","85,3  0,61 (0,73%)",97.0,71.8,84.4,85.0,85.3,84.9,85.3,85.01,86.19,21.0,1.785.250
"January, 2018","82,5  0,53 (0,65%)",94.5,69.9,82.2,83.0,83.0,82.5,82.5,82.74,83.36,19.2,1.588.510
"February, 2018","80,9  0 (0%)",93.0,68.8,80.9,0.0,0.0,0.0,80.9,80.9,81.84,24.8,2.005.310
"March, 2018","82,9  1,8 (2,24%)",92.5,68.5,80.5,80.5,82.9,80.5,82.9,82.3,83.76,400.0,32.920
"April, 2018",83  0 (0%),95.4,70.6,83.0,0.0,0.0,0.0,83.0,83.0,83.87,15.1,1.253.270
"May, 2018","76,9  0 (0%)",88.4,65.4,76.9,0.0,0.0,0.0,76.9,76.9,77.7,1.5,115.35
"June, 2018","85  5,98 (7,68%)",89.5,66.3,77.9,80.0,85.0,80.0,85.0,83.88,85.89,18.4,1.543.440
"July, 2018","84  3,45 (4,49%)",88.3,65.3,76.8,76.5,84.0,76.5,84.0,80.25,84.88,200.0,16.05
"August, 2018","82  7,26 (9,84%)",84.8,62.8,73.8,78.0,82.0,77.0,82.0,81.06,82.85,3.5,283.710
"September, 2018","92  6,87 (8,58%)",92.0,68.0,80.0,79.9,92.0,79.9,92.0,86.87,92.96,38.6,3.353.090
"October, 2018",75  0 (0%),86.2,63.8,75.0,0.0,0.0,0.0,75.0,75.0,75.78,300.0,22.5
"November, 2018","39,3  1,1 (2,88%)",43.9,32.5,38.2,39.3,39.3,39.3,39.3,39.3,39.71,100,3.930
"December, 2018","34,3  -0,25 (-0,72%)",39.6,29.4,34.5,34.2,34.3,34.2,34.3,34.25,34.660000000000004,1.0,34.25
"January, 2019","36  -3,5 (-8,86%)",45.4,33.6,39.5,36.0,36.0,36.0,36.0,36.0,36.38,3.0,108.0
"February, 2019","36  3,25 (7,93%)",47.1,34.9,41.0,47.0,47.0,36.0,36.0,44.25,36.38,800.0,35.4
"March, 2019","33,3  0 (0%)",38.2,28.4,33.3,0.0,0.0,0.0,33.3,33.3,33.65,60.000,1.998.000
"April, 2019","32,1  0 (0%)",36.9,27.3,32.1,0.0,0.0,0.0,32.1,32.1,32.43,100,3.210
"May, 2019","27,9  0 (0%)",32.0,23.8,27.9,27.9,27.9,27.9,27.9,27.9,28.19,300.0,8.37
"June, 2019","32  0,89 (2,86%)",35.5,26.3,30.9,31.8,32.0,31.2,32.0,31.78,32.33,11.0,349.64
"July, 2019","36  2,42 (7,42%)",37.6,27.8,32.7,34.8,36.0,34.8,36.0,35.12,36.38,2.0,70.25
"August, 2019","24  -0,62 (-2,43%)",29.0,21.6,25.3,25.1,25.1,24.0,24.0,24.68,24.25,106.7,2.633.920
"September, 2019","41,1  -4,58 (-10,1%)",52.0,38.6,45.3,45.3,45.3,39.9,41.1,40.72,41.53,39.41,1.604.910
"October, 2019","51  1,29 (2,72%)",54.6,40.4,47.5,49.1,53.0,48.1,51.0,48.79,51.53,93.721,4.572.783
"November, 2019","46,8  0,17 (0,36%)",53.8,39.8,46.8,48.0,48.5,45.9,46.8,46.97,47.29,149.6,7.026.190
"December, 2019","45  0,4 (0,9%)",47.7,41.5,44.6,45.0,46.0,44.2,45.0,45.16,45.47,226.220,10.217.000
"January, 2020","47,9  -0,2 (-0,42%)",51.4,44.75,48.1,48.1,48.1,46.55,47.9,47.69,47.68,206.92,9.867.000
"February, 2020","44,9  -0,35 (-0,77%)",48.4,42.1,45.25,45.0,45.15,43.0,44.9,44.27,44.88,301.45,13.444.000
"March, 2020","36,5  -0,5 (-1,35%)",39.55,34.45,37.0,37.0,37.0,35.0,36.5,36.5,36.48,544.33,20.494.000
"April, 2020","41,55  0,55 (1,34%)",43.85,38.15,41.0,41.0,42.0,41.0,41.55,41.61,41.53,1.335.990,56.012.080
"May, 2020","48,4  -0,4 (-0,82%)",52.2,45.4,48.8,48.8,48.8,48.35,48.4,48.56,48.4,870.1,43.117.000
"June, 2020","43,75  -0,65 (-1,46%)",47.5,41.3,44.4,43.9,44.85,41.8,43.75,43.96,0.0,454.37,20.233.550
"July, 2020","44,4  0,15 (0,34%)",47.3,41.2,44.25,42.05,45.2,42.05,44.4,43.87,0.0,225.52,9.894.000
"August, 2020","56,5  -2,5 (-4,24%)",63.1,54.9,59.0,59.1,61.0,56.0,56.5,57.55,0.0,989.750,54.818.000
"September, 2020",54  0 (0%),57.7,50.3,54.0,54.0,54.3,53.8,54.0,54.05,0.0,128.41,6.940.000
"October, 2020","49,5  -1,1 (-2,17%)",54.1,47.1,50.6,51.0,51.0,49.5,49.5,50.21,0.0,200.95,10.089.000
"November, 2020","49,65  0,05 (0,1%)",53.0,46.15,49.6,50.0,50.0,48.7,49.65,49.3,0.0,209.800,10.343.000
"December, 2020","56,8  2,8 (5,19%)",57.7,50.3,54.0,54.0,57.7,53.0,56.8,56.3,0.0,489.61,27.565.000
"January, 2021","64  4 (6,67%)",64.2,55.8,60.0,59.0,64.2,56.5,64.0,62.15,0.0,384.6,23.903.000
"February, 2021","69  -4 (-5,48%)",78.1,67.9,73.0,72.5,72.5,67.9,69.0,69.05,0.0,383.2,26.460.000
"March, 2021","63  1 (1,61%)",66.3,57.7,62.0,62.0,63.7,61.8,63.0,62.9,0.0,347.8,21.875.000
"April, 2021","63  1,1 (1,78%)",66.2,57.6,61.9,61.9,63.7,61.9,63.0,63.120000000000005,0.0,463.5,29.257.000
"May, 2021","58,5  0,7 (1,21%)",61.8,53.8,57.8,57.7,58.7,55.0,58.5,57.64,0.0,326.5,18.821.000
"June, 2021","56,9  0,4 (0,71%)",60.4,52.6,56.5,56.8,58.0,56.4,56.9,57.04,0.0,560.1,31.847.500
"July, 2021","44,9  -0,15 (-0,33%)",48.2,41.9,45.05,45.1,45.4,44.0,44.9,44.86,0.0,353.8,15.871.000
"August, 2021","40,95  1,7 (4,33%)",41.95,36.55,39.25,39.4,41.0,39.35,40.95,40.45,0.0,661.000,26.735.000
"September, 2021","37,3  0,55 (1,5%)",39.3,34.2,36.75,36.8,38.5,36.35,37.3,37.31,0.0,1.191.700,43.950.730
"October, 2021","42,55  1,1 (2,65%)",44.35,38.55,41.45,42.3,43.4,41.45,42.55,42.34,0.0,1.073.900,45.468.000
"November, 2021","40,5  0,3 (0,75%)",43.0,37.4,40.2,40.6,41.5,40.2,40.5,40.68,0.0,337.8,13.742.000
"December, 2021","40  1 (2,56%)",41.7,36.3,39.0,39.0,40.0,38.4,40.0,39.510000000000005,0.0,2.284.700,91.149.000
