Date,Changes,Max,Min,Reference Price,Open,High,Low,Close,Average,Adjusted Close,KLGD,GTGD
"December, 2004","30,9  0 (0%)",32.0,29.0,0.0,0.0,0.0,0.0,30.9,0.0,10.19,12.13,
"January, 2005","30,5  0 (0%)",32.2,29.2,0.0,0.0,0.0,0.0,30.5,0.0,10.06,12.8,302.0
"February, 2005","30,5  0 (0%)",32.0,29.0,0.0,0.0,0.0,0.0,30.5,0.0,10.06,2.0,
"March, 2005","32,2  0 (0%)",34.1,30.9,0.0,0.0,0.0,0.0,32.2,0.0,10.93,2.41,580.000
"April, 2005","34,4  0 (0%)",35.9,32.5,0.0,0.0,0.0,0.0,34.4,0.0,11.68,17.6,825.0
"May, 2005","34,6  0 (0%)",36.3,32.9,0.0,0.0,0.0,0.0,34.6,0.0,11.75,15.47,3.413.800
"June, 2005",36  0 (0%),37.6,34.2,0.0,0.0,0.0,0.0,36.0,0.0,12.22,2.1,1.005.200
"July, 2005","38,3  0 (0%)",39.9,36.1,0.0,0.0,0.0,0.0,38.3,0.0,13.01,9.49,2.750.000
"August, 2005","41,6  0 (0%)",43.2,39.2,0.0,0.0,0.0,0.0,41.6,0.0,14.43,13.25,1.836.000
"September, 2005","51,5  0 (0%)",51.5,47.1,0.0,0.0,0.0,0.0,51.5,0.0,18.67,36.36,496.0
"October, 2005",54  0 (0%),54.0,49.0,0.0,0.0,0.0,0.0,54.0,0.0,21.880000000000003,34.48,1.030.000
"November, 2005",54  0 (0%),55.5,50.5,0.0,0.0,0.0,0.0,54.0,0.0,21.9,5.56,8.400.000
"December, 2005",54  0 (0%),56.5,51.5,0.0,0.0,0.0,0.0,54.0,0.0,21.9,109.89,5.400.000
"January, 2006","55,5  0 (0%)",57.5,52.5,0.0,0.0,0.0,0.0,55.5,0.0,22.72,10.01,3.240.000
"February, 2006","61,5  0 (0%)",63.0,57.0,0.0,0.0,0.0,0.0,61.5,0.0,25.18,7.12,1.475.000
"March, 2006","92,5  0 (0%)",94.5,85.5,0.0,0.0,0.0,0.0,92.5,0.0,38.45,8.11,12.750.000
"April, 2006",95  0 (0%),99.5,90.5,0.0,0.0,0.0,0.0,95.0,0.0,39.59,11.45,
"May, 2006",80  0 (0%),81.5,74.5,0.0,0.0,0.0,0.0,80.0,0.0,40.57,2.53,1.500.000
"June, 2006",78  0 (0%),81.5,74.5,0.0,0.0,0.0,0.0,78.0,0.0,39.56,4.36,4.736.000
"July, 2006",64  0 (0%),70.0,64.0,0.0,0.0,0.0,0.0,64.0,0.0,32.46,3.08,3.493.500
"August, 2006","74,5  0 (0%)",78.5,71.5,0.0,0.0,0.0,0.0,74.5,0.0,37.78,5.16,1.071.680
"September, 2006",79  0 (0%),82.0,75.0,0.0,0.0,0.0,0.0,79.0,0.0,40.06,31.47,2.260.000
"October, 2006",81  0 (0%),85.0,77.0,0.0,0.0,0.0,0.0,81.0,0.0,41.58,61.92,4.100.000
"November, 2006","96,5  0 (0%)",96.5,87.5,0.0,0.0,0.0,0.0,96.5,0.0,49.53,68.0,13.572.000
"December, 2006",130  0 (0%),13.6,12.4,0.0,0.0,0.0,0.0,13.0,0.0,67.25,23.27,
"January, 2007","185  5 (2,78%)",18.9,17.1,18.0,0.0,0.0,0.0,18.5,0.0,95.71,204.08,38.248.510
"February, 2007","178  -9 (-4,81%)",19.6,17.8,18.7,0.0,0.0,0.0,17.8,0.0,92.09,118.58,21.831.130
"March, 2007",168  0 (0%),17.6,16.0,16.8,0.0,0.0,0.0,16.8,0.0,87.41,62.95,10.824.720
"April, 2007","122  -2 (-1,61%)",13.0,11.8,12.4,0.0,0.0,0.0,12.2,0.0,76.08,70.12,8.464.580
"May, 2007",158  0 (0%),16.8,15.2,0.0,0.0,0.0,0.0,15.8,0.0,98.53,45.54,5.304.000
"June, 2007","170  8 (4,94%)",17.0,15.4,16.2,0.0,0.0,0.0,17.0,0.0,106.01,51.15,8.598.990
"July, 2007","190  9 (4,97%)",19.0,17.2,18.1,18.1,19.0,18.1,19.0,188.39,118.48,34.6,6.518.000
"August, 2007","233  3 (1,3%)",24.1,21.9,23.0,23.0,23.3,22.7,23.3,231.35,14.53,25.99,6.013.000
"September, 2007","232  11 (4,98%)",23.2,21.0,22.1,22.5,23.2,22.4,23.2,228.38,145.32999999999998,42.98,9.815.000
"October, 2007","192  4 (2,13%)",19.7,17.9,18.8,19.6,19.6,19.1,19.2,194.12,120.27,31.81,6.175.000
"November, 2007","186  -1 (-0,53%)",19.6,17.8,18.7,18.6,18.7,18.6,18.6,186.01,11.41,9.28,1.726.000
"December, 2007",176  0 (0%),18.4,16.8,17.6,17.9,17.9,17.6,17.6,176.15,107.96,2.18,384.000
"January, 2008","156  -1 (-0,64%)",16.4,15.0,15.7,15.7,15.7,15.0,15.6,154.66,95.69,15.12,2.339.000
"February, 2008","115  -6 (-4,96%)",12.7,11.5,12.1,11.5,11.6,11.5,11.5,11.5,70.53999999999999,29.07,3.343.000
"March, 2008","95  0,5 (0,53%)",95.0,94.0,94.5,95.0,95.0,95.0,95.0,95.0,58.42,100.0,10.000
"April, 2008","97  1,5 (1,57%)",97.0,94.0,95.5,96.5,97.0,96.5,97.0,96.94,59.65,24.58,2.383.000
"May, 2008","80  -1,5 (-1,84%)",83.0,80.0,81.5,80.0,80.5,80.0,80.0,80.01,49.2,13.63,1.091.000
"June, 2008","72  1 (1,41%)",73.0,69.0,71.0,71.0,73.0,71.0,72.0,72.32000000000001,54.67999999999999,2.57,186.000
"July, 2008","55  -1,5 (-2,65%)",58.0,55.0,56.5,55.0,55.0,55.0,55.0,55.0,41.77,3.56,196.000
"August, 2008","69  3 (4,55%)",69.0,63.0,66.0,69.0,69.0,66.0,69.0,68.71000000000001,52.61,54.39,3.737.000
"September, 2008","52,5  -2,5 (-4,55%)",57.5,52.5,55.0,52.5,52.5,52.5,52.5,52.5,40.03,6.18,324.0
"October, 2008","32,2  -1,1 (-3,3%)",34.9,31.7,33.3,32.0,33.5,32.0,32.2,0.0,24.68,2.95,96.000
"November, 2008","29,8  -1,5 (-4,79%)",32.8,29.8,31.3,29.8,31.8,29.8,29.8,29.87,22.84,31.95,954.000
"December, 2008","25,6  -0,4 (-1,54%)",27.3,24.7,26.0,26.0,26.0,25.6,25.6,25.83,20.880000000000003,3.82,99.0
"January, 2009","23,5  0,2 (0,86%)",24.4,22.2,23.3,23.3,24.4,23.3,23.5,23.44,18.46,23.66,555.0
"February, 2009","13,6  0,2 (1,49%)",14.0,12.8,13.4,12.9,13.6,12.9,13.6,13.16,10.68,92.78,1.221.000
"March, 2009","15,8  -0,6 (-3,66%)",17.2,15.6,16.4,16.0,16.1,15.7,15.8,15.86,12.41,86.9,1.379.000
"April, 2009","20,6  0,9 (4,57%)",20.6,18.8,19.7,20.6,20.6,20.0,20.6,20.5,16.31,145.15,2.976.000
"May, 2009","38,3  0,2 (0,52%)",40.0,36.2,38.1,40.0,40.0,36.2,38.3,38.94,30.32,405.8,15.813.000
"June, 2009","31,8  -1,6 (-4,79%)",35.0,31.8,33.4,33.4,33.4,31.8,31.8,31.87,24.12,72.59,2.315.000
"July, 2009","34,5  0,8 (2,37%)",35.3,32.1,33.7,33.7,34.9,33.7,34.5,34.25,24.98,86.19,2.952.000
