Date,Changes,Max,Min,Reference Price,Open,High,Low,Close,Average,Adjusted Close,KLGD,GTGD
"January, 2011","29,3  -0,7 (-2,33%)",31.5,28.5,30.0,29.1,30.1,29.0,29.3,29.32,79.6,413.890,12.204.650
"February, 2011","25  -0,8 (-3,1%)",27.0,24.6,25.8,26.3,26.3,24.8,25.0,25.3,67.9,167.27,4.244.510
"March, 2011","25,2  -0,2 (-0,79%)",26.6,24.2,25.4,25.4,25.6,25.2,25.2,25.380000000000003,68.5,240.83,6.111.679
"April, 2011","25  -0,5 (-1,96%)",26.7,24.3,25.5,24.6,25.4,24.6,25.0,25.09,67.9,132.64,3.327.810
"May, 2011","23,4  0,2 (0,86%)",24.3,22.1,23.2,23.2,23.4,23.2,23.4,23.27,63.6,5.4,125.660
"June, 2011","23,1  -0,7 (-2,94%)",24.9,22.7,23.8,23.7,23.8,23.1,23.1,23.35,62.8,55.41,1.294.084
"July, 2011","20,4  0,9 (4,62%)",20.4,18.6,19.5,19.7,20.4,19.7,20.4,20.16,55.4,24.33,490.408
"August, 2011","20  0,1 (0,5%)",20.8,19.0,19.9,19.7,20.0,19.7,20.0,19.87,54.3,31.63,628.621
"September, 2011","15,5  0,2 (1,31%)",16.0,14.6,15.3,15.3,15.5,15.3,15.5,15.36,56.0,31.0,476.256
"October, 2011","15,2  -0,7 (-4,4%)",16.6,15.2,15.9,15.5,15.6,15.2,15.2,15.32,54.9,79.1,1.211.529
"November, 2011","14,7  -0,2 (-1,34%)",15.6,14.2,14.9,14.7,14.7,14.7,14.7,14.7,53.1,269.94,4.102.843
"December, 2011","13,7  0,1 (0,74%)",14.2,13.0,13.6,13.7,13.7,13.5,13.7,13.52,49.5,90.34,1.221.400
"January, 2012","12,9  -0,6 (-4,44%)",14.1,12.9,13.5,13.3,13.4,12.9,12.9,13.25,46.6,61.25,811.37
"February, 2012","11,8  -0,6 (-4,84%)",13.0,11.8,12.4,12.3,12.3,11.8,11.8,11.91,42.6,10.0,119.097
"March, 2012","11,6  0 (0%)",12.1,11.1,11.6,11.5,11.6,11.5,11.6,11.5,41.9,3.21,36.916
"April, 2012","13,1  0,4 (3,15%)",13.3,12.1,12.7,12.7,13.1,12.7,13.1,12.87,47.3,6.69,86.071
"May, 2012","15,2  0,2 (1,33%)",15.7,14.3,15.0,15.0,15.7,14.9,15.2,15.4,54.9,175.16,2.697.676
"June, 2012","14,6  0,1 (0,69%)",15.2,13.8,14.5,14.7,14.8,14.6,14.6,14.69,52.7,56.85,835.120
"July, 2012","13  -0,2 (-1,52%)",13.8,12.6,13.2,13.1,13.3,13.0,13.0,13.080000000000002,46.9,17.86,233.645
"August, 2012","11,7  0,3 (2,63%)",11.9,10.9,11.4,11.4,11.7,11.2,11.7,11.4,42.3,26.24,299.08
"September, 2012","10,3  -0,3 (-2,83%)",11.1,10.1,10.6,10.6,10.7,10.3,10.3,10.58,37.2,4.66,49.314
"October, 2012","10,5  -0,1 (-0,94%)",11.1,10.1,10.6,10.6,10.6,10.5,10.5,10.55,37.9,40,422.0
"November, 2012","10,5  0,3 (2,94%)",10.7,97.0,10.2,10.5,10.5,10.5,10.5,10.5,37.9,10.0,105.0
"December, 2012","9,6  -0,3 (-3,03%)",10.3,95.0,99.0,10.1,10.1,95.0,96.0,97.6,34.7,54.85,535.308
"January, 2013","8,7  0 (0%)",93.0,81.0,87.0,87.0,87.0,87.0,87.0,87.0,31.4,550.0,4.785
"February, 2013","12,9  0,5 (4,03%)",13.2,11.6,12.4,12.9,12.9,12.9,12.9,12.9,46.6,20.0,258.0
"March, 2013","7  -0,5 (-6,67%)",8.0,7.0,75.0,74.0,74.0,7.0,7.0,70.8,25.3,250.0,1.77
"April, 2013","6,7  0 (0%)",71.0,63.0,67.0,67.0,69.0,65.0,67.0,66.8,24.2,3.51,23.447
