Date,Changes,Max,Min,Reference Price,Open,High,Low,Close,Average,Adjusted Close,KLGD,GTGD
"January, 2014","6,2  -0,21 (-3,22%)",7.0,58.0,64.0,6.0,62.0,6.0,62.0,61.9,30.1,3.5,21.68
"February, 2014","7,6  0 (0%)",83.0,69.0,76.0,0.0,0.0,0.0,76.0,76.0,36.9,500.0,3.8
"March, 2014","8,2  0,37 (4,87%)",84.0,7.0,77.0,8.0,82.0,8.0,82.0,80.7,39.8,24.0,193.8
"April, 2014","7,3  -0,2 (-2,67%)",82.0,68.0,75.0,73.0,73.0,73.0,73.0,73.0,35.4,4.0,29.2
"May, 2014","7,6  -0,08 (-1,09%)",84.0,7.0,77.0,77.0,77.0,7.0,76.0,76.2,36.9,1.276.100,8.936.460
"June, 2014","7,7  0,2 (2,67%)",82.0,68.0,75.0,77.0,77.0,77.0,77.0,77.0,37.4,5.9,45.43
"July, 2014","8,5  0 (0%)",93.0,77.0,85.0,0.0,0.0,0.0,85.0,85.0,41.3,32.4,275.04
"August, 2014","10,5  0,08 (0,81%)",11.3,93.0,10.3,10.3,10.5,10.3,10.5,10.38,51.0,26.7,277.23
"September, 2014","11,6  0 (0%)",12.7,10.5,11.6,11.6,11.6,11.6,11.6,11.6,56.3,55.700,646.120
"October, 2014","17,8  -0,01 (-0,04%)",19.3,15.9,17.6,17.4,17.8,17.4,17.8,17.59,86.4,321.8,5.661.360
"November, 2014","18  0,41 (2,33%)",19.3,15.9,17.6,17.6,18.5,17.6,18.0,18.009999999999998,87.4,1.076.600,19.390.020
"December, 2014","20,9  1,43 (7,47%)",21.1,17.3,19.2,19.8,20.9,19.7,20.9,20.630000000000003,10.15,1.083.600,22.359.290
"January, 2015","23  -0,64 (-2,74%)",25.7,21.1,23.4,23.3,23.3,22.5,23.0,22.76,11.17,1.032.400,23.495.250
"February, 2015","22,2  -0,29 (-1,3%)",24.6,20.2,22.4,22.3,22.4,22.0,22.2,22.11,10.78,394.100,8.713.330
"March, 2015","24,3  -0,11 (-0,45%)",26.8,22.0,24.4,24.2,26.8,24.1,24.3,24.29,11.8,569.840,14.075.068
"April, 2015","25,7  0 (-0,02%)",28.2,23.2,25.7,25.7,25.9,25.5,25.7,25.7,12.48,89.6,2.302.390
"May, 2015","24,1  -0,13 (-0,54%)",26.5,21.7,24.1,24.1,24.1,23.9,24.1,23.97,11.7,283.400,6.793.180
"June, 2015","23  -0,2 (-0,86%)",24.8,21.6,23.2,23.2,23.4,23.0,23.0,23.14,11.17,466.250,10.788.000
"July, 2015","25,3  0,5 (2,02%)",26.5,23.1,24.8,24.7,25.3,24.6,25.3,25.15,12.29,3.583.490,90.116.000
"August, 2015","24,1  -0,4 (-1,63%)",26.2,22.8,24.5,24.4,24.4,23.7,24.1,24.02,11.87,1.192.430,28.608.000
"September, 2015","24,9  0 (0%)",26.6,23.2,24.9,25.1,25.1,24.8,24.9,24.98,12.57,426.420,10.651.500
