Date,Changes,Max,Min,Reference Price,Open,High,Low,Close,Average,Adjusted Close,KLGD,GTGD
"December, 2016","60,1  0 (0%)",64.3,55.9,60.1,60.0,60.1,58.4,60.1,59.88,47.68,2.391.160,143.180.000
"January, 2017","60,6  2,7 (4,66%)",61.9,53.9,57.9,58.0,60.6,58.0,60.6,59.48,48.24,1.636.490,97.338.000
"February, 2017","67  0,5 (0,75%)",71.1,61.9,66.5,66.5,69.5,66.5,67.0,67.65,53.34,1.508.740,102.065.000
"March, 2017","69,2  0,5 (0,73%)",73.5,63.9,68.7,68.8,69.5,68.7,69.2,68.99,53.48,1.513.980,104.288.000
"April, 2017","70,7  -1,8 (-2,48%)",77.5,67.5,72.5,72.5,72.5,70.2,70.7,70.99,54.64,2.037.350,147.144.000
"May, 2017","67  1,1 (1,67%)",70.5,61.3,65.9,65.9,67.0,65.7,67.0,66.52000000000001,51.78,2.925.980,193.568.000
"June, 2017",68  0 (0%),72.7,63.3,68.0,68.0,68.0,67.6,68.0,67.82000000000001,52.56,3.016.890,205.403.000
"July, 2017","67,5  0,9 (1,35%)",71.2,62.0,66.6,66.6,67.5,65.9,67.5,66.42,52.17,2.940.840,195.822.000
"August, 2017","60,2  0,1 (0,17%)",64.3,55.9,60.1,60.1,60.4,58.8,60.2,59.34,46.53,3.664.400,219.406.000
"September, 2017","61,5  0,1 (0,16%)",65.6,57.2,61.4,61.4,62.5,61.4,61.5,61.78,47.53,3.193.160,196.611.137
"October, 2017","60,9  -0,1 (-0,16%)",65.2,56.8,61.0,61.0,61.1,60.7,60.9,60.870000000000005,47.07,2.606.360,159.344.000
"November, 2017","61,6  -0,7 (-1,12%)",66.6,58.0,62.3,62.6,62.8,61.6,61.6,62.25,47.61,3.477.350,215.713.000
"December, 2017","65,1  1,8 (2,84%)",67.7,58.9,63.3,63.6,66.5,63.4,65.1,64.55,50.32,3.980.210,247.206.520
"January, 2018","80,3  0,3 (0,37%)",85.6,74.4,80.0,79.5,80.7,79.0,80.3,79.82000000000001,62.06,3.580.060,283.875.000
"February, 2018","85,8  1,6 (1,9%)",90.0,78.4,84.2,84.0,86.8,84.0,85.8,85.58,66.31,4.447.460,379.025.000
"March, 2018","69,2  2,9 (4,37%)",70.9,61.7,66.3,66.8,69.2,66.8,69.2,68.22999999999999,70.02000000000001,5.992.270,390.183.283
"April, 2018","61,5  -4,6 (-6,96%)",70.7,61.5,66.1,62.0,64.7,61.5,61.5,61.83,62.23,5.119.280,340.998.540
"May, 2018","51  0,2 (0,39%)",54.3,47.25,50.8,50.8,53.3,50.7,51.0,52.17,51.71,9.861.440,508.673.000
"June, 2018","51  0,3 (0,59%)",54.2,47.2,50.7,50.7,51.0,50.5,51.0,50.72,51.78,5.204.890,266.501.000
"July, 2018","62  1,4 (2,31%)",64.8,56.4,60.6,60.4,63.5,59.7,62.0,61.07000000000001,63.1,1.397.330,83.445.000
"August, 2018",65  0 (0%),69.5,60.5,65.0,65.0,65.1,64.5,65.0,64.85,66.15,332.000,21.531.000
"September, 2018","66,5  0 (0%)",71.1,61.9,66.5,66.5,66.8,65.5,66.5,66.26,67.67999999999999,924.590,61.263.000
"October, 2018","71,1  0,9 (1,28%)",75.1,65.3,70.2,70.1,71.1,69.9,71.1,70.72999999999999,72.36,4.030.240,297.543.000
"November, 2018","68,1  -1,1 (-1,59%)",74.0,64.4,69.2,69.2,69.4,67.2,68.1,68.28,69.31,368.790,25.181.000
"December, 2018","64,2  0 (0%)",68.6,59.8,64.2,64.0,64.5,63.9,64.2,64.16,65.34,625.111,40.064.037
"January, 2019","56,6  -0,5 (-0,88%)",61.0,53.2,57.1,57.0,57.2,56.3,56.6,56.7,57.7,600.51,34.062.180
