Date,Changes,Max,Min,Reference Price,Open,High,Low,Close,Average,Adjusted Close,KLGD,GTGD
"January, 2014","5,5  -0,1 (-1,79%)",59.0,53.0,56.0,57.0,57.0,55.0,55.0,55.9,53.3,271.160,1.517.000
"February, 2014","7,8  0,1 (1,3%)",82.0,72.0,77.0,76.0,78.0,76.0,78.0,77.2,75.6,163.830,1.264.192
"March, 2014","8,1  -0,3 (-3,57%)",89.0,79.0,84.0,82.0,89.0,81.0,81.0,84.3,78.5,430.480,3.630.209
"April, 2014","7,4  0 (0%)",79.0,69.0,74.0,73.0,74.0,73.0,74.0,73.1,71.7,48.5,354.771
"May, 2014","6,3  -0,3 (-4,55%)",7.0,62.0,66.0,64.0,65.0,63.0,63.0,63.5,61.0,145.34,923.000
"June, 2014","6,7  -0,1 (-1,47%)",72.0,64.0,68.0,69.0,69.0,67.0,67.0,67.3,64.9,5.89,40.000
"July, 2014","6,5  0 (0%)",69.0,61.0,65.0,65.0,65.0,63.0,65.0,64.3,63.0,55.74,358.000
"August, 2014","6,5  0,2 (3,17%)",67.0,59.0,63.0,64.0,66.0,63.0,65.0,64.3,63.0,724.620,4.659.000
"September, 2014","6,5  0,1 (1,56%)",68.0,6.0,64.0,66.0,68.0,64.0,65.0,66.0,63.0,1.669.430,11.010.000
"October, 2014","5,6  0,1 (1,82%)",58.0,52.0,55.0,55.0,57.0,53.0,56.0,55.4,54.3,160.47,889.000
"November, 2014","5,6  0,1 (1,82%)",58.0,52.0,55.0,56.0,57.0,55.0,56.0,55.4,54.3,894.110,4.954.000
"December, 2014","5,2  0 (0%)",55.0,49.0,52.0,53.0,54.0,52.0,52.0,52.6,50.4,237.8,1.252.000
"January, 2015","4,7  -0,2 (-4,08%)",52.0,46.0,49.0,49.0,49.0,47.0,47.0,47.2,45.5,287.0,1.355.000
"February, 2015","4,5  0 (0%)",48.0,42.0,45.0,46.0,46.0,43.0,45.0,43.6,43.6,201.16,876.0
"March, 2015","4,1  0,1 (2,5%)",42.0,38.0,4.0,39.0,41.0,39.0,41.0,40.1,39.7,67.62,271.0
