Date,Changes,Max,Min,Reference Price,Open,High,Low,Close,Average,Adjusted Close,KLGD,GTGD
"January, 2021","19,6  1,25 (6,81%)",19.6,17.1,18.35,19.6,19.6,18.6,19.6,19.52,0.0,7.256.500,139.102.850
"February, 2021","20,9  0 (0%)",22.35,19.45,20.9,20.45,20.9,20.45,20.9,20.61,0.0,2.472.825,50.894.398
"March, 2021","24,15  0,05 (0,21%)",25.75,22.45,24.1,24.2,24.3,24.05,24.15,24.19,0.0,2.303.700,55.729.000
"April, 2021","23,5  0,15 (0,64%)",24.95,21.75,23.35,23.75,23.75,23.45,23.5,23.59,0.0,2.162.700,51.021.000
"May, 2021","28,85  0,65 (2,3%)",30.15,26.25,28.2,28.45,28.85,27.2,28.85,28.17,0.0,7.093.000,199.798.000
"June, 2021","30,7  -0,35 (-1,13%)",33.2,28.9,31.05,31.1,31.15,30.6,30.7,30.82,0.0,3.046.000,93.887.000
"July, 2021","30  -0,4 (-1,32%)",32.5,28.3,30.4,30.2,30.5,29.9,30.0,30.130000000000003,0.0,5.599.900,168.722.000
"August, 2021","22,65  -0,25 (-1,09%)",24.5,21.3,22.9,23.2,23.2,22.5,22.65,22.77,0.0,1.163.400,26.488.000
"September, 2021","23,9  0,1 (0,42%)",25.45,22.15,23.8,24.0,24.5,23.6,23.9,24.11,0.0,2.307.100,55.621.000
"October, 2021","26,6  -0,3 (-1,12%)",28.75,25.05,26.9,27.0,27.1,26.5,26.6,26.73,0.0,4.241.100,113.349.000
"November, 2021","27,9  -1,6 (-5,42%)",31.55,27.45,29.5,30.0,30.0,27.5,27.9,28.74,0.0,13.930.900,400.335.000
"December, 2021","27,3  0,7 (2,63%)",28.45,24.75,26.6,26.8,28.0,26.8,27.3,27.49,0.0,6.445.800,177.178.000
