Date,Changes,Max,Min,Reference Price,Open,High,Low,Close,Average,Adjusted Close,KLGD,GTGD
"January, 2014","8,3  -0,1 (-1,19%)",89.0,79.0,84.0,83.0,86.0,83.0,83.0,84.0,85.2,3.080.710,25.893.000
"February, 2014","12,9  0,3 (2,38%)",13.4,11.8,12.6,12.7,13.0,12.5,12.9,12.7,13.24,1.794.120,22.790.081
"March, 2014","13,1  -0,4 (-2,96%)",14.4,12.6,13.5,13.6,13.7,13.0,13.1,13.3,13.45,4.181.690,55.607.279
"April, 2014","10,9  0 (0%)",11.6,10.2,10.9,10.9,11.1,10.7,10.9,10.86,11.19,1.255.230,13.661.817
"May, 2014","10,5  0,1 (0,96%)",11.1,97.0,10.4,10.5,10.8,10.3,10.5,10.55,10.78,1.772.020,18.922.000
"June, 2014","10,8  0 (0%)",11.5,10.1,10.8,10.8,11.0,10.8,10.8,10.84,11.09,729.710,7.909.000
"July, 2014","10,7  0,1 (0,94%)",11.3,99.0,10.6,10.6,10.8,10.5,10.7,10.66,10.98,858.950,9.155.000
"August, 2014","11,8  0 (0%)",12.6,11.0,11.8,11.8,12.0,11.7,11.8,11.8,12.11,2.934.880,34.625.000
"September, 2014","12,2  0,3 (2,52%)",12.7,11.1,11.9,11.9,12.3,11.8,12.2,12.18,12.52,7.096.290,86.457.000
"October, 2014","9,8  0,2 (2,08%)",10.2,9.0,96.0,96.0,99.0,95.0,98.0,97.1,10.06,7.267.800,70.574.000
"November, 2014","8,4  0,3 (3,7%)",86.0,76.0,81.0,82.0,85.0,82.0,84.0,83.3,86.2,6.751.080,56.267.000
"December, 2014","7,1  0,4 (5,97%)",71.0,63.0,67.0,69.0,71.0,69.0,71.0,70.9,72.9,10.695.620,75.813.000
"January, 2015","6,1  -0,2 (-3,17%)",67.0,59.0,63.0,62.0,63.0,6.0,61.0,61.2,62.6,3.269.810,20.026.000
"February, 2015","5,7  -0,2 (-3,39%)",63.0,55.0,59.0,59.0,59.0,56.0,57.0,57.7,58.5,4.285.050,24.758.000
"March, 2015","4,6  0 (0%)",49.0,43.0,46.0,47.0,48.0,46.0,46.0,46.4,47.2,4.323.770,20.067.000
"April, 2015","4  -0,2 (-4,76%)",44.0,4.0,42.0,4.0,4.0,4.0,4.0,4.0,41.1,675.700,2.703.000
"May, 2015","2,8  0,1 (3,7%)",28.0,26.0,27.0,28.0,28.0,27.0,28.0,27.9,28.7,14.387.930,40.082.000
"June, 2015","2,7  0 (0%)",28.0,26.0,27.0,26.0,28.0,26.0,27.0,26.7,27.7,9.028.420,24.073.000
"July, 2015","2,5  0 (0%)",26.0,24.0,25.0,26.0,26.0,25.0,25.0,25.5,25.7,1.516.570,3.868.000
"August, 2015","2,7  0,1 (3,85%)",27.0,25.0,26.0,26.0,27.0,25.0,27.0,27.0,31.4,8.077.640,21.806.000
"September, 2015","2,4  0 (0%)",25.0,23.0,24.0,24.0,25.0,24.0,24.0,24.2,28.0,420.060,1.015.000
"October, 2015","2,9  0,1 (3,57%)",29.0,27.0,28.0,29.0,29.0,29.0,29.0,29.0,32.4,758.510,2.200.000
"November, 2015","4  -0,2 (-4,76%)",44.0,4.0,42.0,42.0,43.0,4.0,4.0,40.6,44.7,2.572.520,10.438.000
"December, 2015","4,4  -0,2 (-4,35%)",47.0,41.0,46.0,46.0,47.0,44.0,44.0,44.7,58.1,6.341.640,28.364.000
"January, 2016","3,4  0,1 (3,03%)",35.0,31.0,33.0,34.0,35.0,34.0,34.0,34.2,43.0,2.671.100,9.128.000
"February, 2016","3,4  -0,2 (-5,56%)",38.0,34.0,36.0,34.0,36.0,34.0,34.0,34.7,43.0,1.974.170,6.846.000
"March, 2016","3,3  -0,1 (-2,94%)",36.0,32.0,34.0,34.0,35.0,33.0,33.0,33.9,38.3,2.754.430,9.329.000
"April, 2016",3  0 (0%),32.0,28.0,3.0,3.0,31.0,3.0,3.0,30.4,33.7,667.810,2.028.000
"May, 2016","2,9  0 (0%)",32.0,28.0,29.0,29.0,3.0,29.0,29.0,29.0,32.6,2.332.610,6.772.000
"June, 2016","2,7  -0,1 (-3,57%)",29.0,27.0,28.0,27.0,28.0,27.0,27.0,27.1,30.4,784.400,2.126.000
"July, 2016","2,3  0 (0%)",24.0,22.0,23.0,23.0,24.0,22.0,23.0,23.0,25.0,536.610,1.233.000
"August, 2016","1,7  0,1 (6,25%)",17.0,15.0,16.0,16.0,17.0,16.0,17.0,16.3,18.6,255.520,417.000
"September, 2016","1,44  0,08 (5,88%)",14.5,12.7,13.6,13.7,14.5,13.5,14.4,14.1,14.8,1.440.950,2.032.000
"October, 2016","1,34  -0,05 (-3,6%)",14.8,13.0,13.9,14.1,14.3,13.1,13.4,13.6,13.7,3.954.100,5.394.000
"November, 2016","1,25  0,01 (0,81%)",13.2,11.6,12.4,12.5,12.6,12.4,12.5,12.4,12.5,981.900,1.204.800
"December, 2016","1,27  -0,06 (-4,51%)",14.2,12.4,13.3,13.1,13.3,12.7,12.7,13.0,12.7,2.633.460,3.432.000
"January, 2017","1,34  -0,1 (-6,94%)",15.4,13.4,14.4,14.5,14.6,13.4,13.4,13.8,13.6,6.766.650,9.337.000
"February, 2017","1,42  0,02 (1,43%)",14.9,13.1,14.0,14.0,14.6,14.0,14.2,14.3,14.5,3.491.320,4.984.000
"March, 2017","1,33  -0,01 (-0,75%)",14.3,12.5,13.4,13.3,13.4,13.1,13.3,13.2,13.3,1.656.900,2.181.000
"April, 2017","1,33  0,08 (6,4%)",13.3,11.7,12.5,13.3,13.3,13.0,13.3,13.3,13.3,6.687.020,8.881.000
"May, 2017","1,35  -0,01 (-0,74%)",14.5,12.7,13.6,13.5,13.7,13.0,13.5,13.4,13.5,2.616.230,3.501.000
"June, 2017","2,12  0,13 (6,53%)",21.2,18.6,19.9,20.4,21.2,2.0,21.2,21.0,21.3,5.973.560,12.524.000
"July, 2017","2,2  -0,08 (-3,51%)",24.3,21.3,22.8,21.3,22.8,21.3,22.0,21.5,22.1,20.355.710,43.834.000
