Date,Changes,Max,Min,Reference Price,Open,High,Low,Close,Average,Adjusted Close,KLGD,GTGD
"January, 2014",38  -2 (-5%),42.8,37.2,40.0,38.0,38.0,38.0,38.0,38.0,17.240000000000002,310.0,12.0
"February, 2014","64,5  0,5 (0,78%)",68.0,60.0,64.0,63.0,64.5,63.0,64.5,63.17999999999999,19.04,900.0,56.86
"March, 2014","65  1 (1,56%)",68.0,60.0,64.0,63.0,65.0,63.0,65.0,64.0,19.19,15.83,1.013.130
"April, 2014","68  1 (1,49%)",71.5,62.5,67.0,65.0,69.0,65.0,68.0,67.03999999999999,20.07,230.0,15.42
"May, 2014","62,5  -0,5 (-0,79%)",67.0,59.0,63.0,62.0,63.0,62.0,62.5,62.59,18.9,2.31,145.0
"June, 2014","62,5  0 (0%)",66.5,58.5,62.5,62.5,62.5,62.5,62.5,62.5,18.9,520.0,33.000
"July, 2014","62,5  0 (0%)",66.5,58.5,62.5,62.0,62.5,62.0,62.5,62.05,18.9,880.0,55.0
"August, 2014",61  0 (0%),65.0,57.0,61.0,61.0,61.0,61.0,61.0,61.0,18.45,4.0,244.000
"September, 2014","60,5  -1,5 (-2,42%)",66.0,58.0,62.0,60.5,60.5,60.5,60.5,60.5,18.3,200.0,12.000
"October, 2014",60  0 (0%),64.0,56.0,60.0,60.0,60.0,60.0,60.0,60.0,18.15,920.0,55.000
"November, 2014","40  0,5 (1,27%)",42.2,36.8,39.5,39.5,40.0,39.5,40.0,39.91,18.15,220.0,9.0
"December, 2014","38,9  0,2 (0,52%)",41.4,36.0,38.7,38.7,39.0,38.7,38.9,38.94,18.15,25.57,996.000
"January, 2015","39  0,5 (1,3%)",41.1,35.9,38.5,39.0,39.0,39.0,39.0,39.0,18.2,10.0,24.000
"February, 2015",39  0 (0%),41.7,36.3,39.0,38.5,39.0,38.5,39.0,38.53,18.2,940.0,36.0
"March, 2015",37  0 (0%),39.5,34.5,37.0,36.9,37.0,36.9,37.0,37.0,17.27,1.01,37.0
"April, 2015",37  0 (0%),39.5,34.5,37.0,37.0,37.0,37.0,37.0,37.0,17.27,470.0,17.0
"May, 2015","35,5  0,3 (0,85%)",37.6,32.8,35.2,36.0,36.0,34.5,35.5,34.57,17.03,2.03,70.0
"June, 2015","34,1  0 (0%)",36.4,31.8,34.1,34.1,34.7,34.0,34.1,34.12,16.35,9.05,309.000
"July, 2015","32,8  -0,2 (-0,61%)",35.3,30.7,33.0,33.0,33.0,32.8,32.8,32.86,15.73,4.0,131.000
"August, 2015",32  0 (0%),34.2,29.8,32.0,32.0,32.0,32.0,32.0,32.0,15.06,7.06,226.0
"September, 2015","29,3  -3,8 (-11,48%)",30.4,26.5,33.1,29.7,29.7,29.3,29.3,29.67,16.990000000000002,2.35,70.000
"October, 2015","28,8  0 (0%)",30.8,26.8,28.8,28.6,28.8,28.6,28.8,28.7,16.119999999999997,1.19,34.000
"November, 2015","35  -0,5 (-1,41%)",37.9,33.1,35.5,33.3,35.0,33.2,35.0,33.38,19.59,1.98,66.000
"December, 2015","35  0,1 (0,29%)",37.0,32.2,34.9,35.0,35.0,34.9,35.0,35.0,20.89,20.46,716.000
