Date,Changes,Max,Min,Reference Price,Open,High,Low,Close,Average,Adjusted Close,KLGD,GTGD
"January, 2014","23,4  -0,5 (-2,09%)",25.5,22.3,23.9,23.8,23.8,23.3,23.4,23.48,70.4,23.17,544.000
"February, 2014","23,2  0 (0%)",24.8,21.6,23.2,23.3,23.3,22.8,23.2,23.02,65.7,86.07,1.981.252
"March, 2014","23,2  0 (0%)",24.8,21.6,23.2,23.0,23.3,23.0,23.2,23.01,65.7,15.31,352.265
"April, 2014","23,1  0,9 (4,05%)",23.7,20.7,22.2,23.0,23.1,22.2,23.1,22.98,65.4,19.06,437.961
"May, 2014","22  0,5 (2,33%)",23.0,20.0,21.5,22.2,22.2,21.6,22.0,21.77,63.9,3.65,79.000
"June, 2014","21,7  0 (0%)",23.2,20.2,21.7,21.7,21.7,21.6,21.7,21.64,63.0,14.27,309.000
"July, 2014","23,3  -0,2 (-0,85%)",25.1,21.9,23.5,23.4,23.4,23.3,23.3,23.36,67.7,11.87,277.0
"August, 2014","23,1  0,1 (0,43%)",24.6,21.4,23.0,23.0,23.2,23.0,23.1,23.14,69.5,13.76,318.0
"September, 2014","24  0,5 (2,13%)",25.1,21.9,23.5,24.0,24.0,23.7,24.0,23.91,72.2,12.39,296.000
"October, 2014","23,9  0 (0%)",25.5,22.3,23.9,25.0,25.0,23.5,23.9,23.61,71.9,6.52,154.000
"November, 2014","23,9  0,3 (1,27%)",25.2,22.0,23.6,23.6,23.9,23.1,23.9,23.48,71.9,15.51,364.000
"December, 2014","22,6  -0,4 (-1,74%)",24.6,21.4,23.0,23.0,23.0,22.6,22.6,22.99,7.0,140.17,3.222.000
"January, 2015","24,8  0,2 (0,81%)",26.3,22.9,24.6,23.7,24.8,23.7,24.8,23.87,76.8,460.0,11.0
"February, 2015","23,9  0 (0%)",25.5,22.3,23.9,24.0,24.1,23.9,23.9,23.99,74.0,3.38,81.0
"March, 2015","26,2  0 (0%)",28.0,24.4,26.2,26.4,26.6,26.2,26.2,26.39,81.1,53.25,1.405.000
"April, 2015","28,8  0,1 (0,35%)",30.7,26.7,28.7,28.4,28.8,28.4,28.8,28.57,89.2,76.68,2.191.000
"May, 2015","24,2  -5 (-17,12%)",25.7,22.4,29.2,24.9,24.9,24.0,24.2,24.41,91.0,148.24,3.618.000
"June, 2015","26,5  0 (0%)",28.3,24.7,26.5,26.8,26.8,26.2,26.5,26.45,99.6,25.14,665.000
"July, 2015","27,3  -0,3 (-1,09%)",29.5,25.7,27.6,27.5,27.6,27.3,27.3,27.44,10.26,37.69,1.034.000
"August, 2015","25,2  -0,3 (-1,18%)",27.2,23.8,25.5,26.0,26.0,25.2,25.2,25.23,99.4,3.53,89.000
