Date,Changes,Max,Min,Reference Price,Open,High,Low,Close,Average,Adjusted Close,KLGD,GTGD
"January, 2016","37,2  0,7 (1,92%)",39.05,33.95,36.5,36.45,37.8,36.45,37.2,37.14,20.95,275.91,10.186.000
"February, 2016","37  -0,2 (-0,54%)",39.8,34.6,37.2,37.2,37.6,36.9,37.0,37.04,20.84,299.53,11.048.000
"March, 2016",,,,,,,,,,,,
"April, 2016",,,,,,,,,,,,
"May, 2016","36,6  -0,4 (-1,08%)",39.55,34.45,37.0,37.0,37.1,36.4,36.6,36.56,20.61,406.86,14.834.000
"June, 2016","36,8  0,2 (0,55%)",39.15,34.05,36.6,36.4,36.8,36.1,36.8,36.58,20.73,295.94,10.775.000
"July, 2016","37  0,2 (0,54%)",39.35,34.25,36.8,36.2,37.2,36.2,37.0,36.94,20.84,244.12,8.912.000
"August, 2016","36,6  -0,4 (-1,08%)",39.55,34.45,37.0,37.1,37.45,36.6,36.6,36.95,20.61,103.49,3.775.000
"September, 2016","36,6  0 (0%)",39.15,34.05,36.6,36.6,37.0,36.4,36.6,36.52,20.61,169.51,6.142.000
"October, 2016",,,,,,,,,,,,
"November, 2016","36,5  0,4 (1,11%)",38.6,33.6,36.1,36.0,36.65,36.0,36.5,36.22,20.56,395.96,14.306.000
"December, 2016","36  -0,4 (-1,1%)",38.9,33.9,36.4,36.5,36.7,36.0,36.0,36.14,20.28,92.09,3.328.000
"January, 2017","35,7  0,5 (1,42%)",37.65,32.75,35.2,35.2,35.8,35.1,35.7,35.38,19.44,10.78,381.000
"February, 2017","36,8  1,4 (3,95%)",37.85,32.95,35.4,35.4,37.0,35.4,36.8,36.11,20.04,435.86,15.366.000
"March, 2017","38,3  -1,5 (-3,77%)",42.55,37.05,39.8,39.8,39.8,38.2,38.3,38.69,21.12,347.9,13.447.000
"April, 2017","37,75  -0,25 (-0,66%)",40.65,35.35,38.0,37.6,38.0,37.6,37.75,37.92,20.82,29.22,1.108.000
"May, 2017","41,1  -1 (-2,38%)",45.0,39.2,42.1,42.0,42.0,41.1,41.1,41.4,22.67,29.9,1.238.000
"June, 2017","36  0,7 (1,98%)",37.75,32.85,35.3,35.3,36.7,35.0,36.0,35.980000000000004,25.81,253.2,9.110.000
"July, 2017",35  0 (0%),37.45,32.55,35.0,35.0,35.0,34.8,35.0,34.980000000000004,25.09,82.14,2.873.000
"August, 2017","34,8  -0,75 (-2,11%)",38.0,33.1,35.55,35.8,35.8,34.0,34.8,34.87,24.95,26.21,914.000
"September, 2017","35,35  0,65 (1,87%)",37.1,32.3,34.7,34.4,36.8,34.1,35.35,35.239999999999995,25.34,443.670,15.107.000
"October, 2017","33,3  -0,1 (-0,3%)",35.7,31.1,33.4,33.0,33.3,32.2,33.3,32.730000000000004,23.87,288.25,9.434.000
"November, 2017","37,45  0,45 (1,22%)",39.55,34.45,37.0,36.5,37.9,36.5,37.45,37.27,26.85,227.2,8.468.000
"December, 2017","38,6  -0,3 (-0,77%)",41.6,36.2,38.9,39.0,39.0,38.2,38.6,38.59,27.67,42.47,1.639.000
"January, 2018","36,5  -0,45 (-1,22%)",39.5,34.4,36.95,36.6,37.0,36.5,36.5,36.67,26.17,78.7,2.886.000
"February, 2018","34,9  0 (0%)",37.3,32.5,34.9,34.1,34.95,34.0,34.9,34.52,25.02,122.68,4.359.000
"March, 2018","32,9  0,3 (0,92%)",34.85,30.35,32.6,32.55,33.0,32.45,32.9,32.510000000000005,23.59,29.22,950.000
"April, 2018","32,3  -0,1 (-0,31%)",34.65,30.15,32.4,32.2,32.4,31.5,32.3,31.77,23.16,31.92,1.014.000
"May, 2018","28,8  0 (0%)",30.8,26.8,28.8,29.9,29.9,28.6,28.8,28.81,20.65,45.06,1.298.000
"June, 2018","32,3  0 (0%)",34.55,30.05,32.3,32.5,32.6,32.2,32.3,32.33,23.16,91.01,2.942.000
"July, 2018","32,6  0,3 (0,93%)",34.55,30.05,32.3,33.5,33.5,32.1,32.6,32.43,23.37,135.81,4.404.500
"August, 2018","25,1  0,25 (1,01%)",26.55,23.15,24.85,25.2,25.25,24.9,25.1,25.08,20.69,150.69,3.780.000
"September, 2018","28,5  0 (0%)",30.45,26.55,28.5,28.5,28.85,28.4,28.5,28.52,23.49,142.46,4.063.000
"October, 2018","23,45  0,55 (2,4%)",24.5,21.3,22.9,23.2,23.75,22.3,23.45,22.67,19.33,2.801.250,65.182.000
"November, 2018","22,5  0,1 (0,45%)",23.95,20.85,22.4,22.4,22.5,22.2,22.5,22.35,18.55,422.88,9.588.000
"December, 2018","24,8  0,25 (1,02%)",26.25,22.85,24.55,24.55,24.8,24.2,24.8,24.69,20.44,812.74,20.041.500
"January, 2019","24,1  0,65 (2,77%)",25.05,21.85,23.45,23.5,24.2,23.5,24.1,23.99,20.31,378.41,9.077.000
"February, 2019","23,8  -0,1 (-0,42%)",25.55,22.25,23.9,23.75,23.9,23.65,23.8,23.76,20.06,156.27,3.713.000
"March, 2019","23,5  0,55 (2,4%)",24.55,21.35,22.95,23.1,24.2,23.1,23.5,23.75,19.8,407.18199999999996,9.607.077
"April, 2019","23,75  0,05 (0,21%)",25.35,22.05,23.7,23.85,23.85,23.5,23.75,23.66,20.02,27.18,643.000
"May, 2019","22,8  -0,85 (-3,59%)",25.3,22.0,23.65,23.25,23.65,22.8,22.8,23.25,19.21,207.29,4.819.000
"June, 2019","18,3  -0,45 (-2,4%)",20.05,17.45,18.75,19.0,19.1,18.3,18.3,18.7,18.51,49.99,935.000
"July, 2019","16,65  -0,35 (-2,06%)",18.15,15.85,17.0,17.0,17.0,16.5,16.65,16.7,16.84,128.08,2.139.000
"August, 2019","18,1  0,55 (3,13%)",18.75,16.35,17.55,17.55,18.3,17.55,18.1,18.02,18.3,374.19,6.743.600
"September, 2019","20,15  -0,75 (-3,59%)",22.35,19.45,20.9,20.9,20.9,20.1,20.15,20.28,20.380000000000003,406.15,8.235.000
"October, 2019","19,2  -0,25 (-1,29%)",20.8,18.1,19.45,19.45,19.45,19.2,19.2,19.26,19.42,112.59,2.168.000
"November, 2019","18,2  0 (0%)",19.45,16.95,18.2,18.15,18.3,18.0,18.2,18.12,18.41,120.05,2.175.000
"December, 2019","17,5  -0,2 (-1,13%)",18.9,16.5,17.7,17.7,17.7,17.45,17.5,17.61,17.7,53.88,909.800
"January, 2020","16,8  -1 (-5,62%)",19.0,16.6,17.8,17.95,17.95,16.8,16.8,17.28,16.75,207.96,3.594.000
"February, 2020","14,35  -0,15 (-1,03%)",15.5,13.5,14.5,14.4,14.4,14.05,14.35,14.26,14.31,746.100,10.639.000
"March, 2020","10,1  -0,35 (-3,35%)",11.15,97.2,10.45,10.4,10.8,10.0,10.1,10.25,10.09,365.250,3.742.000
"April, 2020","14,1  -0,2 (-1,4%)",15.3,13.3,14.3,14.25,14.4,14.0,14.1,14.12,14.1,181.480,2.562.000
"May, 2020","17,3  0,1 (0,58%)",18.4,16.0,17.2,17.2,17.7,17.15,17.3,17.419999999999998,17.3,2.711.690,48.394.648
"June, 2020","16,75  -0,05 (-0,3%)",17.95,15.65,16.8,16.8,17.2,16.65,16.75,16.72,0.0,191.870,3.209.000
"July, 2020","17  -0,1 (-0,58%)",18.25,15.95,17.1,16.2,17.35,16.2,17.0,17.07,0.0,302.580,5.165.000
"August, 2020","19,2  -0,3 (-1,54%)",20.85,18.15,19.5,19.5,19.85,19.2,19.2,19.33,0.0,490.190,9.475.000
"September, 2020","21,25  0,05 (0,24%)",22.65,19.75,21.2,21.1,21.3,20.9,21.25,21.17,0.0,143.3,3.033.000
"October, 2020","21,7  0,15 (0,7%)",23.05,20.05,21.55,21.55,21.85,21.55,21.7,21.67,0.0,141.010,3.055.000
"November, 2020","25,7  -0,05 (-0,19%)",27.55,23.95,25.75,26.0,26.35,25.7,25.7,25.85,0.0,364.88,9.433.000
"December, 2020","22,25  0,2 (0,91%)",23.55,20.55,22.05,22.1,22.3,22.0,22.25,22.130000000000003,0.0,217.260,4.808.000
"January, 2021","22,85  1,45 (6,78%)",22.85,19.95,21.4,19.95,22.85,19.95,22.85,20.59,0.0,2.033.900,41.887.000
"February, 2021","27,9  1,8 (6,9%)",27.9,24.3,26.1,25.8,27.9,25.7,27.9,27.73,0.0,2.667.200,73.971.000
"March, 2021","28  -0,2 (-0,71%)",30.15,26.25,28.2,28.2,28.2,27.8,28.0,27.97,0.0,324.6,9.078.000
"April, 2021","26  -0,2 (-0,76%)",28.0,24.4,26.2,26.75,26.75,25.5,26.0,26.19,0.0,501.0,13.121.000
"May, 2021","27,6  1,3 (4,94%)",28.1,24.5,26.3,26.3,27.9,26.3,27.6,27.23,0.0,922.800,25.125.000
"June, 2021","26,5  -0,35 (-1,3%)",28.7,25.0,26.85,26.7,26.85,26.4,26.5,26.55,0.0,344.100,9.135.000
"July, 2021","26,85  -0,05 (-0,19%)",28.75,25.05,26.9,27.0,27.1,26.2,26.85,26.89,0.0,609.100,16.380.000
"August, 2021","34,7  0,1 (0,29%)",37.0,32.2,34.6,34.5,35.5,34.0,34.7,34.9,0.0,3.111.100,108.583.000
"September, 2021","38,7  1,1 (2,93%)",40.2,35.0,37.6,38.0,38.95,37.6,38.7,38.35,0.0,2.903.800,111.350.000
"October, 2021","41,75  -0,55 (-1,3%)",45.25,39.35,42.3,42.3,42.55,41.4,41.75,41.87,0.0,2.187.000,91.569.000
"November, 2021","37,9  -0,4 (-1,04%)",40.95,35.65,38.3,38.95,39.5,37.85,37.9,38.7,0.0,2.225.800,86.143.000
"December, 2021","39,35  -0,3 (-0,76%)",42.4,36.9,39.65,39.35,39.8,38.5,39.35,39.2,0.0,1.315.000,51.553.000
