Date,Changes,Max,Min,Reference Price,Open,High,Low,Close,Average,Adjusted Close,KLGD,GTGD
"January, 2014","34,4  0 (0%)",36.8,32.0,34.4,0.0,0.0,0.0,34.4,0.0,12.75,1.36,46.0
"February, 2014","35,9  -0,6 (-1,64%)",39.0,34.0,36.5,35.0,36.0,35.0,35.9,35.05,86.0,2.98,104.437
"March, 2014","35,9  0 (0%)",38.4,33.4,35.9,34.8,35.9,34.8,35.9,34.86,86.0,2.01,70.059
"April, 2014","40,9  0 (0%)",43.7,38.1,40.9,41.6,41.6,40.1,40.9,40.8,98.0,1.36,55.493
"May, 2014","41,5  2,5 (6,41%)",41.7,36.3,39.0,39.5,41.5,39.5,41.5,39.94,99.4,90.0,4.0
"June, 2014","40,1  1,1 (2,82%)",41.7,36.3,39.0,40.7,40.7,37.3,40.1,38.45,99.0,3.42,131.0
"July, 2014","45,4  1 (2,25%)",47.5,41.3,44.4,45.0,45.4,45.0,45.4,45.010000000000005,11.21,2.96,133.0
"August, 2014","31,9  1,5 (4,93%)",32.5,28.3,30.4,31.9,31.9,31.9,31.9,31.9,11.82,10.0,177.0
"September, 2014","35,5  0 (0%)",37.9,33.1,35.5,34.0,35.5,34.0,35.5,34.18,13.16,1.22,42.0
"October, 2014","35,6  -0,3 (-0,84%)",38.4,33.4,35.9,37.0,37.0,34.0,35.6,34.239999999999995,13.2,1.53,52.0
"November, 2014","34,4  -0,1 (-0,29%)",36.9,32.1,34.5,35.5,36.0,34.0,34.4,34.410000000000004,12.75,5.05,174.0
"December, 2014","35,1  1,1 (3,24%)",36.3,31.7,34.0,35.1,35.1,35.1,35.1,35.1,13.01,10.0,94.000
"January, 2015","35  1,7 (5,11%)",35.6,31.0,33.3,34.5,35.0,33.9,35.0,34.13,12.97,250.0,9.0
"February, 2015",35  0 (0%),37.4,32.6,35.0,35.0,35.0,34.0,35.0,34.15,14.16,130.0,4.0
"March, 2015","36,5  1 (2,82%)",37.9,33.1,35.5,35.4,37.5,35.0,36.5,35.239999999999995,14.77,3.73,131.000
"April, 2015","43,5  2 (4,82%)",44.4,38.6,41.5,41.5,44.0,40.0,43.5,40.74,17.6,3.14,128.0
"May, 2015","43,8  2,8 (6,83%)",43.8,38.2,41.0,42.7,43.8,38.2,43.8,38.78,17.72,8.23,319.0
"June, 2015","37,8  2,3 (6,48%)",37.9,33.1,35.5,37.7,37.8,37.7,37.8,37.75,15.57,60.0,2.0
"July, 2015","37,5  1,6 (4,46%)",38.4,33.4,35.9,35.9,37.5,35.9,37.5,36.31,15.44,210.0,8.000
"August, 2015","39  2,2 (5,98%)",39.3,34.3,36.8,35.0,39.0,35.0,39.0,37.11,15.71,1.93,72.0
"September, 2015","36,8  -0,1 (-0,27%)",39.4,34.4,36.9,35.2,36.8,35.1,36.8,36.38,15.47,310.0,11.0
"October, 2015","39,9  0,1 (0,25%)",42.5,37.1,39.8,37.5,39.9,37.1,39.9,38.09,17.68,1.66,63.0
"November, 2015","39,5  0 (0%)",42.2,36.8,39.5,39.5,39.5,39.5,39.5,39.5,17.509999999999998,50.0,2.0
"December, 2015","37,8  -0,2 (-0,53%)",40.7,35.5,38.0,38.0,38.0,37.8,37.8,37.81,16.1,400.0,15.0
"January, 2016","38,5  0,9 (2,39%)",40.2,35.0,37.6,38.6,38.6,36.0,38.5,37.87,16.71,300.0,11.0
"February, 2016","41  0,1 (0,24%)",43.7,38.1,40.9,41.0,41.0,41.0,41.0,41.0,17.8,150.0,6.000
"March, 2016","40,8  0,7 (1,75%)",42.9,37.3,40.1,40.6,41.0,40.1,40.8,40.37,17.619999999999997,10.15,410.0
"April, 2016","40,9  0,4 (0,99%)",43.3,37.7,40.5,41.0,41.0,40.5,40.9,40.84,18.15,50.0,2.0
"May, 2016","42,1  -0,1 (-0,24%)",42.9,37.3,42.2,42.1,42.1,39.3,42.1,42.06,19.77,1.11,47.0
"June, 2016","46,8  0 (0%)",50.0,43.6,46.8,46.8,46.8,46.8,46.8,46.8,21.37,50.0,2.0
"July, 2016","62  3 (5,08%)",63.0,55.0,59.0,59.0,62.0,59.0,62.0,59.79,27.9,1.0,60.0
"August, 2016",59  0 (0%),63.0,55.0,59.0,59.0,59.0,59.0,59.0,59.0,25.48,150.0,9.000
"September, 2016","56,9  1 (1,79%)",59.8,52.0,55.9,56.4,56.9,56.4,56.9,56.71,24.36,190.0,11.0
"October, 2016",59  0 (0%),63.1,54.9,59.0,57.0,59.0,57.0,59.0,57.03,27.130000000000003,2.14,122.0
"November, 2016","60,8  0,4 (0,66%)",64.6,56.2,60.4,60.8,60.8,60.8,60.8,60.8,28.1,50.0,3.0
"December, 2016","58,4  0 (0%)",62.4,54.4,58.4,58.4,58.4,58.4,58.4,58.4,26.99,100.0,6.0
"January, 2017","66,2  4,2 (6,77%)",66.3,57.7,62.0,63.0,66.3,61.0,66.2,63.14,32.13,1.65,104.0
"February, 2017","60  0,1 (0,17%)",64.0,55.8,59.9,60.9,60.9,58.0,60.0,59.0,29.610000000000003,240.0,14.000
"March, 2017","59,7  0,2 (0,34%)",63.6,55.4,59.5,59.7,59.7,59.7,59.7,59.7,29.46,30.0,2.0
"April, 2017","83  5,1 (6,55%)",83.3,72.5,77.9,72.5,83.0,72.5,83.0,73.85,40.96,5.43,401.0
"May, 2017",72  0 (0%),77.0,67.0,72.0,72.0,72.0,72.0,72.0,72.0,36.31,500.0,36.0
"June, 2017","76  4 (5,56%)",77.0,67.0,72.0,77.0,77.0,76.0,76.0,76.92,38.33,260.0,20.0
"July, 2017","87,8  0 (0%)",93.9,81.7,87.8,0.0,0.0,0.0,87.8,0.0,44.28,3.28,270.0
"August, 2017","86,2  0,2 (0,23%)",92.0,80.0,86.0,89.0,89.0,86.2,86.2,85.71000000000001,43.47,140.0,12.0
"September, 2017",94  0 (0%),10.05,87.5,94.0,94.0,94.0,94.0,94.0,94.37,47.4,710.0,67.0
"October, 2017","91  -4,3 (-4,51%)",10.19,88.7,95.3,95.3,95.3,88.8,91.0,90.12,45.89,810.0,73.000
"November, 2017","101,7  0 (0%)",10.88,94.6,10.17,10.17,10.17,10.17,10.17,10.25,51.29,400.0,41.0
"December, 2017","91,3  -0,1 (-0,11%)",97.7,85.1,91.4,92.6,92.6,91.1,91.3,91.6,46.04,1.31,120.0
"January, 2018","91  5 (5,81%)",92.0,80.0,86.0,85.9,91.0,85.9,91.0,89.52000000000001,46.67,3.53,316.0
"February, 2018","89,6  -0,2 (-0,22%)",96.0,83.6,89.8,87.4,89.6,87.4,89.6,88.0,45.95,1.25,110.0
"March, 2018","87,6  0 (0%)",93.7,81.5,87.6,87.6,87.6,87.6,87.6,86.67,44.92,300.0,26.000
"April, 2018","73,7  -1,3 (-1,73%)",80.2,69.8,75.0,73.7,73.7,73.7,73.7,100.0,37.8,10.0,1.0
"May, 2018","70  1 (1,45%)",73.8,64.2,69.0,69.9,70.0,69.9,70.0,66.67,35.9,90.0,6.000
"June, 2018","68,6  0,1 (0,15%)",73.2,63.8,68.5,68.0,68.6,68.0,68.6,62.5,36.78,80.0,5.000
"July, 2018","68  -3 (-4,23%)",75.9,66.1,71.0,68.1,68.1,68.0,68.0,60.0,36.46,50.0,3.0
"August, 2018","69,9  -0,1 (-0,14%)",74.9,65.1,70.0,69.7,69.9,69.7,69.9,69.77000000000001,37.48,860.0,60.0
"September, 2018","65  -2 (-2,99%)",71.6,62.4,67.0,66.8,66.8,65.0,65.0,66.28999999999999,34.85,890.0,59.000
"October, 2018",63  0 (0%),67.4,58.6,63.0,0.0,0.0,0.0,63.0,0.0,33.78,640.0,42.0
"November, 2018","68,5  4,3 (6,7%)",68.6,59.8,64.2,68.5,68.5,68.5,68.5,100.0,36.73,10.0,1.0
"December, 2018","69  4,4 (6,81%)",69.1,60.1,64.6,65.0,69.0,64.0,69.0,66.67,37.57,150.0,10.0
"January, 2019","73,4  0 (0%)",78.5,68.3,73.4,0.0,0.0,0.0,73.4,0.0,42.41,5.4,396.000
"February, 2019","72,5  -4,7 (-6,09%)",82.6,71.8,77.2,72.5,72.5,72.5,72.5,100.0,41.89,10.0,1.0
"March, 2019","93  3,2 (3,56%)",96.0,83.6,89.8,87.9,93.0,87.9,93.0,91.76,53.74,1.700,156.000
"April, 2019","83  -1,8 (-2,12%)",90.7,78.9,84.8,82.0,84.9,82.0,83.0,82.0,47.96,5.11,419.0
"May, 2019","82  -1 (-1,2%)",88.8,77.2,83.0,82.0,82.0,82.0,82.0,81.25,47.38,320.0,26.0
"June, 2019","103  -1 (-0,96%)",11.12,96.8,10.4,10.4,10.4,96.8,10.3,97.78,59.510000000000005,450.0,44.0
"July, 2019","72,9  1,9 (2,68%)",75.9,66.1,71.0,73.0,73.0,72.9,72.9,66.67,64.47999999999999,60.0,4.0
"August, 2019",74  0 (0%),79.1,68.9,74.0,77.0,77.0,73.0,74.0,72.72999999999999,65.46000000000001,110.0,8.0
"September, 2019","75  -5 (-6,25%)",85.6,74.4,80.0,81.4,81.4,74.4,75.0,77.14,66.34,700.0,54.0
"October, 2019",70  0 (0%),74.9,65.1,70.0,70.1,70.1,69.5,70.0,70.07000000000001,61.92,1.47,103.0
"November, 2019","68,2  0 (0%)",72.9,63.5,68.2,0.0,0.0,0.0,68.2,0.0,60.33,740.0,49.0
"December, 2019","69  4 (6,15%)",69.5,60.5,65.0,63.5,69.0,61.0,69.0,61.29,61.03,310.0,19.0
"January, 2020","65,1  -1,5 (-2,25%)",71.2,62.0,66.6,62.0,65.3,62.0,65.1,63.260000000000005,60.61,4.3,272.000
"February, 2020","58,1  -2,9 (-4,75%)",65.2,56.8,61.0,58.1,58.1,58.1,58.1,56.67,55.4,300.0,17.0
"March, 2020",61  0 (0%),65.2,56.8,61.0,57.0,61.0,57.0,61.0,58.33,61.0,120.0,7.0
"April, 2020","60  -0,5 (-0,83%)",64.7,56.3,60.5,60.0,60.0,60.0,60.0,60.0,60.0,300.0,18.0
"May, 2020","68  -0,5 (-0,73%)",73.2,63.8,68.5,64.1,68.0,64.1,68.0,66.67,68.0,30.0,2.0
