Date,Changes,Max,Min,Reference Price,Open,High,Low,Close,Average,Adjusted Close,KLGD,GTGD
"January, 2014","17,4  0,1 (0,58%)",18.5,16.1,17.3,17.3,17.5,17.1,17.4,17.29,10.9,419.68,7.256.000
"February, 2014","12,8  0,4 (3,23%)",13.2,11.6,12.4,12.5,12.8,12.0,12.8,12.5,80.2,520.0,6.498
"March, 2014","12,8  0 (0%)",13.6,12.0,12.8,12.8,12.8,12.8,12.8,12.8,80.2,100.0,1.28
"April, 2014","11,2  0 (0%)",11.9,10.5,11.2,0.0,0.0,0.0,11.2,0.0,70.2,800.0,8.96
"May, 2014","12  -0,4 (-3,23%)",13.2,11.6,12.4,12.0,12.0,11.7,12.0,11.9,75.2,30.0,1.0
"June, 2014","11,7  0 (0%)",12.5,10.9,11.7,10.9,11.7,10.9,11.7,11.51,73.3,2.7,31.0
"July, 2014","10,4  -0,1 (-0,95%)",11.2,98.0,10.5,10.2,10.4,99.0,10.4,10.25,65.2,41.62,427.0
"August, 2014","13,5  0,6 (4,65%)",13.8,12.0,12.9,12.9,13.5,12.6,13.5,12.99,84.6,344.44,4.474.000
"September, 2014","14,7  0,1 (0,68%)",15.6,13.6,14.6,14.6,14.8,14.4,14.7,14.59,92.1,411.73,6.007.000
"October, 2014","16,5  0,1 (0,61%)",17.5,15.3,16.4,16.4,16.5,16.2,16.5,16.36,10.34,626.460,10.251.000
"November, 2014","17,3  0,2 (1,17%)",18.2,16.0,17.1,17.0,17.3,17.0,17.3,17.09,10.84,511.46,8.740.000
"December, 2014","16,1  0,4 (2,55%)",16.7,14.7,15.7,15.9,16.2,15.8,16.1,15.95,10.09,497.39,7.935.000
"January, 2015","17  -0,1 (-0,58%)",18.2,16.0,17.1,17.1,17.1,16.8,17.0,16.98,10.65,160.540,2.727.000
"February, 2015","17,2  0 (0%)",18.4,16.0,17.2,17.2,17.2,17.0,17.2,17.1,10.78,117.96,2.017.000
"March, 2015","17,8  0 (0%)",19.0,16.6,17.8,17.8,17.9,17.6,17.8,17.71,11.15,315.1,5.580.000
"April, 2015","17,8  0 (0%)",19.0,16.6,17.8,17.7,17.9,17.5,17.8,17.64,11.15,732.460,12.922.000
"May, 2015","18,1  -0,1 (-0,55%)",19.4,17.0,18.2,18.1,18.3,18.1,18.1,18.2,11.34,2.313.350,43.901.000
"June, 2015","19  -0,1 (-0,52%)",20.4,17.8,19.1,19.2,19.3,19.0,19.0,19.1,11.9,1.094.940,20.912.000
"July, 2015","18,8  0,1 (0,53%)",20.0,17.4,18.7,18.6,18.9,17.5,18.8,18.52,14.580000000000002,3.080.740,57.066.000
"August, 2015","16  0,3 (1,91%)",16.7,14.7,15.7,15.7,16.0,15.5,16.0,15.75,12.24,1.239.760,19.526.000
"September, 2015","14,4  0 (0%)",15.4,13.4,14.4,14.4,14.6,14.2,14.4,14.419999999999998,10.8,1.143.970,16.493.000
"October, 2015","12,7  0,6 (4,96%)",12.9,11.3,12.1,12.3,12.9,12.2,12.7,12.57,93.2,561.440,7.055.000
"November, 2015","13,5  0 (0%)",14.4,12.6,13.5,13.5,13.6,13.3,13.5,13.48,99.1,209.480,2.823.000
"December, 2015","13,3  0,1 (0,76%)",14.0,12.2,13.2,13.1,13.4,13.1,13.3,13.26,96.1,558.010,7.399.000
"January, 2016",13  0 (0%),13.9,12.1,13.0,13.0,13.0,12.9,13.0,12.919999999999998,97.6,503.870,6.509.000
"February, 2016","13,1  0 (0%)",14.0,12.2,13.1,13.1,13.2,13.0,13.1,13.1,98.3,562.53,7.367.000
"March, 2016","14,9  0 (0%)",15.9,13.9,14.9,14.9,15.1,14.7,14.9,14.88,11.1,1.040.720,15.491.000
"April, 2016","14,4  0,4 (2,86%)",14.9,13.1,14.0,14.0,14.4,14.0,14.4,14.24,10.66,675.680,9.625.000
"May, 2016","14,9  -0,2 (-1,32%)",16.2,14.2,15.1,14.9,15.0,14.8,14.9,14.89,11.02,450.23,6.705.000
"June, 2016","13,8  -0,2 (-1,43%)",14.9,13.1,14.0,13.8,14.0,13.8,13.8,13.88,98.0,543.640,7.545.000
"July, 2016","12,8  0 (0%)",13.6,12.0,12.8,12.8,12.8,12.7,12.8,12.76,88.9,1.584.780,20.216.000
"August, 2016","12,8  0 (0%)",13.6,12.0,12.8,12.8,12.9,12.7,12.8,12.79,87.5,481.23,6.156.000
"September, 2016","12,85  0,15 (1,18%)",13.55,11.85,12.7,12.7,12.9,12.7,12.85,12.8,86.5,1.000.370,12.802.000
"October, 2016","13,4  0,1 (0,75%)",14.2,12.4,13.3,13.3,13.4,13.1,13.4,13.31,85.3,996.320,13.265.000
"November, 2016","13,5  0,25 (1,89%)",14.15,12.35,13.25,13.25,13.5,12.55,13.5,12.94,85.6,219.130,2.836.000
"December, 2016","13,1  0,1 (0,77%)",13.9,12.1,13.0,13.0,13.1,13.0,13.1,13.03,83.1,1.644.490,20.322.284
"January, 2017","13,8  0,1 (0,73%)",14.65,12.75,13.7,13.6,13.8,13.6,13.8,13.72,87.8,256.390,3.517.000
"February, 2017","14,3  0,05 (0,35%)",15.2,13.3,14.25,14.3,14.4,14.2,14.3,14.3,91.0,1.183.780,16.934.000
"March, 2017","17,65  1,15 (6,97%)",17.65,15.35,16.5,16.8,17.65,16.8,17.65,17.419999999999998,10.63,1.343.460,23.397.000
"April, 2017","25,35  -0,25 (-0,98%)",27.35,23.85,25.6,26.0,26.0,25.35,25.35,25.610000000000003,15.27,475.570,12.181.000
"May, 2017","23,45  -0,5 (-2,09%)",25.6,22.3,23.95,23.7,23.75,23.45,23.45,23.58,15.54,741.630,17.487.000
"June, 2017","27,9  0,2 (0,72%)",29.6,25.8,27.7,27.5,28.05,27.5,27.9,27.84,18.49,890.860,24.805.000
"July, 2017","27,45  -0,1 (-0,36%)",29.45,25.65,27.55,27.25,27.5,27.2,27.45,27.37,18.19,531.130,14.535.000
"August, 2017","28,1  0,65 (2,37%)",29.35,25.55,27.45,27.45,28.15,27.4,28.1,27.78,18.630000000000003,1.542.590,42.853.000
"September, 2017","30,5  0,1 (0,33%)",32.5,28.3,30.4,30.4,30.55,30.3,30.5,30.42,20.22,1.343.710,40.872.000
"October, 2017","31,6  -0,2 (-0,63%)",34.0,29.6,31.8,31.75,31.8,31.6,31.6,31.67,20.95,1.061.330,33.612.000
"November, 2017","35,6  -0,2 (-0,56%)",38.3,33.3,35.8,35.8,35.95,35.6,35.6,35.84,23.6,1.216.880,43.612.000
"December, 2017","35,7  0 (0%)",38.15,33.25,35.7,35.7,35.95,35.6,35.7,35.81,23.66,1.304.610,46.718.000
"January, 2018","39,45  0,45 (1,15%)",41.7,36.3,39.0,39.0,40.2,38.9,39.45,39.43,26.15,2.349.170,92.621.000
"February, 2018","35,5  -0,9 (-2,47%)",38.9,33.9,36.4,36.5,36.5,35.5,35.5,36.18,23.53,1.176.060,42.547.000
"March, 2018","40,8  0,3 (0,74%)",43.3,37.7,40.5,40.5,41.0,40.4,40.8,40.64,27.04,1.247.790,50.716.000
"April, 2018","33,2  -5,75 (-14,76%)",34.7,30.2,38.95,32.5,33.25,32.5,33.2,32.93,26.410000000000004,870.290,28.660.000
"May, 2018","30,1  0,15 (0,5%)",32.0,27.9,29.95,29.8,30.25,29.8,30.1,29.96,23.95,1.448.660,43.408.000
"June, 2018","30,7  0,1 (0,33%)",32.7,28.5,30.6,30.6,30.85,30.4,30.7,30.610000000000003,24.43,632.370,19.356.000
"July, 2018","26,4  0,1 (0,38%)",28.1,24.5,26.3,26.15,26.6,26.0,26.4,26.35,21.0,951.820,25.082.000
"August, 2018","25,5  -0,1 (-0,39%)",27.35,23.85,25.6,25.6,25.95,25.35,25.5,25.65,20.29,1.175.990,30.165.000
