Date,Changes,Max,Min,Reference Price,Open,High,Low,Close,Average,Adjusted Close,KLGD,GTGD
"January, 2014","23,7  0,1 (0,42%)",25.2,22.0,23.6,23.6,24.2,23.6,23.7,23.89,10.24,3.416.080,80.211.000
"February, 2014","22  -0,3 (-1,35%)",23.8,20.8,22.3,22.3,22.4,21.9,22.0,22.12,91.0,712.650,15.760.478
"March, 2014","21,5  -0,2 (-0,92%)",23.2,20.2,21.7,21.6,21.8,21.5,21.5,21.56,88.9,540.830,11.662.849
"April, 2014","17,8  0 (0%)",19.0,16.6,17.8,17.8,17.9,17.6,17.8,17.77,73.6,388.22,6.783.246
"May, 2014","15,6  -0,2 (-1,27%)",16.9,14.7,15.8,15.6,15.8,15.6,15.6,15.66,67.4,319.54,5.004.000
"June, 2014","17,7  0,6 (3,51%)",18.2,16.0,17.1,17.2,17.8,17.2,17.7,17.56,76.5,2.200.260,38.646.000
"July, 2014","17,9  0,2 (1,13%)",18.9,16.5,17.7,17.7,18.1,17.7,17.9,17.869999999999997,77.4,516.210,9.226.000
"August, 2014","23,8  0,1 (0,42%)",25.3,22.1,23.7,23.6,24.4,23.6,23.8,23.93,10.28,2.337.040,55.926.000
"September, 2014","22,9  -0,1 (-0,43%)",24.6,21.4,23.0,23.0,23.3,22.8,22.9,22.99,99.0,1.140.610,26.219.000
"October, 2014","22,8  0,3 (1,33%)",24.0,21.0,22.5,22.6,22.9,22.4,22.8,22.65,98.5,663.740,15.034.000
"November, 2014","23,6  0,2 (0,85%)",25.0,21.8,23.4,23.2,24.2,23.2,23.6,23.61,10.2,2.999.010,70.799.000
"December, 2014","20,7  1 (5,08%)",21.0,18.4,19.7,20.1,20.9,19.8,20.7,20.32,89.5,1.228.760,24.972.000
"January, 2015","20,6  0,1 (0,49%)",21.9,19.1,20.5,20.5,21.1,20.5,20.6,20.69,89.0,1.151.400,23.819.000
"February, 2015","21,3  -0,2 (-0,93%)",23.0,20.0,21.5,21.5,21.6,21.3,21.3,21.45,92.0,311.39,6.679.000
"March, 2015","19,6  -0,1 (-0,51%)",21.0,18.4,19.7,19.7,19.7,19.5,19.6,19.61,84.7,511.89,10.040.000
"April, 2015","20,3  0,1 (0,5%)",21.6,18.8,20.2,20.4,20.5,20.3,20.3,20.32,87.7,272.440,5.537.000
