Date,Changes,Max,Min,Reference Price,Open,High,Low,Close,Average,Adjusted Close,KLGD,GTGD
"January, 2014","14,7  -0,2 (-1,34%)",15.9,13.9,14.9,14.5,14.9,14.5,14.7,14.71,93.1,26.58,391.000
"February, 2014","16,6  0,4 (2,47%)",17.3,15.1,16.2,16.2,17.0,16.2,16.6,16.52,96.2,626.490,10.350.518
"March, 2014","14,1  -0,1 (-0,7%)",15.1,13.3,14.2,14.3,14.4,14.1,14.1,14.21,89.3,245.600,3.491.125
"April, 2014","12,4  0 (0%)",13.2,11.6,12.4,12.4,12.6,12.3,12.4,12.42,78.5,79.54,987.958
"May, 2014","11,6  0 (0%)",12.4,10.8,11.6,11.6,11.6,11.5,11.6,11.55,73.4,37.3,431.000
"June, 2014","12,5  0 (0%)",13.3,11.7,12.5,12.5,12.6,12.3,12.5,12.47,79.1,31.94,398.000
"July, 2014","13  0,3 (2,36%)",13.5,11.9,12.7,12.9,13.0,12.8,13.0,12.9,82.3,39.25,506.000
"August, 2014","14,5  -0,1 (-0,68%)",15.6,13.6,14.6,14.6,14.6,14.3,14.5,14.35,91.8,500.950,7.190.000
"September, 2014","14,4  -0,1 (-0,69%)",15.5,13.5,14.5,14.4,14.5,14.3,14.4,14.39,91.2,200.42,2.883.000
"October, 2014","14,6  0,2 (1,39%)",15.4,13.4,14.4,14.3,14.6,14.3,14.6,14.51,92.4,64.38,934.000
"November, 2014","14,9  0,1 (0,68%)",15.8,13.8,14.8,14.8,14.9,14.7,14.9,14.8,94.3,65.13,964.000
"December, 2014","13,6  0,1 (0,74%)",14.4,12.6,13.5,13.5,14.0,13.5,13.6,13.8,93.7,153.18,2.114.000
"January, 2015","13,2  0 (0%)",14.1,12.3,13.2,13.2,13.2,13.2,13.2,13.2,90.9,52.92,699.000
"February, 2015","13,6  0,1 (0,74%)",14.4,12.6,13.5,13.5,13.6,13.5,13.6,13.5,93.7,6.24,84.000
"March, 2015","13,5  0,3 (2,27%)",14.1,12.3,13.2,13.2,13.5,13.2,13.5,13.46,93.0,37.22,501.000
