Date,Changes,Max,Min,Reference Price,Open,High,Low,Close,Average,Adjusted Close,KLGD,GTGD
"January, 2014","33,7  0,2 (0,6%)",35.8,31.2,33.5,33.5,33.7,33.0,33.7,33.17,12.75,18.32,608.000
"February, 2014","48  -1,4 (-2,83%)",52.5,46.0,49.4,48.0,48.8,47.2,48.0,47.81,13.27,77.37,3.699.158
"March, 2014","45  0,6 (1,35%)",47.5,41.3,44.4,45.0,45.5,44.8,45.0,45.08,12.53,147.36,6.643.429
"April, 2014","44,9  -0,5 (-1,1%)",48.5,42.3,45.4,45.4,45.4,43.6,44.9,44.92,12.5,41.65,1.871.040
"May, 2014","35,9  -0,5 (-1,37%)",38.9,33.9,36.4,36.0,36.4,35.7,35.9,35.980000000000004,12.65,16.7,601.000
"June, 2014",37  0 (0%),39.5,34.5,37.0,37.0,37.0,37.0,37.0,37.0,13.41,300.0,11.000
"July, 2014","35,9  0,5 (1,41%)",37.8,33.0,35.4,35.0,35.9,34.6,35.9,35.43,13.01,155.06,5.494.000
"August, 2014","36,8  -0,8 (-2,13%)",40.2,35.0,37.6,37.6,37.6,36.6,36.8,36.82,13.34,79.740,2.936.000
"September, 2014","35,8  -0,5 (-1,38%)",38.8,33.8,36.3,36.0,36.2,35.8,35.8,36.05,12.98,146.37,5.277.000
"October, 2014","35,7  -0,1 (-0,28%)",38.3,33.3,35.8,35.9,35.9,35.0,35.7,35.2,12.94,13.07,460.000
"November, 2014","33,5  -0,7 (-2,05%)",36.5,31.9,34.2,34.2,34.2,33.3,33.5,33.730000000000004,12.67,20.6,695.000
"December, 2014","30,7  -0,3 (-0,97%)",33.1,28.9,31.0,30.1,30.9,30.0,30.7,30.380000000000003,11.61,9.8,298.000
"January, 2015","29,7  -0,3 (-1%)",32.1,27.9,30.0,29.8,30.0,29.7,29.7,29.84,11.24,3.86,115.000
"February, 2015","29,1  -0,1 (-0,34%)",31.2,27.2,29.2,29.2,29.2,29.0,29.1,29.02,11.01,67.31,1.954.000
"March, 2015","27,9  -0,1 (-0,36%)",29.9,26.1,28.0,27.9,27.9,27.5,27.9,27.62,10.56,10.29,284.000
"April, 2015","29  -0,5 (-1,69%)",31.5,27.5,29.5,29.4,29.4,29.0,29.0,29.14,10.97,17.54,511.000
"May, 2015","30  0,5 (1,69%)",31.5,27.5,29.5,29.5,30.0,29.5,30.0,29.74,11.35,141.45,4.207.000
"June, 2015","32,5  0 (0%)",34.7,30.3,32.5,32.5,32.6,32.2,32.5,32.5,12.71,17.07,555.000
"July, 2015","37,1  -0,6 (-1,59%)",40.3,35.1,37.7,38.0,38.0,37.1,37.1,37.34,14.51,145.34,5.428.000
"August, 2015","37,2  0,4 (1,09%)",39.3,34.3,36.8,37.3,37.3,36.3,37.2,36.89,15.25,154.23,5.690.000
"September, 2015","43  1,5 (3,61%)",44.4,38.6,41.5,41.5,43.5,41.5,43.0,42.17,17.94,642.02,27.071.000
"October, 2015","48,6  0,8 (1,67%)",51.0,44.5,47.8,47.9,48.9,47.5,48.6,48.11,20.58,274.53,13.209.000
