Date,Changes,Max,Min,Reference Price,Open,High,Low,Close,Average,Adjusted Close,KLGD,GTGD
"January, 2014","26,5  -1 (-3,64%)",29.4,25.6,27.5,26.5,26.6,26.5,26.5,26.52,96.3,1.2,32.0
"February, 2014","31,7  0,1 (0,32%)",33.8,29.4,31.6,31.5,31.7,31.5,31.7,31.5,10.92,8.33,262.397
"March, 2014","31,1  0,2 (0,65%)",33.0,28.8,30.9,30.7,31.1,30.6,31.1,30.71,10.72,21.66,665.226
"April, 2014","29,8  0 (0%)",31.8,27.8,29.8,0.0,0.0,0.0,29.8,0.0,10.27,2.57,75.026
"May, 2014","27  -1 (-3,57%)",29.9,26.1,28.0,27.0,28.0,27.0,27.0,27.78,98.1,7.7,214.0
"June, 2014","27,2  -0,5 (-1,81%)",29.6,25.8,27.7,26.5,27.2,26.5,27.2,27.160000000000004,98.8,3.59,97.0
"July, 2014","28  -0,6 (-2,1%)",30.6,26.6,28.6,28.6,28.8,28.0,28.0,28.71,10.17,35.37,1.015.000
"August, 2014","30,5  0 (0%)",32.6,28.4,30.5,30.5,30.5,30.1,30.5,30.39,11.08,150.0,5.000
"September, 2014",29  0 (0%),31.0,27.0,29.0,29.0,29.0,29.0,29.0,29.0,10.54,1.15,33.0
"October, 2014","28,3  -0,1 (-0,35%)",30.3,26.5,28.4,27.2,28.3,27.2,28.3,27.21,10.28,1.41,38.0
"November, 2014","27,5  -0,6 (-2,14%)",30.0,26.2,28.1,27.0,27.6,27.0,27.5,27.01,99.9,2.04,55.0
"December, 2014","26,8  1,6 (6,35%)",26.9,23.5,25.2,25.8,26.8,24.7,26.8,25.72,97.4,6.82,175.0
"January, 2015",25  0 (0%),26.7,23.3,25.0,25.0,25.0,25.0,25.0,25.0,90.8,7.3,183.0
"February, 2015","21,6  -1 (-4,42%)",24.1,21.1,22.6,22.0,22.0,21.6,21.6,21.81,78.5,7.64,167.000
"March, 2015","21  -0,4 (-1,87%)",22.8,20.0,21.4,21.0,22.0,20.9,21.0,21.74,76.3,3.81,83.0
"April, 2015","22,1  0,9 (4,25%)",22.6,19.8,21.2,21.9,22.4,21.8,22.1,21.95,80.3,10.41,229.000
"May, 2015","20,6  0,4 (1,98%)",21.6,18.8,20.2,20.6,20.6,20.6,20.6,20.6,82.2,3.000,62.000
"June, 2015","20  0,1 (0,5%)",21.2,18.6,19.9,19.9,20.0,19.9,20.0,19.91,79.8,11.97,238.0
"July, 2015","19,4  0 (0%)",20.7,18.1,19.4,19.5,19.5,19.4,19.4,19.43,77.4,2.8,54.0
"August, 2015","17,5  0 (0%)",18.7,16.3,17.5,17.5,17.5,17.5,17.5,17.5,70.2,470.0,8.0
"September, 2015","18,2  0,2 (1,11%)",19.2,16.8,18.0,17.8,18.2,17.8,18.2,18.009999999999998,71.3,3.89,70.0
"October, 2015","18,3  0 (0%)",19.5,17.1,18.3,18.3,18.4,18.3,18.3,18.31,69.4,82.4,1.509.000
"November, 2015","18,2  0,1 (0,55%)",19.3,16.9,18.1,18.6,18.6,18.2,18.2,18.33,69.0,5.21,96.0
