Date,Changes,Max,Min,Reference Price,Open,High,Low,Close,Average,Adjusted Close,KLGD,GTGD
"January, 2014","7,8  -0,1 (-1,27%)",84.0,74.0,79.0,78.0,8.0,78.0,78.0,78.0,83.6,4.36,34.0
"February, 2014","7,5  -0,2 (-2,6%)",82.0,72.0,77.0,78.0,78.0,75.0,75.0,75.5,66.8,1.03,7.781
"March, 2014","7,5  0,2 (2,74%)",78.0,68.0,73.0,74.0,75.0,73.0,75.0,74.2,66.8,10.49,77.848
"April, 2014","8,5  0 (0%)",9.0,8.0,85.0,84.0,85.0,84.0,85.0,84.9,75.7,120.0,1.019
"May, 2014","8,3  0 (0%)",88.0,78.0,83.0,82.0,83.0,82.0,83.0,82.7,73.9,30.0,92.0
"June, 2014","8,7  0,3 (3,57%)",89.0,79.0,84.0,87.0,87.0,87.0,87.0,87.0,77.5,300.0,3.0
"July, 2014","9,5  0,3 (3,26%)",98.0,86.0,92.0,95.0,95.0,95.0,95.0,95.0,84.6,20.0,20.0
"August, 2014","8,1  -0,1 (-1,22%)",87.0,77.0,82.0,79.0,81.0,79.0,81.0,79.0,86.8,700.0,6.0
"September, 2014","8  0,1 (1,27%)",84.0,74.0,79.0,78.0,8.0,77.0,8.0,78.0,85.7,3.36,26.0
"October, 2014","8,1  0,3 (3,85%)",83.0,73.0,78.0,82.0,82.0,8.0,81.0,80.6,86.8,4.34,35.0
"November, 2014","7,9  0 (0%)",84.0,74.0,79.0,79.0,79.0,79.0,79.0,79.0,84.6,310.0,2.0
"December, 2014","7,8  0,4 (5,41%)",79.0,69.0,74.0,72.0,78.0,72.0,78.0,76.5,83.6,410.0,3.0
"January, 2015","7,6  -0,3 (-3,8%)",84.0,74.0,79.0,78.0,78.0,76.0,76.0,76.0,81.4,10.06,76.0
"February, 2015","7,9  0,1 (1,28%)",83.0,73.0,78.0,79.0,79.0,79.0,79.0,79.0,84.6,30.0,1.0
"March, 2015","7  -0,4 (-5,41%)",79.0,69.0,74.0,7.0,7.0,7.0,7.0,7.0,75.0,10.0,19.0
"April, 2015",8  0 (0%),85.0,75.0,8.0,8.0,8.0,8.0,8.0,8.0,85.7,30.0,3.0
"May, 2015","8,1  -0,1 (-1,22%)",87.0,77.0,82.0,81.0,81.0,81.0,81.0,81.0,86.8,300.0,2.0
"June, 2015",8  0 (0%),85.0,75.0,8.0,0.0,0.0,0.0,8.0,0.0,85.7,3.68,29.0
"July, 2015","7,8  0 (0%)",83.0,73.0,78.0,78.0,78.0,78.0,78.0,78.0,83.6,5.0,39.0
"August, 2015","7,7  0 (0%)",82.0,72.0,77.0,0.0,0.0,0.0,77.0,0.0,83.6,2.64,20.0
"September, 2015","7,5  0 (0%)",8.0,7.0,75.0,75.0,75.0,75.0,75.0,75.0,81.4,25.0,188.0
"October, 2015","7,6  -0,1 (-1,3%)",82.0,72.0,77.0,76.0,76.0,76.0,76.0,76.0,83.6,5.11,39.0
"November, 2015","7,3  0,1 (1,39%)",77.0,67.0,72.0,73.0,73.0,72.0,73.0,72.8,80.3,6.68,49.0
"December, 2015","7,4  -0,1 (-1,33%)",8.0,7.0,75.0,74.0,74.0,74.0,74.0,74.0,80.3,10.0,74.0
