Date,Changes,Max,Min,Reference Price,Open,High,Low,Close,Average,Adjusted Close,KLGD,GTGD
"January, 2014","8,7  0,5 (6,1%)",87.0,77.0,82.0,84.0,87.0,83.0,87.0,86.2,39.6,72.21,622.0
"February, 2014","9  0,1 (1,12%)",95.0,83.0,89.0,91.0,91.0,89.0,9.0,9.0,36.3,1.62,14.575
"March, 2014","9,6  0,3 (3,23%)",99.0,87.0,93.0,93.0,96.0,93.0,96.0,93.3,38.8,2.47,23.054
"April, 2014","8,8  0,2 (2,33%)",92.0,8.0,86.0,88.0,88.0,88.0,88.0,88.0,35.5,10.0,88.0
"May, 2014","8,4  -0,1 (-1,18%)",9.0,8.0,85.0,85.0,85.0,84.0,84.0,84.7,33.9,1.92,16.0
"June, 2014","8  0,1 (1,27%)",84.0,74.0,79.0,8.0,8.0,8.0,8.0,8.0,36.4,10.0,111.0
"July, 2014","7,8  0,4 (5,41%)",79.0,69.0,74.0,78.0,78.0,78.0,78.0,78.0,35.5,10.0,13.0
"August, 2014","8  0,2 (2,56%)",83.0,73.0,78.0,78.0,8.0,78.0,8.0,78.8,36.4,9.12,72.0
"September, 2014","8,1  0 (0%)",86.0,76.0,81.0,81.0,81.0,8.0,81.0,80.3,36.9,7.52,60.0
"October, 2014","8,1  -0,1 (-1,22%)",87.0,77.0,82.0,81.0,82.0,81.0,81.0,81.0,36.9,2.49,20.0
"November, 2014","8,2  0 (0%)",87.0,77.0,82.0,82.0,83.0,82.0,82.0,82.5,37.4,71.63,591.0
"December, 2014","8,2  0 (0%)",87.0,77.0,82.0,84.0,84.0,82.0,82.0,82.1,39.1,1.86,15.0
"January, 2015","8,3  -0,2 (-2,35%)",9.0,8.0,85.0,83.0,84.0,83.0,83.0,83.0,39.5,9.37,78.0
"February, 2015","8,5  0 (0%)",9.0,8.0,85.0,85.0,85.0,85.0,85.0,85.0,40.5,1.14,10.0
"March, 2015","8,5  0,1 (1,19%)",89.0,79.0,84.0,84.0,86.0,84.0,85.0,85.9,40.5,2.12,18.0
"April, 2015","8,5  0 (0%)",9.0,8.0,85.0,85.0,85.0,85.0,85.0,85.0,40.5,6.2,53.0
"May, 2015","8,9  0 (0%)",95.0,83.0,89.0,9.0,9.0,88.0,89.0,89.7,42.4,9.19,82.0
"June, 2015","8,5  0,1 (1,19%)",89.0,79.0,84.0,85.0,85.0,85.0,85.0,85.0,42.9,1.6,14.0
"July, 2015","9,1  -0,1 (-1,09%)",98.0,86.0,92.0,91.0,91.0,9.0,91.0,91.0,45.9,7.81,71.0
"August, 2015","9,3  -0,2 (-2,11%)",10.1,89.0,95.0,93.0,93.0,93.0,93.0,93.0,47.1,140.0,1.0
"September, 2015",9  0 (0%),96.0,84.0,9.0,9.0,9.0,9.0,9.0,9.0,45.1,16.96,153.0
"October, 2015","10,2  0,4 (4,08%)",10.4,92.0,98.0,98.0,10.2,98.0,10.2,10.19,53.4,510.0,5.0
"November, 2015","10,2  -0,7 (-6,42%)",11.6,10.2,10.9,10.2,10.4,10.2,10.2,10.38,53.4,6.43,67.0
"December, 2015","10  -0,2 (-1,96%)",11.2,98.0,10.2,10.2,10.2,10.0,10.0,10.18,55.4,1.1,11.0
"January, 2016","10,5  -0,2 (-1,87%)",11.4,10.0,10.7,10.5,10.5,10.5,10.5,10.5,61.7,300.0,3.0
"February, 2016","10,9  0,2 (1,87%)",11.4,10.0,10.7,10.9,10.9,10.4,10.9,10.83,64.0,11.7,127.0
"March, 2016","10,9  0 (0%)",11.6,10.2,10.9,0.0,0.0,0.0,10.9,0.0,63.4,10.0,6.0
"April, 2016","11,5  0,7 (6,48%)",11.5,10.1,10.8,11.0,11.5,11.0,11.5,11.43,65.1,32.29,369.000
"May, 2016","13,3  -0,9 (-6,34%)",14.2,12.4,14.2,13.3,13.3,13.3,13.3,13.3,96.0,310.0,4.0
"June, 2016","11  0,6 (5,77%)",11.1,97.0,10.4,11.0,11.1,99.0,11.0,10.38,75.7,3.71,39.0
"July, 2016","10,9  -0,1 (-0,91%)",11.7,10.3,11.0,11.0,11.0,10.9,10.9,10.93,78.6,1.5,16.0
"August, 2016","14  0,2 (1,45%)",14.7,12.9,13.8,13.5,14.0,13.3,14.0,13.6,10.17,11.03,150.0
"September, 2016","13,35  0,2 (1,52%)",14.05,12.25,13.15,14.0,14.0,13.2,13.35,13.39,97.1,260.0,3.0
"October, 2016","12  -0,45 (-3,61%)",13.3,11.6,12.45,12.45,13.3,12.0,12.0,12.3,79.0,7.53,93.0
"November, 2016","12,15  -0,15 (-1,22%)",13.15,11.45,12.3,13.0,13.0,12.15,12.15,12.79,78.4,4.13,53.0
"December, 2016","12,9  -0,05 (-0,39%)",13.85,12.05,12.95,12.1,13.2,12.05,12.9,12.78,90.6,5.45,70.0
"January, 2017","11,55  -0,1 (-0,86%)",12.45,10.85,11.65,11.55,11.55,11.55,11.55,11.55,77.0,820.0,9.0
"February, 2017","11  -0,5 (-4,35%)",12.3,10.7,11.5,11.85,11.85,11.0,11.0,11.25,76.9,380.0,4.0
"March, 2017","11,35  0,45 (4,13%)",11.65,10.15,10.9,11.4,11.4,11.0,11.35,11.0,75.5,13.06,144.0
"April, 2017",12  0 (0%),12.8,11.2,12.0,12.2,12.2,11.8,12.0,11.67,79.9,600.0,7.0
"May, 2017","12,5  -0,25 (-1,96%)",13.6,11.9,12.75,12.85,12.85,12.5,12.5,12.7,83.2,630.0,8.0
"June, 2017","12,5  -0,05 (-0,4%)",13.4,11.7,12.55,12.8,12.8,12.0,12.5,12.26,88.7,6.28,77.000
"July, 2017","13,45  -0,25 (-1,82%)",14.65,12.75,13.7,13.7,13.7,13.0,13.45,13.46,95.4,4.16,56.0
"August, 2017","13,5  0 (0%)",14.4,12.6,13.5,13.5,13.9,13.2,13.5,13.73,95.8,7.94,109.0
"September, 2017","14  -0,5 (-3,45%)",15.5,13.5,14.5,14.0,14.5,14.0,14.0,14.29,99.3,700.0,10.0
"October, 2017","14,3  0 (0%)",15.3,13.3,14.3,14.5,14.5,13.3,14.3,14.48,10.14,5.11,74.0
"November, 2017","14,2  0 (0%)",15.15,13.25,14.2,14.5,14.5,14.2,14.2,14.36,10.07,2.02,29.0
"December, 2017","14,4  -0,1 (-0,69%)",15.5,13.5,14.5,14.5,14.5,14.4,14.4,13.16,10.21,380.0,5.0
"January, 2018","14  -0,2 (-1,41%)",15.15,13.25,14.2,14.4,14.4,13.6,14.0,14.01,99.3,4.71,66.0
"February, 2018","12,4  0 (0%)",13.25,11.55,12.4,12.7,12.9,12.3,12.4,12.34,88.0,2.35,29.0
"March, 2018","13,5  0,1 (0,75%)",14.3,12.5,13.4,13.5,13.5,13.5,13.5,14.29,95.8,350.0,5.0
"April, 2018","13,5  -0,5 (-3,57%)",14.95,13.05,14.0,13.45,14.0,13.45,13.5,13.59,95.8,4.12,56.0
"May, 2018","11,6  -0,4 (-3,33%)",12.8,11.2,12.0,11.8,12.0,11.2,11.6,11.93,93.0,5.45,65.0
"June, 2018","12,3  0,15 (1,23%)",13.0,11.3,12.15,11.8,12.3,11.3,12.3,11.9,98.6,2.1,25.0
"July, 2018","11,2  -0,1 (-0,88%)",12.05,10.55,11.3,11.4,11.4,11.0,11.2,10.92,90.1,1.19,13.0
"August, 2018","12,15  -0,05 (-0,41%)",13.05,11.35,12.2,12.95,13.05,12.0,12.15,11.11,97.8,270.0,3.0
"September, 2018","12,4  -0,05 (-0,4%)",13.3,11.6,12.45,13.25,13.25,12.0,12.4,20.0,99.8,50.0,1.0
"October, 2018","12,6  0,8 (6,78%)",12.6,11.0,11.8,11.45,12.6,11.2,12.6,11.4,10.14,25.0,285.0
"November, 2018","11,75  -0,85 (-6,75%)",13.45,11.75,12.6,12.0,12.0,11.75,11.75,11.78,94.5,6.62,78.0
"December, 2018","12  0,1 (0,84%)",12.7,11.1,11.9,11.6,12.0,11.6,12.0,11.57,96.5,11.75,136.0
"January, 2019","12,35  0,15 (1,23%)",13.05,11.35,12.2,12.35,12.35,12.35,12.35,12.35,10.19,10.0,124.0
"February, 2019","13,1  0,3 (2,34%)",13.65,11.95,12.8,13.1,13.5,12.1,13.1,12.15,10.81,1.81,22.0
"March, 2019","12,8  0,2 (1,59%)",13.45,11.75,12.6,13.0,13.0,12.8,12.8,13.080000000000002,10.56,2.14,28.0
"April, 2019","13,6  -0,1 (-0,73%)",14.65,12.75,13.7,13.6,13.6,13.6,13.6,13.6,11.22,10.0,136.0
"May, 2019",12  0 (0%),12.8,11.2,12.0,12.5,12.5,12.0,12.0,12.34,11.19,6.89,85.0
"June, 2019","12,4  0 (0%)",13.25,11.55,12.4,0.0,0.0,0.0,12.4,0.0,11.57,20.0,241.0
"July, 2019","12  0,2 (1,69%)",12.6,11.0,11.8,11.8,12.0,11.8,12.0,11.32,11.19,530.0,6.0
"August, 2019","11,9  0,05 (0,42%)",12.65,11.05,11.85,11.85,11.9,11.85,11.9,12.5,11.12,80.0,1.0
"September, 2019","11,9  0 (0%)",12.7,11.1,11.9,11.9,11.9,11.9,11.9,11.9,11.12,20.0,238.0
"October, 2019","11,5  0 (0%)",12.3,10.7,11.5,12.0,12.0,11.5,11.5,12.5,10.75,160.0,2.0
"November, 2019","11,2  0,2 (1,82%)",11.75,10.25,11.0,10.6,11.2,10.6,11.2,10.78,10.51,2.04,22.0
"December, 2019","11,4  0,4 (3,64%)",11.75,10.25,11.0,11.0,11.4,11.0,11.4,10.64,10.69,470.0,5.0
"January, 2020","12  -0,9 (-6,98%)",13.8,12.0,12.9,12.0,12.0,12.0,12.0,12.15,11.69,1.81,22.0
"February, 2020","11,15  0,15 (1,36%)",11.75,10.25,11.0,11.5,11.5,11.15,11.15,11.32,10.86,20.0,227.0
