Date,Changes,Max,Min,Reference Price,Open,High,Low,Close,Average,Adjusted Close,KLGD,GTGD
"January, 2017","25,9  -0,2 (-0,77%)",27.9,24.3,26.1,26.05,26.2,25.5,25.9,25.94,23.34,42.45,1.101.000
"February, 2017","25,2  -0,7 (-2,7%)",27.7,24.1,25.9,26.75,26.75,25.2,25.2,25.46,22.71,37.19,947.000
"March, 2017","23,45  -1,75 (-6,94%)",26.95,23.45,25.2,25.0,25.5,23.45,23.45,23.74,21.130000000000003,297.97,7.075.000
"April, 2017","24,9  -1 (-3,86%)",27.7,24.1,25.9,26.0,26.0,24.9,24.9,25.36,22.44,88.69,2.249.000
"May, 2017","25,3  0,4 (1,61%)",26.6,23.2,24.9,25.5,25.5,24.7,25.3,24.93,22.8,110.33,2.626.800
"June, 2017","24,7  -0,6 (-2,37%)",27.05,23.55,25.3,24.7,25.4,24.4,24.7,24.68,22.26,55.95,1.381.000
"July, 2017","24,5  -0,2 (-0,81%)",26.4,23.0,24.7,24.9,24.95,24.4,24.5,24.62,22.08,40.26,991.000
"August, 2017","24,6  1,6 (6,96%)",24.6,21.4,23.0,24.6,24.6,24.6,24.6,24.6,22.17,1.640.000,40.202.500
"September, 2017","27,5  -0,7 (-2,48%)",30.15,26.25,28.2,28.2,28.6,27.4,27.5,28.1,24.78,74.49,2.093.000
"October, 2017","25,9  -0,6 (-2,26%)",28.35,24.65,26.5,26.5,26.5,25.2,25.9,25.69,23.34,86.46,2.221.000
"November, 2017","26,1  -0,1 (-0,38%)",28.0,24.4,26.2,27.3,27.3,26.1,26.1,26.59,23.52,59.43,1.580.000
"December, 2017","20,7  -0,4 (-1,9%)",22.55,19.65,21.1,21.1,21.1,20.3,20.7,20.68,18.65,52.04,1.076.000
"January, 2018","18,65  0,65 (3,61%)",19.25,16.75,18.0,18.1,19.0,18.1,18.65,18.53,16.8,43.23,801.000
"February, 2018","22,2  -0,8 (-3,48%)",24.6,21.4,23.0,23.0,23.1,22.2,22.2,22.66,20.0,73.48,1.665.000
"March, 2018","20,7  0,3 (1,47%)",21.8,19.0,20.4,19.75,20.7,19.75,20.7,20.41,18.65,8.23,168.000
"April, 2018","15,4  -0,45 (-2,84%)",16.95,14.75,15.85,14.75,16.9,14.75,15.4,14.81,13.88,229.98,3.407.000
"May, 2018","13  -0,2 (-1,52%)",14.1,12.3,13.2,13.3,13.3,13.0,13.0,13.19,11.71,40.7,537.000
"June, 2018","13,3  0,3 (2,31%)",13.9,12.1,13.0,13.2,13.5,13.05,13.3,13.19,11.98,8.34,110.0
"July, 2018","13,25  0,3 (2,32%)",13.85,12.05,12.95,12.95,13.55,12.9,13.25,13.22,11.94,60.28,797.000
"August, 2018","16,2  -0,5 (-2,99%)",17.85,15.55,16.7,16.7,16.85,16.2,16.2,16.580000000000002,14.6,78.0,1.293.000
"September, 2018","15,85  -0,25 (-1,55%)",17.2,15.0,16.1,15.8,16.2,15.8,15.85,15.99,14.28,35.22,563.000
"October, 2018","13,3  0,45 (3,5%)",13.7,12.0,12.85,13.0,13.3,12.85,13.3,13.09,11.98,14.82,194.000
"November, 2018","15,95  0,95 (6,33%)",16.05,13.95,15.0,14.2,16.0,14.0,15.95,15.169999999999998,14.37,24.85,377.0
"December, 2018","13,9  -0,1 (-0,71%)",14.95,13.05,14.0,13.5,13.9,13.5,13.9,13.46,12.52,520.0,7.0
"January, 2019","12,9  0,4 (3,2%)",13.35,11.65,12.5,12.5,12.9,12.2,12.9,12.38,11.62,11.07,137.0
"February, 2019","11,5  0,05 (0,44%)",12.25,10.65,11.45,11.5,12.0,11.45,11.5,11.76,11.39,74.76,879.000
"March, 2019","11,8  -0,1 (-0,84%)",12.7,11.1,11.9,11.6,11.9,11.6,11.8,11.76,11.69,2.04,24.000
"April, 2019","11,6  0 (0%)",12.4,10.8,11.6,11.45,11.7,11.45,11.6,11.59,11.49,26.22,304.000
"May, 2019","11,5  0 (0%)",12.3,10.7,11.5,11.35,11.5,11.15,11.5,11.34,11.39,12.61,143.000
"June, 2019","11,2  0,05 (0,45%)",11.9,10.4,11.15,11.1,11.35,11.1,11.2,11.23,11.09,9.620,108.000
