Date,Changes,Max,Min,Reference Price,Open,High,Low,Close,Average,Adjusted Close,KLGD,GTGD
"January, 2018","21,85  1,35 (6,59%)",21.9,19.1,20.5,21.9,21.9,21.85,21.85,21.9,17.09,136.54,2.990.000
"February, 2018","21,1  0,1 (0,48%)",22.45,19.55,21.0,21.0,21.1,20.95,21.1,21.04,16.5,83.49,1.757.000
"March, 2018","25  0,4 (1,63%)",26.3,22.9,24.6,24.6,25.0,24.55,25.0,24.74,19.55,144.8,3.582.000
"April, 2018","23,2  0,35 (1,53%)",24.4,21.3,22.85,22.75,23.2,22.4,23.2,22.84,18.14,157.2,3.591.000
"May, 2018","24,75  0,35 (1,43%)",26.1,22.7,24.4,24.35,24.8,24.35,24.75,24.58,19.36,333.92,8.293.000
"June, 2018","23,6  -0,3 (-1,26%)",25.55,22.25,23.9,23.75,23.9,23.6,23.6,23.71,18.46,140.77,3.337.000
"July, 2018","18,1  -1,4 (-7,18%)",18.1,15.8,19.5,18.05,18.1,18.05,18.1,18.08,16.29,197.27,3.567.000
"August, 2018","21,1  0,1 (0,48%)",22.45,19.55,21.0,21.0,21.15,21.0,21.1,21.1,18.98,158.18,3.337.000
"September, 2018","21,15  -0,1 (-0,47%)",22.7,19.8,21.25,21.25,21.35,21.1,21.15,21.21,19.03,146.11,3.099.000
"October, 2018","20,25  0,05 (0,25%)",21.6,18.8,20.2,20.1,20.3,20.1,20.25,20.19,18.22,178.05,3.594.000
"November, 2018","20,8  0 (0%)",22.25,19.35,20.8,20.8,20.9,20.7,20.8,20.81,18.71,31.19,649.000
"December, 2018","19,25  0,25 (1,32%)",20.3,17.7,19.0,18.95,19.25,18.95,19.25,19.09,17.32,34.89,666.000
"January, 2019","19,65  -0,35 (-1,75%)",21.4,18.6,20.0,20.0,20.0,19.65,19.65,19.76,17.77,127.2,2.491.000
"February, 2019","19,95  0,05 (0,25%)",21.25,18.55,19.9,19.9,20.0,19.9,19.95,19.95,18.05,83.47,1.665.000
"March, 2019","20,4  0 (0%)",21.8,19.0,20.4,20.4,20.45,20.4,20.4,20.42,18.45,41.05,837.800
"April, 2019","20,6  0,15 (0,73%)",21.85,19.05,20.45,20.45,21.1,20.45,20.6,20.89,18.630000000000003,286.94,5.994.000
"May, 2019","20,65  0 (0%)",22.05,19.25,20.65,20.65,20.75,20.65,20.65,20.7,18.68,18.84,390.000
"June, 2019","19,65  0 (0%)",21.0,18.3,19.65,19.65,19.65,19.6,19.65,19.65,19.72,42.24,830.0
"July, 2019","19,2  0 (0%)",20.5,17.9,19.2,19.2,19.2,19.15,19.2,19.18,19.27,15.38,295.000
"August, 2019","19,05  0 (0%)",20.35,17.75,19.05,19.05,19.05,19.05,19.05,19.02,19.12,10.46,199.000
"September, 2019","19,2  0,05 (0,26%)",20.45,17.85,19.15,19.15,19.2,19.15,19.2,19.24,19.27,32.85,629.750
"October, 2019","19,1  0 (0%)",20.4,17.8,19.1,19.1,19.1,19.1,19.1,19.14,19.17,34.35,656.5
"November, 2019","18,75  0 (0%)",20.05,17.45,18.75,18.75,18.75,18.75,18.75,18.72,18.82,4.220,79.000
"December, 2019","17,8  0 (0%)",19.0,16.6,17.8,17.8,17.85,17.8,17.8,17.759999999999998,17.869999999999997,5.18,92.0
"January, 2020","17,5  0 (0%)",18.7,16.3,17.5,17.5,17.5,17.5,17.5,17.44,17.61,4.07,71.0
"February, 2020","17,3  0 (0%)",18.5,16.1,17.3,17.3,17.3,17.3,17.3,17.18,17.41,4.190,72.000
"March, 2020","11,95  -0,85 (-6,64%)",13.65,11.95,12.8,12.65,12.65,11.95,11.95,12.07,11.95,50.53,623.800
"April, 2020","12  -0,1 (-0,83%)",12.9,11.3,12.1,12.1,12.15,11.85,12.0,11.94,12.0,25.61,309.0
"May, 2020","12,2  0 (0%)",13.05,11.35,12.2,12.25,12.25,12.2,12.2,12.66,12.2,790,10.000
"June, 2020","12,35  0,3 (2,49%)",12.85,11.25,12.05,12.05,12.35,12.05,12.35,12.25,0.0,9.47,116.0
"July, 2020","12,05  -0,15 (-1,23%)",13.05,11.35,12.2,12.2,12.2,12.05,12.05,10.71,0.0,166.28,2.028.200
"August, 2020","12,75  -0,05 (-0,39%)",13.65,11.95,12.8,12.8,12.8,12.75,12.75,11.63,0.0,430.0,5.000
"September, 2020","12,25  0 (0%)",13.1,11.4,12.25,12.25,12.25,12.25,12.25,15.38,0.0,1.055.130,12.081.750
"October, 2020","12,4  0 (0%)",13.25,11.55,12.4,12.4,12.4,12.4,12.4,12.5,0.0,80.0,1.000
"November, 2020","12,8  -0,6 (-4,48%)",14.3,12.5,13.4,12.85,12.9,12.8,12.8,12.919999999999998,0.0,2.71,35.000
"December, 2020","14,45  0 (0%)",15.45,13.45,14.45,14.5,14.5,14.35,14.45,13.95,0.0,40.86,552.000
"January, 2021","15,8  0,75 (4,98%)",16.1,14.0,15.05,15.05,15.8,15.05,15.8,15.4,0.0,6.3,97.0
"February, 2021","21,6  0 (0%)",23.1,20.1,21.6,21.65,21.65,21.5,21.6,21.57,0.0,16.6,358.000
"March, 2021","33,9  2,1 (6,6%)",34.0,29.6,31.8,32.1,33.9,32.1,33.9,32.5,0.0,2.000,65.000
"April, 2021","23,5  -0,45 (-1,88%)",25.6,22.3,23.95,24.0,24.3,23.5,23.5,24.22,0.0,4.5,109.000
"May, 2021","20,85  -0,05 (-0,24%)",22.35,19.45,20.9,20.9,20.9,20.85,20.85,21.67,0.0,600.0,13.0
"June, 2021","18,1  0 (0%)",19.35,16.85,18.1,0.0,0.0,0.0,18.1,0.0,0.0,1.2,22.0
