Date,Changes,Max,Min,Reference Price,Open,High,Low,Close,Average,Adjusted Close,KLGD,GTGD
"January, 2014","40,9  0 (0%)",43.7,38.1,40.9,40.9,40.9,40.9,40.9,40.9,95.4,70.238,2.872.000
"February, 2014","28,1  -1,3 (-4,42%)",31.4,27.4,29.4,29.3,29.3,28.0,28.1,28.28,61.3,45.58,1.288.912
"March, 2014","30,8  0,6 (1,99%)",32.3,28.1,30.2,30.3,31.0,30.3,30.8,30.87,67.2,17.42,537.81
"April, 2014","31  1,9 (6,53%)",31.1,27.1,29.1,29.4,31.0,29.4,31.0,30.94,7.0,1.04,32.176
"May, 2014","31  0,5 (1,64%)",32.6,28.4,30.5,29.2,31.0,29.2,31.0,29.32,7.0,2.5,73.0
"June, 2014","30  0,2 (0,67%)",31.8,27.8,29.8,31.2,31.2,29.5,30.0,29.73,67.8,6.15,183.000
"July, 2014","30,5  0,5 (1,67%)",32.1,27.9,30.0,30.8,30.8,30.5,30.5,30.65,68.9,20.0,1.000
"August, 2014","31,8  0 (0%)",34.0,29.6,31.8,32.0,32.0,31.8,31.8,31.85,71.8,39.06,1.181.000
"September, 2014","35,8  -1,2 (-3,24%)",39.5,34.5,37.0,35.8,36.5,35.8,35.8,36.010000000000005,80.9,57.6,2.074.000
"October, 2014","37,7  0,3 (0,8%)",40.0,34.8,37.4,37.0,37.7,37.0,37.7,37.12,87.9,17.03,632.000
"November, 2014","40,9  -0,1 (-0,24%)",43.8,38.2,41.0,40.9,40.9,40.9,40.9,40.9,95.4,10.0,115.000
"December, 2014","39,9  0,3 (0,76%)",42.3,36.9,39.6,40.0,40.0,37.8,39.9,38.22,93.0,13.26,507.000
"January, 2015","37,6  0 (0%)",40.2,35.0,37.6,0.0,0.0,0.0,37.6,0.0,87.7,1.11,42.000
"February, 2015","37,2  0 (0%)",39.8,34.6,37.2,37.5,37.5,36.8,37.2,37.15,86.7,3.3,123.000
"March, 2015","43,8  0,8 (1,86%)",46.0,40.0,43.0,43.8,43.8,43.8,43.8,43.8,10.21,50.0,2.000
"April, 2015","48,5  -2,5 (-4,9%)",54.5,47.5,51.0,51.0,51.0,48.5,48.5,49.94,11.66,2.49,124.000
"May, 2015","51  -1 (-1,92%)",55.5,48.4,52.0,52.0,52.0,51.0,51.0,51.91,12.5,106.65,5.445.000
"June, 2015","39,5  0 (0%)",42.2,36.8,39.5,39.6,39.6,39.3,39.5,39.43,12.68,52.15,2.065.000
"July, 2015","36,7  -1,7 (-4,43%)",41.0,35.8,38.4,38.4,38.8,36.5,36.7,37.04,11.78,11.33,420.000
"August, 2015","32,5  -1 (-2,99%)",35.8,31.2,33.5,33.5,33.5,32.5,32.5,33.04,10.47,250.0,8.000
"September, 2015","33  0,2 (0,61%)",35.0,30.6,32.8,32.8,33.8,32.8,33.0,32.96,10.76,23.44,772.0
"October, 2015",32  0 (0%),34.2,29.8,32.0,31.9,32.0,31.5,32.0,31.57,10.21,88.366,2.825.632
