Date,Changes,Max,Min,Reference Price,Open,High,Low,Close,Average,Adjusted Close,KLGD,GTGD
"January, 2018","13,6  0 (0,01%)",15.7,11.7,13.7,13.8,13.8,13.6,13.6,13.7,13.53,455.510,6.241.027
"February, 2018","13,8  0,04 (0,33%)",15.7,11.7,13.7,13.6,13.9,13.6,13.8,13.74,13.73,559.767,7.693.870
"March, 2018","16,6  0,28 (1,74%)",18.6,13.8,16.2,16.3,16.7,16.2,16.6,16.48,16.52,2.354.364,38.804.971
"April, 2018","13,6  -0,46 (-3,31%)",16.1,11.9,14.0,13.8,13.8,12.0,13.6,13.54,13.53,1.300.812,17.301.112
"May, 2018","14  0,29 (2,11%)",15.7,11.7,13.7,13.7,14.1,13.6,14.0,13.99,13.93,1.830.351,25.605.062
"June, 2018","13,1  -0,03 (-0,2%)",15.0,11.2,13.1,13.1,13.3,12.9,13.1,13.07,13.04,831.540,10.871.253
"July, 2018","13,1  0 (0%)",15.0,11.2,13.1,13.1,13.3,12.9,13.1,13.1,13.04,1.600.300,20.963.630
"August, 2018","14,1  0,13 (0,9%)",16.1,11.9,14.0,14.3,14.3,12.0,14.1,14.13,14.03,4.228.217,59.370.454
"September, 2018","16,7  0,51 (3,21%)",18.4,13.6,16.0,16.2,16.7,16.2,16.7,16.509999999999998,16.619999999999997,5.984.645,98.830.327
"October, 2018","13,9  0,24 (1,76%)",15.5,11.5,13.5,13.8,14.0,13.6,13.9,13.74,13.830000000000002,822.940,11.305.182
"November, 2018","14,8  -0,12 (-0,83%)",17.0,12.6,14.8,14.7,14.8,14.5,14.8,14.68,14.73,738.390,10.837.646
"December, 2018","16  0,67 (4,54%)",17.0,12.6,14.8,15.0,16.1,13.0,16.0,15.47,15.919999999999998,6.997.000,107.540.291
"January, 2019","16,45  -0,35 (-2,08%)",17.95,15.65,16.8,16.8,16.95,16.4,16.45,16.61,16.369999999999997,3.112.380,51.848.000
"February, 2019","16,1  -0,3 (-1,83%)",17.5,15.3,16.4,16.45,16.45,16.1,16.1,16.2,16.02,1.692.050,27.419.000
"March, 2019","15,15  -0,1 (-0,66%)",16.3,14.2,15.25,15.4,15.45,15.15,15.15,15.26,15.080000000000002,696.560,10.629.000
"April, 2019","14,8  0,45 (3,14%)",15.35,13.35,14.35,14.2,14.8,14.15,14.8,14.56,14.73,1.125.830,16.397.000
