Date,Changes,Max,Min,Reference Price,Open,High,Low,Close,Average,Adjusted Close,KLGD,GTGD
"January, 2014","25,2  0,1 (0,4%)",26.8,23.4,25.1,25.2,25.5,25.0,25.2,25.25,12.98,135.39,3.419.000
"February, 2014","25  -0,1 (-0,4%)",26.8,23.4,25.1,25.3,25.3,24.9,25.0,25.04,11.97,641.190,16.055.926
"March, 2014","23,4  -0,4 (-1,68%)",25.4,22.2,23.8,23.8,23.9,23.4,23.4,23.55,11.21,524.260,12.345.647
"April, 2014","20,8  0,1 (0,48%)",22.1,19.3,20.7,20.7,20.8,20.5,20.8,20.66,99.6,165.170,3.412.088
"May, 2014","22,1  0 (0%)",23.6,20.6,22.1,22.3,22.3,21.8,22.1,22.09,11.05,400.01,8.837.000
"June, 2014","20,4  0 (0%)",21.8,19.0,20.4,20.2,20.6,20.2,20.4,20.39,10.2,546.57,11.145.000
"July, 2014","21,9  0,3 (1,39%)",23.1,20.1,21.6,21.5,22.1,21.5,21.9,21.83,11.28,254.910,5.564.000
"August, 2014","22  -0,1 (-0,45%)",23.6,20.6,22.1,22.3,22.3,21.8,22.0,21.97,11.33,787.010,17.291.000
"September, 2014","25,3  0,4 (1,61%)",26.6,23.2,24.9,24.8,25.3,24.5,25.3,25.05,13.03,406.170,10.209.000
"October, 2014","25,2  1,1 (4,56%)",25.7,22.5,24.1,24.1,25.7,24.0,25.2,24.9,12.98,691.69,17.226.000
"November, 2014","25,1  -0,4 (-1,57%)",27.2,23.8,25.5,25.5,25.5,25.0,25.1,25.17,12.93,69.81,1.757.000
"December, 2014","26,4  0 (0%)",28.2,24.6,26.4,26.4,26.9,26.2,26.4,26.5,14.01,957.890,25.382.000
"January, 2015","25,6  -0,4 (-1,54%)",27.8,24.2,26.0,26.1,26.1,25.6,25.6,25.78,13.59,317.780,8.193.000
"February, 2015","25,1  -0,1 (-0,4%)",26.9,23.5,25.2,25.2,25.2,24.9,25.1,25.03,13.32,170.92,4.277.000
"March, 2015","22,9  0,4 (1,78%)",24.0,21.0,22.5,22.5,23.0,22.5,22.9,22.85,12.15,267.72,6.117.000
"April, 2015","24  -0,5 (-2,04%)",26.2,22.8,24.5,24.2,24.5,24.0,24.0,24.42,12.74,73.3,1.790.000
"May, 2015","22,5  0 (0%)",24.0,21.0,22.5,22.5,22.8,22.4,22.5,22.55,12.6,182.29,4.111.000
"June, 2015","21,7  -0,2 (-0,91%)",23.4,20.4,21.9,21.5,22.0,21.5,21.7,21.82,12.16,314.39,6.859.000
"July, 2015","21,9  -0,4 (-1,79%)",23.8,20.8,22.3,22.2,22.4,21.9,21.9,22.09,12.27,430.380,9.507.000
"August, 2015","18,2  -0,3 (-1,62%)",19.7,17.3,18.5,18.6,18.7,18.2,18.2,18.43,10.15,311.69,5.744.000
"September, 2015","17,6  0,1 (0,57%)",18.7,16.3,17.5,17.5,17.7,17.5,17.6,17.580000000000002,98.7,119.65,2.104.000
"October, 2015","18,6  -0,2 (-1,06%)",20.1,17.5,18.8,18.9,18.9,18.1,18.6,18.43,10.27,186.51,3.437.000
"November, 2015","18,1  -0,1 (-0,55%)",19.4,17.0,18.2,18.2,18.4,18.1,18.1,18.19,99.9,90.89,1.653.000
"December, 2015","18,3  0 (0%)",19.2,16.8,18.3,18.4,18.4,18.3,18.3,18.31,10.22,152.63,2.794.000
"January, 2016","17,5  0,7 (4,17%)",17.9,15.7,16.8,16.8,17.9,16.7,17.5,17.39,89.5,310.24,5.395.000
"February, 2016","17  0,2 (1,19%)",17.9,15.7,16.8,17.0,17.2,16.8,17.0,17.009999999999998,86.9,177.11,3.013.000
"March, 2016","18,8  -0,2 (-1,05%)",20.3,17.7,19.0,19.0,19.5,18.8,18.8,19.130000000000003,10.12,1.761.260,33.693.000
"April, 2016","17,9  0,1 (0,56%)",19.0,16.6,17.8,18.0,18.1,17.8,17.9,17.95,96.9,844.370,15.160.000
"May, 2016","15,7  -0,1 (-0,63%)",17.0,14.8,15.8,15.8,15.9,15.7,15.7,15.8,10.45,221.59,3.500.000
"June, 2016","14,4  0 (0%)",15.4,13.4,14.4,14.4,14.5,14.3,14.4,14.4,94.6,345.7,4.979.000
