Date,Changes,Max,Min,Reference Price,Open,High,Low,Close,Average,Adjusted Close,KLGD,GTGD
"January, 2020","17,3  0 (0%)",18.5,16.1,17.3,17.2,17.4,17.05,17.3,17.14,0.0,104.93,1.799.000
"February, 2020","17,3  0 (0%)",18.5,16.1,17.3,17.3,17.3,17.1,17.3,17.22,0.0,155.3,2.674.000
"March, 2020","17,3  0 (0%)",18.5,16.1,17.3,17.3,17.3,17.0,17.3,17.18,0.0,159.69,2.744.000
"April, 2020","17,3  0 (0%)",18.5,16.1,17.3,17.3,17.3,17.1,17.3,17.2,0.0,142.77,2.455.000
"May, 2020","18,1  0 (0%)",19.35,16.85,18.1,18.0,18.1,18.0,18.1,18.04,0.0,111.4,2.010.000
"June, 2020","25  1,6 (6,84%)",25.0,21.8,23.4,25.0,25.0,25.0,25.0,25.0,0.0,2.744.750,68.555.000
"July, 2020",19  0 (0%),20.3,17.7,19.0,18.85,19.0,18.8,19.0,18.87,0.0,299.58,5.654.000
"August, 2020","18,6  -0,1 (-0,53%)",20.0,17.4,18.7,18.7,18.7,18.3,18.6,18.58,0.0,461.07,8.566.000
"September, 2020","18,7  -0,1 (-0,53%)",20.1,17.5,18.8,18.8,18.8,18.5,18.7,18.68,0.0,201.17,3.758.000
"October, 2020","18,25  0 (0%)",19.5,17.0,18.25,18.25,18.25,18.2,18.25,18.21,0.0,127.09,2.314.000
"November, 2020","17,3  -0,2 (-1,14%)",18.7,16.3,17.5,17.5,17.5,17.2,17.3,17.32,0.0,149.06,2.582.000
"December, 2020",17  0 (0%),18.15,15.85,17.0,17.0,17.0,16.8,17.0,16.9,0.0,124.18,2.099.000
"January, 2021","17,3  0,1 (0,58%)",18.4,16.0,17.2,17.15,17.55,17.15,17.3,17.39,0.0,201.9,3.512.000
"February, 2021",20  0 (0%),21.4,18.6,20.0,19.95,20.1,19.85,20.0,19.99,0.0,163.4,3.266.000
"March, 2021","19,75  0 (0%)",21.1,18.4,19.75,19.75,19.85,19.7,19.75,19.77,0.0,150.4,2.974.000
"April, 2021","24,4  1,55 (6,78%)",24.4,21.3,22.85,24.4,24.4,24.0,24.4,24.36,0.0,996.400,24.270.000
"May, 2021","31  -0,95 (-2,97%)",34.15,29.75,31.95,32.3,32.3,30.0,31.0,30.880000000000003,0.0,936.300,28.909.000
"June, 2021","26,6  -2 (-6,99%)",30.6,26.6,28.6,26.6,27.8,26.6,26.6,26.62,0.0,93.500,2.489.000
"July, 2021","19,95  -1,45 (-6,78%)",22.85,19.95,21.4,20.0,20.4,19.95,19.95,19.96,0.0,3.278.400,65.443.000
"August, 2021","17,35  0,05 (0,29%)",18.5,16.1,17.3,17.2,17.45,17.2,17.35,17.32,0.0,303.3,5.253.000
"September, 2021","17,5  -0,6 (-3,31%)",19.35,16.85,18.1,18.3,18.6,16.85,17.5,17.080000000000002,0.0,5.668.800,96.821.000
"October, 2021","24,3  0,35 (1,46%)",25.6,22.3,23.95,24.25,25.0,23.7,24.3,24.35,0.0,1.804.800,43.949.000
"November, 2021","20,95  0,05 (0,24%)",22.35,19.45,20.9,20.9,21.4,20.45,20.95,20.95,0.0,1.096.100,22.967.000
"December, 2021","22,75  -0,85 (-3,6%)",25.25,21.95,23.6,23.4,23.6,22.6,22.75,23.05,0.0,783.100,18.047.000
