Date,Changes,Max,Min,Reference Price,Open,High,Low,Close,Average,Adjusted Close,KLGD,GTGD
"January, 2014","56,5  0,5 (0,89%)",59.5,52.5,56.0,56.0,57.0,55.5,56.5,56.29,11.98,8.62,485.000
"February, 2014","43,7  -1,7 (-3,74%)",48.5,42.3,45.4,44.0,45.4,43.1,43.7,44.95,81.8,6.88,309.240
"March, 2014","45,1  -1,3 (-2,8%)",49.6,43.2,46.4,46.0,46.0,45.1,45.1,45.19,85.3,12.78,577.513
"April, 2014","42,4  0 (0%)",45.3,39.5,42.4,42.4,42.4,42.3,42.4,42.37,85.1,700.0,29.66
"May, 2014","39,3  0,8 (2,08%)",41.1,35.9,38.5,38.6,39.3,38.5,39.3,38.75,78.9,27.11,1.051.000
"June, 2014","40,5  0 (0%)",43.3,37.7,40.5,0.0,0.0,0.0,40.5,0.0,81.3,6.5,263.000
"July, 2014","45,5  -1,5 (-3,19%)",50.0,43.8,47.0,46.9,47.0,45.5,45.5,46.52,92.6,9.33,434.000
"August, 2014","49,3  -0,1 (-0,2%)",52.5,46.0,49.4,49.0,49.3,48.8,49.3,48.98,10.39,1.91,94.0
"September, 2014","62,5  -2,5 (-3,85%)",69.5,60.5,65.0,64.5,64.5,62.5,62.5,63.13,13.25,12.94,817.000
"October, 2014","58,5  3,5 (6,36%)",58.5,51.5,55.0,55.0,58.5,55.0,58.5,56.61,12.4,10.54,597.000
"November, 2014","56  0,5 (0,9%)",59.0,52.0,55.5,55.5,56.0,55.5,56.0,55.82000000000001,11.87,2.36,132.000
"December, 2014","53,5  1 (1,9%)",56.0,48.9,52.5,53.5,54.0,53.5,53.5,53.5,11.45,15.080,807.000
"January, 2015",57  0 (0%),60.5,53.5,57.0,56.5,57.0,56.0,57.0,56.48,12.27,19.19,1.084.000
"February, 2015",58  0 (0%),62.0,54.0,58.0,58.0,58.0,56.5,58.0,57.15,12.48,64.68,3.697.000
"March, 2015","59,5  1 (1,71%)",62.5,54.5,58.5,59.0,59.5,58.5,59.5,59.24,12.8,24.66,1.461.000
"April, 2015","60,5  2 (3,42%)",62.5,54.5,58.5,59.0,60.5,58.0,60.5,59.260000000000005,13.02,5.96,353.000
"May, 2015","50,5  0 (0%)",54.0,47.0,50.5,50.5,50.5,49.0,50.5,49.57,13.1,8.57,425.000
"June, 2015","49,9  0,2 (0,4%)",53.0,46.3,49.7,49.1,50.0,48.0,49.9,48.49,13.19,25.78,1.250.000
"July, 2015",50  0 (0%),53.5,46.5,50.0,51.0,51.0,50.0,50.0,50.010000000000005,13.78,10.32,516.000
"August, 2015","49,5  -1 (-1,98%)",54.0,47.0,50.5,49.2,50.0,49.1,49.5,49.36,14.05,2.24,111.000
"September, 2015",55  0 (0%),58.5,51.5,55.0,55.0,55.0,54.5,55.0,54.67999999999999,16.03,72.94,3.988.000
"October, 2015","70  -2,5 (-3,45%)",77.5,67.5,72.5,72.0,72.0,70.0,70.0,70.37,20.89,93.01,6.545.000
"November, 2015","67  -0,5 (-0,74%)",72.0,63.0,67.5,67.0,67.0,66.0,67.0,66.5,19.99,8.2,545.000
"December, 2015","78,5  0 (0%)",83.5,73.5,78.5,78.0,79.0,77.5,78.5,78.32000000000001,24.65,50.73,3.978.665
"January, 2016","78,5  -1 (-1,26%)",85.0,74.0,79.5,79.0,79.0,78.5,78.5,78.66,24.67,29.02,2.283.000
"February, 2016","75  1,5 (2,04%)",78.5,68.5,73.5,75.0,75.0,74.0,75.0,74.44,27.59,19.37,1.442.000
"March, 2016",96  -4 (-4%),10.7,93.0,100.0,100.0,100.0,96.0,96.0,97.67,35.75,81.7,7.979.000
"April, 2016","113  1 (0,89%)",11.9,10.5,11.2,11.3,11.3,11.2,11.3,112.02,40.42,18.27,2.047.000
"May, 2016",115  0 (0%),12.3,10.7,11.5,11.5,11.5,11.3,11.5,114.58,42.97,28.59,3.276.000
"June, 2016","131  1 (0,77%)",13.9,12.1,13.0,13.1,13.3,13.0,13.1,130.94,50.44,90.97,11.911.000
"July, 2016","124  -2 (-1,59%)",13.4,11.8,12.6,12.6,12.6,12.4,12.4,124.84,48.49,50.93,6.358.000
"August, 2016",133  0 (0%),14.2,12.4,13.3,13.3,13.4,13.2,13.3,132.74,50.99,17.73,2.353.000
"September, 2016","122,3  -1,7 (-1,37%)",13.26,11.54,12.4,12.4,12.5,12.23,12.23,123.02,55.59,48.41,5.955.000
"October, 2016","120  -0,3 (-0,25%)",12.87,11.19,12.03,12.07,12.07,11.9,12.0,12.02,55.2,35.09,4.218.000
"November, 2016","118,3  0,3 (0,25%)",12.62,10.98,11.8,11.89,11.89,11.65,11.83,11.72,53.54,62.18,7.287.000
"December, 2016","123,5  4,5 (3,78%)",12.73,11.07,11.9,11.98,12.35,11.91,12.35,120.25,55.9,30.9,3.716.000
"January, 2017","121  0,1 (0,08%)",12.93,11.25,12.09,12.1,12.11,12.09,12.1,120.99,55.09,17.85,2.160.000
"February, 2017","137,5  2,5 (1,85%)",14.44,12.56,13.5,13.4,14.0,13.4,13.75,137.65,62.6,69.69,9.593.000
"March, 2017","137  2 (1,48%)",14.44,12.56,13.5,13.5,13.8,13.5,13.7,136.67000000000002,62.370000000000005,42.59,5.821.000
"April, 2017","127  2,5 (2,01%)",13.32,11.58,12.45,12.5,12.89,12.4,12.7,126.56,57.82000000000001,38.7,4.898.000
"May, 2017","134,5  -0,5 (-0,37%)",14.44,12.56,13.5,13.55,13.6,13.4,13.45,134.98,61.24,35.65,4.812.000
"June, 2017","111,5  0 (0%)",11.93,10.37,11.15,11.15,11.2,11.1,11.15,111.67,61.38,5.74,641.000
"July, 2017","130,9  4,9 (3,89%)",13.48,11.72,12.6,12.6,13.09,12.5,13.09,129.51,72.06,264.64,34.274.000
"August, 2017","129,8  -0,9 (-0,69%)",13.98,12.16,13.07,13.07,13.1,12.8,12.98,129.84,71.45,70.85,9.199.000
"September, 2017","140,7  0,7 (0,5%)",14.98,13.02,14.0,13.9,14.07,13.86,14.07,140.17000000000002,77.45,36.02,5.049.000
"October, 2017","122,3  -3,1 (-2,47%)",13.41,11.67,12.54,12.6,12.6,12.23,12.23,124.09,67.33,119.83,14.870.000
"November, 2017","131  -0,3 (-0,23%)",14.04,12.22,13.13,13.2,13.3,13.1,13.1,131.57,72.11,50.34,6.623.000
"December, 2017","131,5  0 (0%)",14.07,12.23,13.15,13.07,13.15,13.06,13.15,130.97,72.39,22.31,2.922.000
"January, 2018","127,3  -1,9 (-1,47%)",13.82,12.02,12.919999999999998,13.2,13.2,12.7,12.73,128.54000000000002,70.08,164.92,21.199.000
"February, 2018","125,5  0,5 (0,4%)",13.37,11.63,12.5,12.51,12.75,12.5,12.55,126.11,69.09,47.95,6.047.000
"March, 2018","109,9  4,9 (4,67%)",11.23,97.7,10.5,10.63,10.99,10.47,10.99,105.49,68.77000000000001,57.57,6.073.000
"April, 2018","90,2  1 (1,12%)",95.4,83.0,89.2,86.6,94.0,86.6,90.2,89.76,56.45,26.16,2.348.000
"May, 2018","92,4  0 (0%)",98.8,86.0,92.4,89.1,92.4,89.1,92.4,91.82,57.82000000000001,9.54,876.000
