Date,Changes,Max,Min,Reference Price,Open,High,Low,Close,Average,Adjusted Close,KLGD,GTGD
"January, 2014","8  0,5 (6,67%)",8.0,7.0,75.0,8.0,8.0,8.0,8.0,8.0,35.6,1.52,12.000
"February, 2014","6,2  -0,1 (-1,59%)",67.0,59.0,63.0,66.0,66.0,62.0,62.0,64.1,27.6,11.52,73.878
"March, 2014","6,8  -0,1 (-1,45%)",73.0,65.0,69.0,69.0,72.0,67.0,68.0,68.9,30.2,12.26,84.466
"April, 2014",6  0 (0%),64.0,56.0,6.0,6.0,62.0,6.0,6.0,60.2,26.7,6.19,37.248
"May, 2014","5,9  0 (0%)",63.0,55.0,59.0,0.0,0.0,0.0,59.0,0.0,26.2,2.27,14.000
"June, 2014","5,6  0 (0%)",59.0,53.0,56.0,56.0,56.0,56.0,56.0,56.0,24.9,1.0,6.0
"July, 2014","5,5  -0,2 (-3,51%)",6.0,54.0,57.0,55.0,55.0,55.0,55.0,55.0,24.4,20.0,3.0
"August, 2014",6  0 (0%),64.0,56.0,6.0,64.0,64.0,6.0,6.0,60.4,26.7,110.0,1.0
"September, 2014","6,7  0,4 (6,35%)",67.0,59.0,63.0,67.0,67.0,67.0,67.0,67.0,29.8,151.82,897.0
"October, 2014","9,1  0,3 (3,41%)",94.0,82.0,88.0,91.0,91.0,91.0,91.0,91.0,40.5,1.4,13.0
"November, 2014","7,5  0 (0%)",8.0,7.0,75.0,0.0,0.0,0.0,75.0,0.0,33.3,1.0,8.000
"December, 2014","8,9  0,5 (5,95%)",89.0,79.0,84.0,8.0,89.0,8.0,89.0,82.1,39.6,640,5.000
"January, 2015","10,9  0,7 (6,86%)",10.9,95.0,10.2,10.9,10.9,10.9,10.9,10.9,48.5,11.73,128.0
"February, 2015",14  0 (0%),14.9,13.1,14.0,13.1,14.0,13.1,14.0,13.11,62.2,1.46,19.0
"March, 2015","11,5  0,6 (5,5%)",11.6,10.2,10.9,11.5,11.5,11.5,11.5,11.5,51.1,80.0,1.0
"April, 2015","10,8  -0,5 (-4,42%)",12.0,10.6,11.3,10.8,10.8,10.8,10.8,10.8,48.0,20.0,1.000
"May, 2015","10,1  -0,6 (-5,61%)",11.4,10.0,10.7,10.1,10.1,10.1,10.1,10.1,44.9,10.0,15.0
"June, 2015","13,6  -0,8 (-5,56%)",15.4,13.4,14.4,14.3,14.3,13.6,13.6,14.24,60.5,110,2.000
"July, 2015","10,5  -0,5 (-4,55%)",11.7,10.3,11.0,10.4,10.5,10.4,10.5,10.45,84.0,190.0,2.0
"August, 2015","11,9  0 (0%)",12.7,11.1,11.9,0.0,0.0,0.0,11.9,0.0,11.32,50,1.000
"September, 2015","9,3  0,6 (6,9%)",93.0,81.0,87.0,87.0,93.0,87.0,93.0,87.2,85.7,1.16,10.0
"October, 2015","8,2  -0,6 (-6,82%)",94.0,82.0,88.0,82.0,82.0,82.0,82.0,82.0,74.6,180.0,1.000
"November, 2015","7,8  0,5 (6,85%)",78.0,68.0,73.0,78.0,78.0,78.0,78.0,78.0,71.0,11.34,88.0
"December, 2015","9,5  0 (0%)",10.1,89.0,95.0,95.0,95.0,95.0,95.0,95.0,98.4,4.32,41.0
"January, 2016","8,2  -0,5 (-5,75%)",93.0,81.0,87.0,81.0,84.0,81.0,82.0,82.0,80.3,3.11,26.0
"February, 2016","7,7  0,4 (5,48%)",78.0,68.0,73.0,77.0,78.0,75.0,77.0,75.7,75.4,340.0,3.0
"March, 2016","8,6  0 (0%)",92.0,8.0,86.0,84.0,87.0,84.0,86.0,85.1,83.0,92.44,786.0
"April, 2016","6,7  -0,2 (-2,9%)",73.0,65.0,69.0,7.0,7.0,67.0,67.0,68.2,61.9,21.06,144.000
"May, 2016","7,4  0,2 (2,78%)",73.0,65.0,72.0,74.0,74.0,71.0,74.0,72.7,74.2,8.020,58.000
"June, 2016","8,8  0,5 (6,02%)",88.0,78.0,83.0,88.0,88.0,84.0,88.0,87.4,99.7,765.96,6.672.000
"July, 2016","7,8  -0,1 (-1,27%)",84.0,74.0,79.0,79.0,8.0,78.0,78.0,79.4,89.2,32.34,257.000
"August, 2016","7  -0,3 (-4,11%)",78.0,68.0,73.0,72.0,73.0,7.0,7.0,71.4,80.3,60.85,435.0
"September, 2016","6,4  0 (0%)",68.4,59.6,64.0,64.0,64.0,64.0,64.0,64.0,73.3,2.52,16.0
"October, 2016","5,9  -0,17 (-2,8%)",64.9,56.5,60.7,60.7,60.7,56.5,59.0,57.9,62.3,18.72,108.0
"November, 2016","5,49  0,04 (0,73%)",58.3,50.7,54.5,54.9,54.9,54.9,54.9,54.9,58.3,200.0,1.0
"December, 2016","6,74  0,01 (0,15%)",72.0,62.6,67.3,67.4,67.4,64.0,67.4,67.3,71.5,68.83,463.000
"January, 2017","5,9  0,2 (3,51%)",60.9,53.1,57.0,58.0,59.0,57.7,59.0,58.5,58.2,310.0,2.0
"February, 2017","5,39  0,19 (3,65%)",55.6,48.4,52.0,51.2,54.0,51.2,53.9,51.7,53.2,23.12,119.000
"March, 2017","5,4  0,09 (1,69%)",56.8,49.4,53.1,53.1,54.0,52.0,54.0,52.1,54.0,8.05,42.0
"April, 2017","6,14  0 (0%)",65.6,57.2,61.4,0.0,0.0,0.0,61.4,0.0,61.4,5.56,34.0
"May, 2017","5,69  -0,41 (-6,72%)",65.2,56.8,61.0,60.6,60.6,56.9,56.9,56.9,56.9,3.34,19.0
"June, 2017","5,67  0,37 (6,98%)",56.7,49.3,53.0,56.7,56.7,56.7,56.7,56.4,56.7,14.35,81.0
"July, 2017","5,7  -0,05 (-0,87%)",61.5,53.5,57.5,57.0,57.0,56.7,57.0,57.2,57.0,13.45,77.0
"August, 2017","6,1  -0,2 (-3,17%)",67.4,58.6,63.0,6.0,63.0,6.0,61.0,62.9,61.0,28.94,182.0
"September, 2017","6,8  0 (0%)",72.7,63.3,68.0,68.0,68.0,68.0,68.0,76.9,68.0,130.0,1.0
"October, 2017","6,25  0,25 (4,17%)",64.2,55.8,6.0,62.5,62.5,62.5,62.5,62.5,62.5,10.0,63
"November, 2017","5,67  -0,42 (-6,9%)",65.1,56.7,60.9,56.7,56.7,56.7,56.7,52.6,56.7,380.0,2.0
"December, 2017","6  -0,35 (-5,51%)",67.9,59.1,63.5,59.1,63.5,59.1,6.0,59.0,6.0,3.39,20.0
"January, 2018","6,98  -0,02 (-0,29%)",74.9,65.1,7.0,69.9,7.0,69.8,69.8,47.6,69.8,210.0,1.0
"February, 2018","5,82  -0,01 (-0,17%)",62.3,54.3,58.3,55.0,58.2,55.0,58.2,53.2,58.2,940.0,5.0
"March, 2018","6,09  -0,2 (-3,18%)",67.3,58.5,62.9,58.6,60.9,58.6,60.9,60.6,60.9,70.0,424.0
"April, 2018","6,4  0,11 (1,75%)",67.3,58.5,62.9,64.6,64.6,64.0,64.0,64.1,64.0,60.0,385.0
"May, 2018","6,28  0,19 (3,12%)",65.1,56.7,60.9,65.1,65.1,62.8,62.8,64.0,62.8,20.0,128.0
"June, 2018","6,4  0 (0%)",68.4,59.6,64.0,0.0,0.0,0.0,64.0,0.0,64.0,40.0,250.0
"July, 2018","6,1  0 (0%)",65.2,56.8,61.0,0.0,0.0,0.0,61.0,0.0,61.0,10.0,61.0
"August, 2018","6,28  0,13 (2,11%)",65.8,57.2,61.5,61.4,62.8,61.4,62.8,62.1,62.8,20.0,124.0
"September, 2018","6,2  0,2 (3,33%)",64.2,55.8,6.0,62.0,62.0,62.0,62.0,64.5,62.0,930.0,6.0
"October, 2018","6,05  0 (0%)",64.7,56.3,60.5,0.0,0.0,0.0,60.5,0.0,60.5,4.399.998,25.519.988
"November, 2018",6  0 (0%),64.2,55.8,6.0,0.0,0.0,0.0,6.0,0.0,6.0,10.0,60.0
"December, 2018","6,18  0 (0%)",66.1,57.5,61.8,0.0,0.0,0.0,61.8,0.0,61.8,10.0,62.0
"January, 2019","5,29  0 (0%)",56.6,49.2,52.9,0.0,0.0,0.0,52.9,0.0,52.9,2.79,15.0
"February, 2019","5,1  0,1 (2%)",53.5,46.5,5.0,51.0,51.0,51.0,51.0,5.0,51.0,2.0,10.0
"March, 2019","5,5  0 (0%)",58.8,51.2,55.0,0.0,0.0,0.0,55.0,0.0,55.0,10.0,55.0
"April, 2019","6,7  0 (0%)",71.6,62.4,67.0,0.0,0.0,0.0,67.0,0.0,67.0,40.0,263.0
"May, 2019","6,51  0 (0%)",69.6,60.6,65.1,0.0,0.0,0.0,65.1,0.0,65.1,100.0,1.0
"June, 2019","7,17  0 (0%)",76.7,66.7,71.7,0.0,0.0,0.0,71.7,0.0,71.7,2.01,14.0
"July, 2019","6,45  0 (0%)",69.0,6.0,64.5,64.5,66.0,64.5,64.5,58.8,64.5,170.0,1.0
"August, 2019","6  -0,02 (-0,33%)",64.4,56.0,60.2,6.0,6.0,6.0,6.0,41.7,6.0,240.0,1.0
"September, 2019","6,09  0,39 (6,84%)",60.9,53.1,57.0,57.0,60.9,57.0,60.9,60.7,60.9,20.11,122.0
"October, 2019","7,34  0,48 (7%)",73.4,63.8,68.6,73.4,73.4,73.0,73.4,72.9,73.4,4.8,35.0
"November, 2019",6  0 (0%),64.2,55.8,6.0,0.0,0.0,0.0,6.0,0.0,6.0,20.0,120.0
"December, 2019","6,19  0 (0%)",66.2,57.6,61.9,0.0,0.0,0.0,61.9,0.0,61.9,1.6,10.0
"January, 2020","5,76  -0,43 (-6,95%)",66.2,57.6,61.9,57.6,57.6,57.6,57.6,57.6,57.6,40.0,230.0
"February, 2020","5,07  0,03 (0,6%)",53.9,46.9,50.4,50.6,50.7,50.6,50.7,50.5,50.7,13.28,67.0
"March, 2020","4,6  0 (0%)",49.2,42.8,46.0,0.0,0.0,0.0,46.0,0.0,46.0,60.0,276.0
"April, 2020","6,96  -0,52 (-6,95%)",8.0,69.6,74.8,78.0,78.0,69.6,69.6,67.2,69.6,1.19,8.0
"May, 2020","8,51  0,01 (0,12%)",90.9,79.1,85.0,84.5,88.0,84.5,85.1,85.5,85.1,7.95,68.0
