Date,Changes,Max,Min,Reference Price,Open,High,Low,Close,Average,Adjusted Close,KLGD,GTGD
"January, 2014","3,4  0 (0%)",36.0,32.0,34.0,34.0,35.0,34.0,34.0,34.3,22.6,167.31,574.000
"February, 2014","2,7  0 (0%)",28.0,26.0,27.0,27.0,28.0,26.0,27.0,26.9,17.9,477.670,1.284.493
"March, 2014","4,9  0 (0%)",52.0,46.0,49.0,51.0,52.0,48.0,49.0,5.0,32.6,2.248.080,11.232.904
"April, 2014","3,2  -0,1 (-3,03%)",35.0,31.0,33.0,33.0,33.0,31.0,32.0,32.0,21.3,511.440,1.638.833
"May, 2014","3,2  -0,1 (-3,03%)",35.0,31.0,33.0,32.0,33.0,32.0,32.0,32.3,21.3,950.810,3.069.000
"June, 2014",3  0 (0%),32.0,28.0,3.0,3.0,31.0,29.0,3.0,3.0,19.9,221.940,665.000
"July, 2014","3,3  -0,1 (-2,94%)",36.0,32.0,34.0,33.0,34.0,33.0,33.0,33.1,21.9,312.390,1.033.000
"August, 2014",4  0 (0%),42.0,38.0,4.0,4.0,41.0,39.0,4.0,39.5,26.6,1.392.150,5.499.000
"September, 2014","4  -0,1 (-2,44%)",43.0,39.0,41.0,4.0,41.0,39.0,4.0,4.0,26.6,627.320,2.507.000
"October, 2014","3,5  0,1 (2,94%)",36.0,32.0,34.0,34.0,36.0,33.0,35.0,33.9,23.3,791.72,2.684.000
"November, 2014","3,4  0 (0%)",36.0,32.0,34.0,35.0,36.0,34.0,34.0,34.5,22.6,654.76,2.262.000
"December, 2014","3,1  0,2 (6,9%)",31.0,27.0,29.0,29.0,31.0,29.0,31.0,30.8,20.6,474.76,1.462.000
"January, 2015","2,7  -0,1 (-3,57%)",29.0,27.0,28.0,28.0,28.0,27.0,27.0,27.1,17.9,220.56,598.000
"February, 2015","2,9  0 (0%)",31.0,27.0,29.0,3.0,31.0,29.0,29.0,29.8,19.3,997.830,2.973.000
"March, 2015","2,5  0 (0%)",26.0,24.0,25.0,25.0,26.0,25.0,25.0,25.0,16.6,260.64,652.0
"April, 2015","2,3  -0,1 (-4,17%)",25.0,23.0,24.0,24.0,24.0,23.0,23.0,23.1,15.3,465.83,1.078.000
"May, 2015","2,2  0 (0%)",23.0,21.0,22.0,22.0,23.0,21.0,22.0,22.0,14.6,689.580,1.517.000
"June, 2015","2,3  -0,1 (-4,17%)",25.0,23.0,24.0,24.0,25.0,23.0,23.0,23.2,15.3,439.43,1.020.000
"July, 2015","2,3  0 (0%)",24.0,22.0,23.0,23.0,23.0,22.0,23.0,22.7,15.3,79.91,182.0
"August, 2015","1,9  0 (0%)",2.0,18.0,19.0,19.0,2.0,18.0,19.0,19.0,12.6,67.56,128.0
"September, 2015","1,7  0 (0%)",18.0,16.0,17.0,17.0,18.0,16.0,17.0,16.8,1.0,29.19,49.0
"October, 2015","1,8  0 (0%)",19.0,17.0,18.0,19.0,19.0,17.0,18.0,18.1,10.6,368.23,667.000
"November, 2015","1,7  -0,1 (-5,56%)",19.0,17.0,18.0,18.0,18.0,17.0,17.0,17.6,1.0,193.85,341.000
"December, 2015","1,7  0 (0%)",18.0,16.0,17.0,17.0,17.0,16.0,17.0,16.9,10.6,183.1,307.2
"January, 2016","1,7  0,1 (6,25%)",17.0,15.0,16.0,17.0,17.0,17.0,17.0,17.0,99.0,215.710,367.000
"February, 2016","2  0,1 (5,26%)",2.0,18.0,19.0,2.0,2.0,19.0,2.0,2.0,11.7,1.303.380,2.607.000
"March, 2016","2,1  0,1 (5%)",21.0,19.0,2.0,2.0,21.0,2.0,21.0,21.0,12.9,1.539.810,3.232.000
"April, 2016","1,9  0 (0%)",2.0,18.0,19.0,18.0,2.0,18.0,19.0,19.0,12.3,345.650,657.000
"May, 2016","2,6  0,1 (4%)",25.0,23.0,25.0,26.0,26.0,26.0,26.0,26.0,21.0,2.346.440,6.101.000
"June, 2016","2,3  0,1 (4,55%)",23.0,21.0,22.0,23.0,23.0,22.0,23.0,23.0,19.2,290.910,669.000
"July, 2016","2,3  0,1 (4,55%)",23.0,21.0,22.0,22.0,23.0,21.0,23.0,22.0,20.1,335.44,738.000
"August, 2016","2,4  -0,1 (-4%)",26.0,24.0,25.0,25.0,25.0,24.0,24.0,24.0,22.0,458.440,1.102.000
"September, 2016","2,27  0,02 (0,89%)",24.0,21.0,22.5,22.5,23.0,21.5,22.7,22.3,22.2,146.92,328.000
"October, 2016","2,29  -0,02 (-0,87%)",24.7,21.5,23.1,23.1,23.1,21.7,22.9,22.3,22.7,163.69,366.000
"November, 2016","2,46  0,04 (1,65%)",25.8,22.6,24.2,24.0,24.7,24.0,24.6,24.3,24.5,228.45,555.0
"December, 2016","2,6  0 (0%)",27.8,24.2,26.0,26.2,26.3,25.7,26.0,26.0,25.9,217.94,566.000
"January, 2017","2,71  0,13 (5,04%)",27.6,24.0,25.8,25.5,27.2,25.5,27.1,26.3,27.2,289.1,760.0
"February, 2017","2,62  0,03 (1,16%)",27.7,24.1,25.9,26.0,26.9,26.0,26.2,26.4,26.3,51.17,135.000
"March, 2017","2,7  -0,06 (-2,17%)",29.5,25.7,27.6,27.6,27.6,26.5,27.0,26.8,28.9,130.02,349.000
"April, 2017","2,55  -0,05 (-1,92%)",27.8,24.2,26.0,26.4,26.4,25.0,25.5,25.1,27.3,92.78,233.000
"May, 2017","3,09  -0,01 (-0,32%)",33.1,28.9,31.0,31.9,31.9,30.1,30.9,30.7,33.1,197.54,606.000
"June, 2017","3  -0,09 (-2,91%)",33.0,28.8,30.9,29.9,30.7,28.8,3.0,29.2,32.1,679.470,1.987.000
"July, 2017","3,61  0,07 (1,98%)",37.8,33.0,35.4,35.4,36.1,35.0,36.1,35.3,38.7,732.75,2.583.000
"August, 2017","3,72  0,2 (5,68%)",37.6,32.8,35.2,35.2,37.2,35.2,37.2,36.4,39.8,308.1,1.121.000
"September, 2017","4,79  0,18 (3,9%)",49.3,42.9,46.1,46.1,47.9,46.1,47.9,46.7,51.3,39.87,186.0
"October, 2017","4  0,2 (5,26%)",40.6,35.4,38.0,37.9,4.0,37.9,4.0,38.4,42.8,34.66,133.0
"November, 2017","3,82  -0,17 (-4,26%)",42.6,37.2,39.9,38.2,39.8,38.1,38.2,38.8,40.9,43.29,168.000
"December, 2017","4,25  0,05 (1,19%)",44.9,39.1,42.0,43.0,43.0,41.0,42.5,42.1,45.5,24.69,104.0
