Date,Changes,Max,Min,Reference Price,Open,High,Low,Close,Average,Adjusted Close,KLGD,GTGD
"January, 2014","74  -1,5 (-1,99%)",80.5,70.5,75.5,75.0,76.5,74.0,74.0,75.09,45.71,1.992.010,149.586.000
"February, 2014","81,5  3,5 (4,49%)",83.0,73.0,78.0,78.5,81.5,77.5,81.5,79.97999999999999,42.03,616.99,49.345.785
"March, 2014",83  0 (0%),88.5,77.5,83.0,83.0,84.0,82.5,83.0,83.3,42.8,599.85,49.970.350
"April, 2014","85  1 (1,19%)",89.5,78.5,84.0,83.5,85.0,83.0,85.0,84.01,43.83,207.380,17.421.015
"May, 2014","84  0,5 (0,6%)",89.0,78.0,83.5,84.0,84.5,83.5,84.0,83.81,43.32,379.78,31.830.000
"June, 2014","82,5  -1 (-1,2%)",89.0,78.0,83.5,83.0,83.5,82.5,82.5,82.84,42.54,164.78,13.650.000
"July, 2014","95  3,5 (3,83%)",97.5,85.5,91.5,91.5,95.0,91.5,95.0,93.62,48.99,577.88,54.114.000
"August, 2014","98,5  -0,5 (-0,51%)",10.5,92.5,99.0,99.5,99.5,98.0,98.5,98.23,58.220000000000006,211.810,20.806.000
"September, 2014","97  0,5 (0,52%)",10.3,90.0,96.5,96.0,97.5,96.0,97.0,96.61,58.52,253.880,24.528.000
"October, 2014","94  1,5 (1,62%)",98.5,86.5,92.5,93.0,94.0,92.5,94.0,93.3,57.45,320.39,29.893.000
"November, 2014","75,5  -5 (-6,21%)",86.0,75.0,80.5,76.5,78.5,75.0,75.5,76.07000000000001,46.63,2.295.740,174.635.000
"December, 2014","64,5  1 (1,57%)",67.5,59.5,63.5,63.0,64.5,62.5,64.5,63.98,39.84,311.330,19.920.000
"January, 2015","57,5  -1,5 (-2,54%)",63.0,55.0,59.0,59.0,59.5,57.5,57.5,58.06,35.510000000000005,758.470,44.034.000
"February, 2015",58  0 (0%),62.0,54.0,58.0,58.0,58.0,57.5,58.0,57.96,35.82,285.380,16.541.000
"March, 2015","44,8  0,5 (1,13%)",47.4,41.2,44.3,44.3,45.4,44.3,44.8,44.95,27.95,902.110,40.548.000
"April, 2015","54,5  -2,5 (-4,39%)",60.5,53.5,57.0,57.0,57.0,54.5,54.5,55.94,34.239999999999995,736.780,41.214.000
"May, 2015","51,5  -1 (-1,9%)",56.0,48.9,52.5,52.5,52.5,51.0,51.5,51.620000000000005,33.05,847.52,43.735.000
"June, 2015","52,5  -1 (-1,87%)",57.0,49.8,53.5,53.0,53.5,52.5,52.5,52.83,34.47,467.890,24.721.000
"July, 2015","43,9  -0,4 (-0,9%)",47.4,41.2,44.3,44.3,44.6,43.9,43.9,44.1,34.239999999999995,398.83,17.589.000
"August, 2015","36,3  -1,5 (-3,97%)",40.4,35.2,37.8,38.0,38.4,35.7,36.3,37.15,30.37,1.276.040,47.405.000
"September, 2015","34,2  0 (0%)",36.5,31.9,34.2,34.5,34.6,34.2,34.2,34.44,29.18,439.560,15.140.000
"October, 2015","36,8  0,8 (2,22%)",38.5,33.5,36.0,36.3,36.8,35.8,36.8,36.3,30.65,874.7,31.754.000
"November, 2015","31,3  -0,9 (-2,8%)",34.4,30.0,32.2,32.2,32.2,31.3,31.3,31.57,26.07,826.39,26.091.000
"December, 2015","26,5  -0,4 (-1,49%)",28.7,25.1,26.9,26.8,26.8,26.4,26.5,26.52,21.31,412.390,10.937.000
"January, 2016","23  1,5 (6,98%)",23.0,20.0,21.5,22.5,23.0,22.0,23.0,22.56,17.19,1.953.150,44.065.000
