Date,Changes,Max,Min,Reference Price,Open,High,Low,Close,Average,Adjusted Close,KLGD,GTGD
"January, 2014","9,6  0 (0%)",10.2,9.0,96.0,96.0,98.0,94.0,96.0,96.1,78.8,128.78,1.238.000
"February, 2014","6,5  0,1 (1,56%)",68.0,6.0,64.0,62.0,65.0,62.0,65.0,63.1,53.3,157.030,991.508
"March, 2014","6,7  -0,3 (-4,29%)",74.0,66.0,7.0,69.0,71.0,67.0,67.0,68.6,55.0,222.34,1.525.023
"April, 2014",6  0 (0%),64.0,56.0,6.0,59.0,6.0,59.0,6.0,59.3,49.2,50.05,296.800
"May, 2014","5,3  0 (0%)",56.0,5.0,53.0,52.0,55.0,52.0,53.0,53.3,43.5,328.7,1.751.000
"June, 2014",5  0 (0%),53.0,47.0,5.0,5.0,5.0,49.0,5.0,49.0,41.0,43.28,212.000
"July, 2014","5,2  0,1 (1,96%)",54.0,48.0,51.0,52.0,53.0,51.0,52.0,52.0,42.7,22.75,118.000
"August, 2014","7,2  0,3 (4,35%)",73.0,65.0,69.0,71.0,72.0,69.0,72.0,70.7,59.1,494.85,3.499.000
"September, 2014","10,5  0,3 (2,94%)",10.9,95.0,10.2,10.0,10.6,98.0,10.5,10.21,86.2,456.140,4.657.000
"October, 2014","9,4  0,4 (4,44%)",96.0,84.0,9.0,9.0,94.0,9.0,94.0,91.8,77.1,193.35,1.775.000
"November, 2014","9,6  -0,2 (-2,04%)",10.4,92.0,98.0,97.0,98.0,95.0,96.0,96.2,78.8,277.89,2.673.000
"December, 2014","7,7  0,5 (6,94%)",77.0,67.0,72.0,73.0,77.0,73.0,77.0,76.7,63.2,206.73,1.585.000
"January, 2015","8  -0,3 (-3,61%)",88.0,78.0,83.0,8.0,81.0,8.0,8.0,80.7,65.6,65.74,530.000
"February, 2015","7,8  -0,2 (-2,5%)",85.0,75.0,8.0,79.0,8.0,78.0,78.0,78.3,64.0,54.95,430.000
"March, 2015","8,6  0,2 (2,38%)",89.0,79.0,84.0,84.0,86.0,82.0,86.0,84.7,70.6,49.78,421.000
"April, 2015","8,6  -0,1 (-1,15%)",93.0,81.0,87.0,88.0,88.0,84.0,86.0,85.8,70.6,36.64,314.000
"May, 2015","8,5  -0,1 (-1,16%)",92.0,8.0,86.0,86.0,86.0,82.0,85.0,82.8,69.7,102.89,852.000
"June, 2015","8,1  -0,3 (-3,57%)",89.0,79.0,84.0,82.0,83.0,81.0,81.0,81.7,66.5,201.18,1.677.000
"July, 2015","8,1  -0,1 (-1,22%)",87.0,77.0,82.0,82.0,82.0,8.0,81.0,81.1,66.5,11.81,96.000
"August, 2015","6,8  -0,1 (-1,45%)",73.0,65.0,69.0,7.0,7.0,67.0,68.0,67.6,56.8,31.13,211.0
"September, 2015","6,8  0,1 (1,49%)",71.0,63.0,67.0,67.0,68.0,65.0,68.0,67.3,56.8,37.76,254.000
"October, 2015","5,7  -0,4 (-6,56%)",65.0,57.0,61.0,59.0,6.0,57.0,57.0,58.4,54.8,103.89,607.000
"November, 2015","5,7  -0,3 (-5%)",64.0,56.0,6.0,58.0,59.0,56.0,57.0,56.7,54.8,215.33,1.240.000
"December, 2015","5,6  0 (0%)",59.0,53.0,56.0,56.0,57.0,56.0,56.0,56.0,54.8,156.61,901.0
"January, 2016","5  -0,1 (-1,96%)",54.0,48.0,51.0,5.0,51.0,49.0,5.0,49.3,49.1,20.99,104.0
"February, 2016","5,1  0 (0%)",54.0,48.0,51.0,51.0,51.0,5.0,51.0,50.7,50.1,35.56,180.0
"March, 2016","5,5  -0,1 (-1,79%)",59.0,53.0,56.0,55.0,56.0,55.0,55.0,55.0,53.1,13.32,73.0
"April, 2016","5,4  0 (0%)",57.0,51.0,54.0,54.0,55.0,53.0,54.0,54.0,53.1,118.74,641.000
"May, 2016","5,8  0 (0%)",62.0,54.0,58.0,58.0,58.0,57.0,58.0,57.3,57.2,127.5,731.0
"June, 2016","5,6  0 (0%)",59.0,53.0,56.0,56.0,56.0,55.0,56.0,55.1,54.3,22.47,124.0
"July, 2016","5,1  -0,1 (-1,92%)",55.0,49.0,52.0,52.0,52.0,5.0,51.0,50.9,49.4,30.49,155.0
"August, 2016","4,9  0 (0%)",52.0,46.0,49.0,49.0,49.0,48.0,49.0,48.3,47.5,18.86,91.0
"September, 2016","4,4  0,2 (4,76%)",44.9,39.1,42.0,42.5,44.0,42.5,44.0,43.2,42.3,22.78,98.0
"October, 2016","4,3  0 (0%)",46.0,4.0,43.0,41.4,43.0,41.4,43.0,43.0,41.2,410.0,2.0
"November, 2016","4,19  0,09 (2,2%)",43.8,38.2,41.0,41.9,41.9,41.9,41.9,41.9,40.8,1.28,5.0
"December, 2016","3,64  0 (0%)",38.9,33.9,36.4,36.4,36.4,36.4,36.4,36.4,35.5,3.15,11.0
