Date,Changes,Max,Min,Reference Price,Open,High,Low,Close,Average,Adjusted Close,KLGD,GTGD
"January, 2014","10,7  -0,2 (-1,83%)",11.6,10.2,10.9,10.8,11.0,10.7,10.7,10.84,10.39,630.212,6.755.000
"February, 2014","7,3  0 (0%)",78.0,68.0,73.0,73.0,74.0,72.0,73.0,73.0,70.2,53.22,388.248
"March, 2014","11,8  0 (0%)",12.6,11.0,11.8,12.0,12.1,11.7,11.8,11.89,11.34,794.770,9.447.063
"April, 2014","12,5  0 (0%)",13.3,11.7,12.5,12.3,12.6,12.2,12.5,12.46,12.02,222.93,2.778.124
"May, 2014","9,7  -0,1 (-1,02%)",10.4,92.0,98.0,99.0,10.0,97.0,97.0,98.4,94.2,164.72,1.622.000
"June, 2014","8,4  0 (0%)",89.0,79.0,84.0,85.0,85.0,84.0,84.0,84.5,81.6,20.07,169.000
"July, 2014","7,7  0 (0%)",82.0,72.0,77.0,79.0,79.0,76.0,77.0,77.4,74.8,44.8,347.000
"August, 2014","8,7  0,5 (6,1%)",87.0,77.0,82.0,84.0,87.0,83.0,87.0,85.8,84.5,610.680,5.239.000
"September, 2014","9,4  0 (0%)",10.0,88.0,94.0,92.0,96.0,91.0,94.0,93.3,91.3,185.500,1.731.000
"October, 2014","9,8  0,1 (1,03%)",10.3,91.0,97.0,95.0,10.0,95.0,98.0,97.6,95.2,395.21,3.856.000
"November, 2014","10,9  0,5 (4,81%)",11.1,97.0,10.4,10.4,11.1,10.4,10.9,10.82,10.58,1.872.290,20.255.000
"December, 2014","9,7  0,4 (4,3%)",99.0,87.0,93.0,94.0,98.0,94.0,97.0,95.8,94.2,675.260,6.490.000
"January, 2015","9,1  -0,2 (-2,15%)",99.0,87.0,93.0,93.0,94.0,91.0,91.0,91.8,88.4,829.460,7.376.000
"February, 2015","9,2  -0,1 (-1,08%)",99.0,87.0,93.0,93.0,93.0,91.0,92.0,92.0,89.3,188.020,1.731.000
"March, 2015","8,9  0,2 (2,3%)",93.0,81.0,87.0,87.0,89.0,87.0,89.0,87.9,86.4,379.16,3.331.000
"April, 2015","8,4  -0,1 (-1,18%)",9.0,8.0,85.0,84.0,84.0,82.0,84.0,83.2,81.6,35.14,292.000
"May, 2015","7,3  0,1 (1,39%)",77.0,67.0,72.0,73.0,74.0,71.0,73.0,72.2,70.9,94.57,683.000
"June, 2015","7,4  -0,2 (-2,63%)",81.0,71.0,76.0,74.0,75.0,74.0,74.0,74.5,71.9,76.64,571.000
"July, 2015","6,9  0 (0%)",73.0,65.0,69.0,68.0,7.0,68.0,69.0,68.3,67.0,78.92,539.0
"August, 2015","5,8  -0,2 (-3,33%)",64.0,56.0,6.0,59.0,59.0,57.0,58.0,58.4,59.1,33.97,198.0
"September, 2015","6  0,1 (1,69%)",63.0,55.0,59.0,59.0,6.0,58.0,6.0,58.9,61.2,96.02,565.000
"October, 2015","5,8  0 (0%)",62.0,54.0,58.0,58.0,58.0,57.0,58.0,57.1,56.2,12.89,74.0
"November, 2015","5,5  -0,1 (-1,79%)",59.0,53.0,56.0,56.0,57.0,53.0,55.0,53.7,53.3,122.72,659.0
"December, 2015","5,1  0,1 (2%)",52.0,46.0,5.0,5.0,51.0,49.0,51.0,49.8,49.5,168.72,841.000
"January, 2016","4,8  0,1 (2,13%)",5.0,44.0,47.0,48.0,48.0,47.0,48.0,47.2,45.9,100.02,472.0
"February, 2016","4,5  -0,1 (-2,17%)",49.0,43.0,46.0,45.0,47.0,45.0,45.0,45.8,43.0,112.75,516.0
"March, 2016","4,9  0 (0%)",52.0,46.0,49.0,48.0,49.0,48.0,49.0,48.6,45.9,66.26,322.000
