Date,Changes,Max,Min,Reference Price,Open,High,Low,Close,Average,Adjusted Close,KLGD,GTGD
"January, 2014","49,9  -0,1 (-0,2%)",53.5,46.5,50.0,48.1,50.5,48.1,49.9,49.97,30.19,7.31,365.000
"February, 2014","59,5  0,5 (0,85%)",63.0,55.0,59.0,59.0,59.5,59.0,59.5,59.0,32.32,4.38,258.430
"March, 2014","57,5  -1,5 (-2,54%)",63.0,55.0,59.0,58.0,58.0,57.5,57.5,57.92999999999999,31.24,5.58,323.265
"April, 2014",52  2 (4%),53.5,46.5,50.0,53.5,53.5,50.0,52.0,52.19,29.17,3.5,182.670
"May, 2014","42,9  -1,6 (-3,6%)",47.6,41.4,44.5,44.5,44.5,42.9,42.9,43.16,24.19,250.0,11.0
"June, 2014","43,8  0,3 (0,69%)",46.5,40.5,43.5,43.0,43.8,43.0,43.8,43.46,24.7,1.35,59.000
"July, 2014","44,9  0,9 (2,05%)",47.0,41.0,44.0,43.2,44.9,43.2,44.9,43.74,25.54,8.09,354.0
"August, 2014","47,8  -0,1 (-0,21%)",51.0,44.6,47.9,48.0,48.0,47.0,47.8,47.34,27.5,4.87,231.0
"September, 2014",45  0 (0%),48.1,41.9,45.0,0.0,0.0,0.0,45.0,0.0,27.02,2.23,100.0
"October, 2014","44,5  -0,5 (-1,11%)",48.1,41.9,45.0,44.5,45.0,44.5,44.5,44.7,26.78,1.23,55.0
"November, 2014","50  1 (2,04%)",52.0,45.6,49.0,49.0,50.0,48.0,50.0,49.23,30.25,6.89,339.000
"December, 2014","45  0,5 (1,12%)",47.6,41.4,44.5,47.5,47.5,44.0,45.0,44.44,28.1,5.75,256.0
"January, 2015","45  -0,5 (-1,1%)",48.6,42.4,45.5,44.1,45.5,44.1,45.0,44.85,28.49,150.0,7.0
"February, 2015","46,4  0 (0%)",49.6,43.2,46.4,0.0,0.0,0.0,46.4,0.0,29.5,800.0,36.0
"March, 2015","45,5  0,3 (0,66%)",48.3,42.1,45.2,45.2,45.5,45.0,45.5,45.14,28.93,1.26,57.0
"April, 2015","47,6  2,9 (6,49%)",47.8,41.6,44.7,44.5,47.6,44.5,47.6,44.73,31.27,1.9,85.0
"May, 2015",45  0 (0%),48.1,41.9,45.0,0.0,0.0,0.0,45.0,0.0,29.69,11.0,485.0
"June, 2015","47  0,8 (1,73%)",49.4,43.0,46.2,46.0,47.0,46.0,47.0,46.0,31.01,2.01,92.0
"July, 2015",46  0 (0%),49.2,42.8,46.0,0.0,0.0,0.0,46.0,0.0,30.610000000000003,720.0,33.0
"August, 2015",45  0 (0%),48.1,41.9,45.0,0.0,0.0,0.0,45.0,0.0,29.93,21.800,977.000
"September, 2015","48,3  0,4 (0,84%)",51.0,44.6,47.9,47.8,48.3,47.8,48.3,47.83,34.480000000000004,2.93,140.0
"October, 2015","52,5  0,5 (0,96%)",55.5,48.4,52.0,52.0,52.5,52.0,52.5,52.11,39.47,2.2,115.0
"November, 2015",53  0 (0%),56.5,49.3,53.0,0.0,0.0,0.0,53.0,0.0,40.64,230.0,12.0
"December, 2015","54,5  1,5 (2,83%)",56.5,49.3,53.0,53.0,54.5,53.0,54.5,54.21,44.36,1.55,84.000
"January, 2016","58  3 (5,45%)",58.5,51.5,55.0,58.5,58.5,55.5,58.0,58.21,48.92,18.53,1.079.000
"February, 2016","67  -1,5 (-2,19%)",73.0,64.0,68.5,0.0,68.5,66.0,67.0,67.46000000000001,56.510000000000005,16.48,1.112.000
"March, 2016","74,5  -2 (-2,61%)",81.5,71.5,76.5,74.0,76.0,74.0,74.5,75.13,59.74,9.01,677.000
"April, 2016","74  1 (1,37%)",78.0,68.0,73.0,73.0,74.0,72.5,74.0,72.96000000000001,62.6,5.06,369.000
"May, 2016","70,5  0 (0%)",75.5,66.5,70.5,70.5,70.5,68.5,70.5,69.02000000000001,58.82000000000001,18.58,1.282.000
"June, 2016","86,5  1,5 (1,76%)",90.5,79.5,85.0,86.5,89.0,85.0,86.5,87.59,71.65,37.6,3.293.000
"July, 2016","100  3 (3,09%)",10.3,90.5,97.0,97.0,100.0,96.5,100.0,97.41,85.46000000000001,21.74,2.118.000
"August, 2016",95  0 (0%),10.1,88.5,95.0,94.5,96.0,94.5,95.0,95.19,86.5,18.18,1.730.000
"September, 2016","106,8  2,4 (2,3%)",11.17,97.1,10.44,10.45,10.9,10.45,10.68,106.57,94.62,37.76,4.024.000
"October, 2016","114,6  1,8 (1,6%)",12.06,10.5,11.28,11.28,11.65,11.2,11.46,114.12,96.11,30.83,3.518.000
"November, 2016","103,9  0,9 (0,87%)",11.02,95.8,10.3,10.3,10.39,10.2,10.39,102.46,86.82000000000001,9.7,994.000
"December, 2016","95,9  -0,1 (-0,1%)",10.27,89.3,96.0,94.1,95.9,94.0,95.9,94.77,80.14,4.18,396.000
"January, 2017","96  2,8 (3%)",99.7,86.7,93.2,93.2,96.0,92.2,96.0,94.25,79.81,3.29,310.000
"February, 2017","96,9  0,4 (0,41%)",10.32,89.8,96.5,96.5,98.0,96.5,96.9,97.05,80.56,17.12,1.662.000
