Date,Changes,Max,Min,Reference Price,Open,High,Low,Close,Average,Adjusted Close,KLGD,GTGD
"January, 2014","18,2  0,2 (1,11%)",19.2,16.8,18.0,18.0,18.2,17.9,18.2,18.15,59.3,6.87,125.0
"February, 2014",18  0 (0%),19.2,16.8,18.0,0.0,0.0,0.0,18.0,0.0,55.5,940.0,16.49
"March, 2014","14,7  -0,8 (-5,16%)",16.5,14.5,15.5,16.4,16.4,14.7,14.7,14.71,45.3,3.25,47.802
"April, 2014","14,5  0 (0%)",15.5,13.5,14.5,0.0,0.0,0.0,14.5,0.0,44.7,100.0,1.442
"May, 2014","15,3  -0,1 (-0,65%)",16.4,14.4,15.4,14.4,15.3,14.4,15.3,15.26,47.2,220.0,3.0
"June, 2014","15,6  0,4 (2,63%)",16.2,14.2,15.2,15.2,16.0,14.4,15.6,15.4,50.8,2.38,37.0
"July, 2014","13,2  0,1 (0,76%)",14.0,12.2,13.1,13.1,13.2,12.2,13.2,12.37,43.0,700.0,9.0
"August, 2014","14,6  -0,1 (-0,68%)",15.7,13.7,14.7,14.2,14.6,14.2,14.6,14.21,47.6,2.450,35.000
"September, 2014","18,3  0,8 (4,57%)",18.7,16.3,17.5,18.6,18.6,16.7,18.3,18.1,59.6,8.34,151.000
"October, 2014","17,7  -0,1 (-0,56%)",19.0,16.6,17.8,16.6,17.7,16.6,17.7,16.66,57.7,10.64,177.0
"November, 2014",18  0 (0%),19.2,16.8,18.0,18.0,18.0,18.0,18.0,18.0,58.6,1.5,27.0
"December, 2014","17,3  0,9 (5,49%)",17.5,15.3,16.4,15.4,17.4,15.4,17.3,15.72,56.4,2.79,44.0
"January, 2015","18,5  0,5 (2,78%)",19.2,16.8,18.0,17.5,18.5,17.5,18.5,18.25,60.3,4.0,73.0
"February, 2015","17,7  -0,1 (-0,56%)",19.0,16.6,17.8,16.6,17.7,16.6,17.7,17.68,57.7,1.18,21.0
"March, 2015","18,7  0,2 (1,08%)",19.7,17.3,18.5,17.3,18.7,17.3,18.7,17.759999999999998,60.9,7.41,132.0
"April, 2015","21,7  1,2 (5,85%)",21.9,19.1,20.5,19.2,21.7,19.1,21.7,19.81,70.7,2.79,55.0
"May, 2015","20,8  -0,1 (-0,48%)",22.3,19.5,20.9,20.0,20.8,20.0,20.8,20.37,67.8,2.23,45.000
"June, 2015","21,5  0,2 (0,94%)",22.7,19.9,21.3,21.3,21.6,21.0,21.5,21.42,7.0,8.660,186.000
"July, 2015","23,9  0 (0%)",25.5,22.3,23.9,23.9,23.9,23.0,23.9,23.81,85.6,2.07,49.000
"August, 2015","28,3  0 (0%)",30.2,26.4,28.3,28.0,28.3,27.4,28.3,27.68,10.97,22.44,621.0
"September, 2015","27,4  0,4 (1,48%)",28.8,25.2,27.0,26.6,27.4,26.5,27.4,27.12,10.98,4.09,111.0
"October, 2015","27,7  0 (0%)",29.6,25.8,27.7,27.5,27.7,27.2,27.7,27.55,11.87,1.7,47.0
"November, 2015","30  -1,5 (-4,76%)",33.7,29.3,31.5,30.5,30.5,30.0,30.0,30.19,12.86,16.74,505.000
"December, 2015","29  1,2 (4,32%)",30.6,26.6,27.8,28.0,29.0,27.8,29.0,28.09,11.79,17.96,504.0
"January, 2016","25,2  -0,8 (-3,08%)",27.8,24.2,26.0,25.2,27.0,25.2,25.2,25.21,11.84,2.0,50.000
"February, 2016","30,2  0 (0%)",32.3,28.1,30.2,30.2,30.5,28.9,30.2,30.05,14.19,24.04,722.000
"March, 2016","31  2 (6,9%)",31.0,27.0,29.0,29.6,31.0,29.0,31.0,30.24,14.81,119.35,3.610.000
"April, 2016","28,6  -0,6 (-2,05%)",31.2,27.2,29.2,28.7,29.0,28.2,28.6,28.4,13.27,10.96,311.000
"May, 2016","28,5  -0,1 (-0,35%)",30.3,26.5,28.6,28.5,28.6,28.2,28.5,28.3,13.04,10.49,297.000
"June, 2016","32  2 (6,67%)",32.1,27.9,30.0,32.0,32.1,31.5,32.0,31.880000000000003,14.19,54.55,1.739.000
"July, 2016","30  -1,4 (-4,46%)",33.5,29.3,31.4,31.4,31.4,30.0,30.0,30.69,13.76,6.83,210.000
"August, 2016","25,4  0,1 (0,4%)",27.0,23.6,25.3,25.2,25.4,25.0,25.4,25.21,12.58,28.35,715.000
"September, 2016","24,6  -0,4 (-1,6%)",26.75,23.25,25.0,24.8,25.0,24.0,24.6,24.54,13.2,13.05,320.000
"October, 2016","27,5  1,3 (4,96%)",28.0,24.4,26.2,26.0,27.5,25.9,27.5,26.630000000000003,14.330000000000002,113.55,3.024.000
"November, 2016","26,9  -0,1 (-0,37%)",28.85,25.15,27.0,27.0,27.4,26.6,26.9,27.08,13.87,4.46,121.0
"December, 2016","24,9  -0,3 (-1,19%)",26.95,23.45,25.2,24.5,24.9,24.0,24.9,24.42,12.84,1.26,31.0
"January, 2017","19,9  0,2 (1,02%)",21.05,18.35,19.7,19.5,20.0,19.4,19.9,19.52,99.9,15.62,305.000
"February, 2017","15,45  -0,35 (-2,22%)",16.9,14.7,15.8,15.3,15.6,15.3,15.45,15.43,96.0,56.39,851.500
"March, 2017","14,45  -0,05 (-0,34%)",15.5,13.5,14.5,14.5,14.5,14.1,14.45,14.16,85.6,9.91,140.0
"April, 2017",14  0 (0%),14.95,13.05,14.0,13.9,14.0,13.7,14.0,14.0,82.9,6.0,84.000
"May, 2017","15  -0,6 (-3,85%)",16.65,14.55,15.6,15.5,15.5,15.0,15.0,15.21,98.1,9.93,151.0
"June, 2017","17,9  0,5 (2,87%)",18.6,16.2,17.4,17.2,17.9,17.2,17.9,17.61,11.71,22.43,395.000
"July, 2017","22,6  0,5 (2,26%)",23.6,20.6,22.1,22.0,23.0,21.3,22.6,22.43,14.78,19.26,432.000
