Date,Changes,Max,Min,Reference Price,Open,High,Low,Close,Average,Adjusted Close,KLGD,GTGD
"January, 2014","27,6  0,1 (0,36%)",29.4,25.6,27.5,27.6,27.7,27.4,27.6,27.57,17.32,477.700,13.170.000
"February, 2014","32,1  -0,1 (-0,31%)",34.4,30.0,32.2,32.4,32.4,31.9,32.1,32.14,20.31,1.651.840,54.362.861
"March, 2014","31,4  -0,5 (-1,57%)",34.1,29.7,31.9,31.9,31.9,31.4,31.4,31.53,19.87,916.690,28.924.237
"April, 2014","27,4  -0,1 (-0,36%)",29.4,25.6,27.5,27.5,27.6,27.2,27.4,27.39,17.330000000000002,394.340,10.802.405
"May, 2014","25,2  -0,1 (-0,4%)",27.0,23.6,25.3,25.4,25.5,24.9,25.2,25.21,15.81,871.260,21.961.000
"June, 2014","26,3  0 (0%)",28.1,24.5,26.3,26.2,26.7,26.2,26.3,26.43,16.5,682.280,18.034.000
"July, 2014","27,4  0,4 (1,48%)",28.8,25.2,27.0,26.9,27.5,26.9,27.4,27.26,17.19,347.370,9.469.000
"August, 2014","29,4  0,2 (0,68%)",31.2,27.2,29.2,29.4,29.7,29.1,29.4,29.42,18.45,1.500.620,44.151.000
"September, 2014","30,2  0,7 (2,37%)",31.5,27.5,29.5,29.5,30.5,29.4,30.2,29.97,18.95,4.622.630,133.669.000
"October, 2014","29,1  0,3 (1,04%)",30.8,26.8,28.8,28.8,29.3,28.6,29.1,28.89,18.26,1.437.970,41.536.000
"November, 2014","27,5  -0,2 (-0,72%)",29.6,25.8,27.7,27.7,27.9,27.5,27.5,27.67,17.25,377.020,10.431.000
"December, 2014","28,2  0,7 (2,55%)",29.4,25.6,27.5,27.5,28.3,27.5,28.2,28.06,17.69,1.129.100,31.688.000
"January, 2015","28,5  -0,6 (-2,06%)",31.1,27.1,29.1,29.1,29.1,28.4,28.5,28.64,17.880000000000003,1.097.030,31.418.000
"February, 2015","27,5  0 (0%)",29.4,25.6,27.5,27.7,27.7,27.5,27.5,27.6,18.24,423.510,11.688.000
"March, 2015","26,3  0,2 (0,77%)",27.9,24.3,26.1,26.1,26.3,26.0,26.3,26.17,17.44,420.37,11.231.000
"April, 2015","26,2  0 (0%)",28.0,24.4,26.2,26.2,26.5,26.1,26.2,26.31,17.380000000000003,158.07,4.158.000
"May, 2015","25,3  -0,1 (-0,39%)",27.1,23.7,25.4,25.4,25.6,25.3,25.3,25.45,16.78,216.97,5.522.000
"June, 2015","26,9  -0,2 (-0,74%)",28.9,25.3,27.1,26.9,27.2,26.7,26.9,26.96,17.84,780.000,21.028.000
"July, 2015","29,2  -0,1 (-0,34%)",31.3,27.3,29.3,29.3,29.8,29.2,29.2,29.43,19.37,958.860,28.229.000
"August, 2015","25,6  -0,6 (-2,29%)",28.0,24.4,26.2,26.2,26.2,25.6,25.6,25.8,16.89,662.750,17.121.000
"September, 2015","25,1  -0,1 (-0,4%)",26.9,23.5,25.2,25.2,25.4,25.1,25.1,25.23,16.630000000000003,257.050,6.485.000
"October, 2015","26,8  -0,2 (-0,74%)",28.8,25.2,27.0,27.0,27.1,26.8,26.8,26.9,18.04,336.450,9.052.000
"November, 2015","25,4  0 (0%)",27.1,23.7,25.4,25.5,25.5,25.3,25.4,25.39,17.1,687.34,17.510.400
"December, 2015","25,2  0,1 (0,4%)",27.0,23.6,25.1,25.1,25.4,25.1,25.2,25.24,16.57,150.51,3.799.000
"January, 2016","25,3  0,7 (2,85%)",26.3,22.9,24.6,24.6,25.4,24.6,25.3,25.15,17.47,3.126.980,76.891.000
"February, 2016","24,5  -0,2 (-0,81%)",26.4,23.0,24.7,24.5,24.7,24.4,24.5,24.54,17.6,108.760,2.669.000
